Date,Citigroup
2012-03-02,45
2012-03-03,49
2012-03-04,48
2012-03-05,46
2012-03-06,46
2012-03-07,46
2012-03-08,46
2012-03-09,46
2012-03-10,49
2012-03-11,49
2012-03-12,46
2012-03-13,47
2012-03-14,47
2012-03-15,50
2012-03-16,48
2012-03-17,54
2012-03-18,49
2012-03-19,48
2012-03-20,48
2012-03-21,47
2012-03-22,47
2012-03-23,47
2012-03-24,49
2012-03-25,46
2012-03-26,46
2012-03-27,47
2012-03-28,47
2012-03-29,46
2012-03-30,46
2012-03-31,51
2012-04-01,46
2012-04-02,45
2012-04-03,44
2012-04-04,44
2012-04-05,42
2012-04-06,42
2012-04-07,42
2012-04-08,42
2012-04-09,41
2012-04-10,42
2012-04-11,42
2012-04-12,45
2012-04-13,44
2012-04-14,49
2012-04-15,46
2012-04-16,46
2012-04-17,47
2012-04-18,49
2012-04-19,48
2012-04-20,50
2012-04-21,55
2012-04-22,50
2012-04-23,48
2012-04-24,49
2012-04-25,46
2012-04-26,45
2012-04-27,44
2012-04-28,47
2012-04-29,47
2012-04-30,44
2012-05-01,44
2012-05-02,44
2012-05-03,44
2012-05-04,44
2012-05-05,48
2012-05-06,46
2012-05-07,43
2012-05-08,42
2012-05-09,42
2012-05-10,43
2012-05-11,41
2012-05-12,46
2012-05-13,41
2012-05-14,41
2012-05-15,42
2012-05-16,42
2012-05-17,43
2012-05-18,44
2012-05-19,47
2012-05-20,44
2012-05-21,43
2012-05-22,43
2012-05-23,42
2012-05-24,41
2012-05-25,41
2012-05-26,45
2012-05-27,42
2012-05-28,40
2012-05-29,40
2012-05-30,40
2012-05-31,40
2012-06-01,40
2012-06-02,43
2012-06-03,40
2012-06-04,41
2012-06-05,43
2012-06-06,42
2012-06-07,42
2012-06-08,44
2012-06-09,47
2012-06-10,45
2012-06-11,43
2012-06-12,43
2012-06-13,44
2012-06-14,42
2012-06-15,42
2012-06-16,46
2012-06-17,42
2012-06-18,42
2012-06-19,43
2012-06-20,42
2012-06-21,43
2012-06-22,42
2012-06-23,47
2012-06-24,44
2012-06-25,43
2012-06-26,44
2012-06-27,44
2012-06-28,44
2012-06-29,45
2012-06-30,48
2012-07-01,46
2012-07-02,44
2012-07-03,43
2012-07-04,45
2012-07-05,42
2012-07-06,42
2012-07-07,46
2012-07-08,43
2012-07-09,42
2012-07-10,44
2012-07-11,44
2012-07-12,44
2012-07-13,44
2012-07-14,48
2012-07-15,46
2012-07-16,45
2012-07-17,47
2012-07-18,45
2012-07-19,46
2012-07-20,46
2012-07-21,49
2012-07-22,47
2012-07-23,46
2012-07-24,46
2012-07-25,46
2012-07-26,46
2012-07-27,46
2012-07-28,51
2012-07-29,47
2012-07-30,45
2012-07-31,45
2012-08-01,44
2012-08-02,44
2012-08-03,44
2012-08-04,47
2012-08-05,45
2012-08-06,43
2012-08-07,43
2012-08-08,42
2012-08-09,43
2012-08-10,42
2012-08-11,46
2012-08-12,42
2012-08-13,42
2012-08-14,42
2012-08-15,43
2012-08-16,42
2012-08-17,42
2012-08-18,45
2012-08-19,43
2012-08-20,41
2012-08-21,41
2012-08-22,41
2012-08-23,41
2012-08-24,41
2012-08-25,44
2012-08-26,41
2012-08-27,40
2012-08-28,41
2012-08-29,39
2012-08-30,39
2012-08-31,40
2012-09-01,43
2012-09-02,39
2012-09-03,39
2012-09-04,39
2012-09-05,40
2012-09-06,39
2012-09-07,39
2012-09-08,44
2012-09-09,40
2012-09-10,40
2012-09-11,40
2012-09-12,41
2012-09-13,42
2012-09-14,41
2012-09-15,44
2012-09-16,43
2012-09-17,41
2012-09-18,41
2012-09-19,41
2012-09-20,42
2012-09-21,41
2012-09-22,44
2012-09-23,43
2012-09-24,40
2012-09-25,40
2012-09-26,40
2012-09-27,40
2012-09-28,39
2012-09-29,40
2012-09-30,41
2012-10-01,39
2012-10-02,40
2012-10-03,39
2012-10-04,39
2012-10-05,39
2012-10-06,43
2012-10-07,40
2012-10-08,38
2012-10-09,38
2012-10-10,37
2012-10-11,38
2012-10-12,37
2012-10-13,37
2012-10-14,41
2012-10-15,44
2012-10-16,49
2012-10-17,58
2012-10-18,61
2012-10-19,64
2012-10-20,72
2012-10-21,67
2012-10-22,59
2012-10-23,57
2012-10-24,52
2012-10-25,49
2012-10-26,44
2012-10-27,44
2012-10-28,42
2012-10-29,39
2012-10-30,38
2012-10-31,37
2012-11-01,36
2012-11-02,35
2012-11-03,38
2012-11-04,36
2012-11-05,35
2012-11-06,37
2012-11-07,36
2012-11-08,37
2012-11-09,37
2012-11-10,41
2012-11-11,39
2012-11-12,37
2012-11-13,37
2012-11-14,37
2012-11-15,37
2012-11-16,37
2012-11-17,39
2012-11-18,39
2012-11-19,35
2012-11-20,34
2012-11-21,33
2012-11-22,33
2012-11-23,31
2012-11-24,30
2012-11-25,31
2012-11-26,32
2012-11-27,33
2012-11-28,34
2012-11-29,35
2012-11-30,36
2012-12-01,39
2012-12-02,42
2012-12-03,40
2012-12-04,42
2012-12-05,44
2012-12-06,47
2012-12-07,50
2012-12-08,55
2012-12-09,52
2012-12-10,46
2012-12-11,45
2012-12-12,43
2012-12-13,41
2012-12-14,39
2012-12-15,41
2012-12-16,40
2012-12-17,37
2012-12-18,37
2012-12-19,36
2012-12-20,36
2012-12-21,37
2012-12-22,38
2012-12-23,38
2012-12-24,33
2012-12-25,35
2012-12-26,31
2012-12-27,30
2012-12-28,29
2012-12-29,29
2012-12-30,30
2012-12-31,30
2013-01-01,33
2013-01-02,32
2013-01-03,33
2013-01-04,34
2013-01-05,39
2013-01-06,37
2013-01-07,37
2013-01-08,37
2013-01-09,39
2013-01-10,38
2013-01-11,39
2013-01-12,43
2013-01-13,41
2013-01-14,40
2013-01-15,40
2013-01-16,41
2013-01-17,40
2013-01-18,41
2013-01-19,44
2013-01-20,40
2013-01-21,39
2013-01-22,39
2013-01-23,38
2013-01-24,38
2013-01-25,38
2013-01-26,40
2013-01-27,39
2013-01-28,38
2013-01-29,38
2013-01-30,38
2013-01-31,38
