Date,CIBC World Markets
2009-08-08,72
2009-08-09,73
2009-08-10,74
2009-08-11,76
2009-08-12,77
2009-08-13,79
2009-08-14,80
2009-08-15,82
2009-08-16,83
2009-08-17,85
2009-08-18,87
2009-08-19,88
2009-08-20,90
2009-08-21,91
2009-08-22,93
2009-08-23,89
2009-08-24,83
2009-08-25,79
2009-08-26,75
2009-08-27,71
2009-08-28,67
2009-08-29,63
2009-08-30,65
2009-08-31,68
2009-09-01,71
2009-09-02,73
2009-09-03,76
2009-09-04,78
2009-09-05,81
2009-09-06,80
2009-09-07,79
2009-09-08,78
2009-09-09,78
2009-09-10,77
2009-09-11,76
2009-09-12,76
2009-09-13,79
2009-09-14,83
2009-09-15,86
2009-09-16,90
2009-09-17,93
2009-09-18,97
2009-09-19,100
2009-09-20,96
2009-09-21,92
2009-09-22,87
2009-09-23,83
2009-09-24,79
2009-09-25,74
2009-09-26,70
2009-09-27,70
2009-09-28,69
2009-09-29,69
2009-09-30,69
2009-10-01,68
2009-10-02,68
2009-10-03,68
2009-10-04,67
2009-10-05,66
2009-10-06,65
2009-10-07,65
2009-10-08,64
2009-10-09,63
2009-10-10,63
2009-10-11,62
2009-10-12,61
2009-10-13,60
2009-10-14,59
2009-10-15,58
2009-10-16,57
2009-10-17,57
2009-10-18,57
2009-10-19,57
2009-10-20,57
2009-10-21,57
2009-10-22,57
2009-10-23,57
2009-10-24,57
2009-10-25,58
2009-11-01,70
2009-11-02,70
2009-11-03,70
2009-11-04,70
2009-11-05,71
2009-11-06,71
2009-11-07,71
2009-11-08,70
2009-11-09,69
2009-11-10,68
2009-11-11,67
2009-11-12,66
2009-11-13,65
2009-11-14,64
2009-11-15,62
2009-11-16,61
2009-11-17,60
2009-11-18,58
2009-11-19,57
2009-11-20,56
2009-11-21,55
2009-11-22,55
2009-11-23,55
2009-11-24,55
2009-11-25,56
2009-11-26,56
2009-11-27,56
2009-11-28,57
2009-11-29,55
2009-11-30,54
2009-12-01,52
2009-12-02,51
2009-12-03,49
2009-12-04,47
2009-12-05,46
2009-12-06,48
2009-12-07,50
2009-12-08,52
2009-12-09,55
2009-12-10,57
2009-12-11,59
2009-12-12,62
2009-12-13,64
2009-12-14,66
2009-12-15,69
2009-12-16,71
2009-12-17,74
2009-12-18,76
2009-12-19,79
2009-12-20,76
2009-12-21,73
2009-12-22,70
2009-12-23,67
2009-12-24,64
2009-12-25,61
2009-12-26,59
2009-12-27,59
2009-12-28,59
2009-12-29,59
2009-12-30,59
2009-12-31,59
2010-01-01,59
2010-01-02,59
2010-01-03,59
2010-01-04,59
2010-01-05,59
2010-01-06,59
2010-01-07,59
2010-01-08,59
2010-01-09,59
2010-01-10,59
2010-01-11,59
2010-01-12,59
2010-01-13,60
2010-01-14,60
2010-01-15,60
2010-01-16,61
2010-01-17,63
2010-01-18,66
2010-01-19,68
2010-01-20,71
2010-01-21,73
2010-01-22,76
2010-01-23,78
2010-01-24,78
2010-01-25,77
2010-01-26,77
2010-01-27,76
2010-01-28,76
2010-01-29,76
2010-01-30,76
2010-01-31,73
2010-02-07,54
2010-02-08,54
2010-02-09,53
2010-02-10,52
2010-02-11,52
2010-02-12,51
2010-02-13,51
2010-02-14,51
2010-02-15,51
2010-02-16,51
2010-02-17,51
2010-02-18,52
2010-02-19,52
2010-02-20,52
2010-02-21,51
2010-02-22,50
2010-02-23,49
2010-02-24,48
2010-02-25,47
2010-02-26,46
2010-02-27,46
2010-02-28,47
2010-03-01,48
2010-03-02,49
2010-03-03,50
2010-03-04,51
2010-03-05,52
2010-03-06,53
2010-03-07,54
2010-03-08,55
2010-03-09,56
2010-03-10,57
2010-03-11,58
2010-03-12,59
2010-03-13,60
2010-03-14,61
2010-03-15,62
2010-03-16,63
2010-03-17,64
2010-03-18,65
2010-03-19,66
2010-03-20,67
2010-03-21,66
2010-03-22,66
2010-03-23,65
2010-03-24,65
2010-03-25,64
2010-03-26,63
2010-03-27,63
2010-03-28,61
2010-05-02,56
2010-05-03,70
2010-05-04,56
2010-05-05,56
2010-05-06,56
2010-05-07,56
2010-05-08,56
2010-05-09,56
2010-05-10,56
2010-05-11,56
2010-05-12,56
2010-05-13,56
2010-05-14,56
2010-05-15,56
2010-05-16,56
2010-05-17,56
2010-05-18,56
2010-05-19,56
2010-05-20,56
2010-05-21,56
2010-05-22,56
2010-05-23,54
2010-05-24,53
2010-05-25,52
2010-05-26,50
2010-05-27,49
