Date,JP Morgan Securities
2009-09-12,78
2009-09-13,70
2009-09-14,71
2009-09-15,72
2009-09-16,76
2009-09-17,75
2009-09-18,76
2009-09-19,87
2009-09-20,77
2009-09-21,76
2009-09-22,75
2009-09-23,74
2009-09-24,73
2009-09-25,73
2009-09-26,76
2009-09-27,78
2009-09-28,71
2009-09-29,71
2009-09-30,73
2009-10-01,71
2009-10-02,73
2009-10-03,80
2009-10-04,71
2009-10-05,71
2009-10-06,74
2009-10-07,71
2009-10-08,73
2009-10-09,71
2009-10-10,77
2009-10-11,74
2009-10-12,74
2009-10-13,75
2009-10-14,77
2009-10-15,78
2009-10-16,82
2009-10-17,96
2009-10-18,81
2009-10-19,80
2009-10-20,79
2009-10-21,79
2009-10-22,80
2009-10-23,76
2009-10-24,83
2009-10-25,78
2009-10-26,74
2009-10-27,74
2009-10-28,73
2009-10-29,75
2009-10-30,72
2009-10-31,78
2009-11-01,76
2009-11-02,72
2009-11-03,73
2009-11-04,77
2009-11-05,74
2009-11-06,76
2009-11-07,82
2009-11-08,79
2009-11-09,73
2009-11-10,74
2009-11-11,72
2009-11-12,74
2009-11-13,71
2009-11-14,77
2009-11-15,72
2009-11-16,71
2009-11-17,72
2009-11-18,72
2009-11-19,75
2009-11-20,72
2009-11-21,79
2009-11-22,74
2009-11-23,69
2009-11-24,68
2009-11-25,69
2009-11-26,73
2009-11-27,63
2009-11-28,65
2009-11-29,65
2009-11-30,64
2009-12-01,65
2009-12-02,66
2009-12-03,67
2009-12-04,69
2009-12-05,76
2009-12-06,72
2009-12-07,71
2009-12-08,72
2009-12-09,72
2009-12-10,73
2009-12-11,76
2009-12-12,80
2009-12-13,83
2009-12-14,75
2009-12-15,75
2009-12-16,75
2009-12-17,76
2009-12-18,77
2009-12-19,79
2009-12-20,75
2009-12-21,71
2009-12-22,69
2009-12-23,70
2009-12-24,68
2009-12-25,69
2009-12-26,61
2009-12-27,61
2009-12-28,62
2009-12-29,63
2009-12-30,63
2009-12-31,64
2010-01-01,72
2010-01-02,66
2010-01-03,67
2010-01-04,69
2010-01-05,71
2010-01-06,73
2010-01-07,76
2010-01-08,76
2010-01-09,85
2010-01-10,82
2010-01-11,80
2010-01-12,84
2010-01-13,82
2010-01-14,87
2010-01-15,84
2010-01-16,94
2010-01-17,93
2010-01-18,86
2010-01-19,87
2010-01-20,90
2010-01-21,88
2010-01-22,90
2010-01-23,96
2010-01-24,93
2010-01-25,87
2010-01-26,86
2010-01-27,85
2010-01-28,87
2010-01-29,83
2010-01-30,87
