Date,HSBC
2006-02-01,64
2006-02-02,65
2006-02-03,66
2006-02-04,71
2006-02-05,69
2006-02-06,65
2006-02-07,64
2006-02-08,64
2006-02-09,63
2006-02-10,62
2006-02-11,67
2006-02-12,62
2006-02-13,61
2006-02-14,61
2006-02-15,60
2006-02-16,60
2006-02-17,59
2006-02-18,63
2006-02-19,61
2006-02-20,59
2006-02-21,60
2006-02-22,60
2006-02-23,61
2006-02-24,60
2006-02-25,65
2006-02-26,62
2006-02-27,62
2006-02-28,63
2006-03-01,64
2006-03-02,65
2006-03-03,66
2006-03-04,69
2006-03-05,68
2006-03-06,65
2006-03-07,65
2006-03-08,66
2006-03-09,64
2006-03-10,64
2006-03-11,67
2006-03-12,67
2006-03-13,63
2006-03-14,63
2006-03-15,62
2006-03-16,64
2006-03-17,62
2006-03-18,65
2006-03-19,63
2006-03-20,62
2006-03-21,63
2006-03-22,62
2006-03-23,62
2006-03-24,62
2006-03-25,65
2006-03-26,64
2006-03-27,63
2006-03-28,64
2006-03-29,65
2006-03-30,65
2006-03-31,66
2006-05-01,68
2006-05-02,68
2006-05-03,70
2006-05-04,67
2006-05-05,67
2006-05-06,71
2006-05-07,70
2006-05-08,67
2006-05-09,67
2006-05-10,67
2006-05-11,67
2006-05-12,67
2006-05-13,71
2006-05-14,67
2006-05-15,67
2006-05-16,68
2006-05-17,67
2006-05-18,67
2006-05-19,67
2006-05-20,72
2006-05-21,67
2006-05-22,66
2006-05-23,66
2006-05-24,65
2006-05-25,66
2006-05-26,65
2006-05-27,69
2006-05-28,68
2006-05-29,66
2006-05-30,66
2006-05-31,67
2006-06-01,67
2006-06-02,68
2006-06-03,74
2006-06-04,70
2006-06-05,68
2006-06-06,69
2006-06-07,68
2006-06-08,68
2006-06-09,68
2006-06-10,72
2006-06-11,68
2006-06-12,67
2006-06-13,67
2006-06-14,67
2006-06-15,66
2006-06-16,66
2006-06-17,69
2006-06-18,70
2006-06-19,66
2006-06-20,67
2006-06-21,68
2006-06-22,68
2006-06-23,68
2006-06-24,73
2006-06-25,72
2006-06-26,70
2006-06-27,71
2006-06-28,71
2006-06-29,71
2006-06-30,72
2006-07-01,78
2006-07-02,76
2006-07-03,73
2006-07-04,74
2006-07-05,74
2006-07-06,75
2006-07-07,75
2006-07-08,80
2006-07-09,76
2006-07-10,75
2006-07-11,75
2006-07-12,76
2006-07-13,75
2006-07-14,75
2006-07-15,78
2006-07-16,77
2006-07-17,75
2006-07-18,75
2006-07-19,75
2006-07-20,75
2006-07-21,75
2006-07-22,81
2006-07-23,77
2006-07-24,75
2006-07-25,76
2006-07-26,76
2006-07-27,77
2006-07-28,78
2006-07-29,82
2006-07-30,79
2006-07-31,78
2006-08-01,78
2006-08-02,78
2006-08-03,79
2006-08-04,78
2006-08-05,84
2006-08-06,80
2006-08-07,77
2006-08-08,77
2006-08-09,77
2006-08-10,76
2006-08-11,75
2006-08-12,81
2006-08-13,75
