Date,Citibank
2009-06-13,66
2009-06-14,65
2009-06-15,65
2009-06-16,65
2009-06-17,65
2009-06-18,67
2009-06-19,65
2009-06-20,65
2009-06-21,65
2009-06-22,65
2009-06-23,65
2009-06-24,65
2009-06-25,65
2009-06-26,65
2009-06-27,65
2009-06-28,66
2009-06-29,67
2009-06-30,72
2009-07-01,69
2009-07-02,70
2009-07-03,71
2009-07-04,72
2009-07-05,70
2009-07-06,68
2009-07-07,66
2009-07-08,65
2009-07-09,63
2009-07-10,61
2009-07-11,60
2009-07-12,60
2009-07-13,61
2009-07-14,63
2009-07-15,62
2009-07-16,63
2009-07-17,65
2009-07-18,64
2009-07-19,64
2009-07-20,65
2009-07-21,66
2009-07-22,66
2009-07-23,67
2009-07-24,68
2009-07-25,69
2009-07-26,67
2009-07-27,65
2009-07-28,63
2009-07-29,61
2009-07-30,59
2009-07-31,57
2009-08-01,56
2009-08-02,59
2009-08-03,66
2009-08-04,70
2009-08-05,69
2009-08-06,76
2009-08-07,77
2009-08-08,80
2009-08-09,80
2009-08-10,80
2009-08-11,82
2009-08-12,80
2009-08-13,80
2009-08-14,80
2009-08-15,81
2009-08-16,77
2009-08-17,74
2009-08-18,72
2009-08-19,69
2009-08-20,67
2009-08-21,64
2009-08-22,62
2009-08-23,61
2009-08-24,60
2009-08-25,60
2009-08-26,60
2009-08-27,60
2009-08-28,58
2009-08-29,58
2009-08-30,59
2009-08-31,60
2009-09-01,61
2009-09-02,62
2009-09-03,63
2009-09-04,64
2009-09-05,66
2009-09-06,66
2009-09-07,66
2009-09-08,70
2009-09-09,66
2009-09-10,66
2009-09-11,67
2009-09-12,66
2009-09-13,66
2009-09-14,66
2009-09-15,69
2009-09-16,66
2009-09-17,66
2009-09-18,66
2009-09-19,66
2009-09-20,63
2009-09-21,60
2009-09-22,57
2009-09-23,55
2009-09-24,53
2009-09-25,49
2009-09-26,47
2009-09-27,50
2009-09-28,53
2009-09-29,56
2009-09-30,61
2009-10-01,62
2009-10-02,65
2009-10-03,69
2009-10-04,69
2009-10-05,70
2009-10-06,71
2009-10-07,71
2009-10-08,75
2009-10-09,73
2009-10-10,74
2009-10-11,72
2009-10-12,70
2009-10-13,68
2009-10-14,66
2009-10-15,64
2009-10-16,62
2009-10-17,60
2009-10-18,61
2009-10-19,65
2009-10-20,65
2009-10-21,66
2009-10-22,68
2009-10-23,70
2009-10-24,72
2009-10-25,73
2009-10-26,74
2009-10-27,81
2009-10-28,77
2009-10-29,82
2009-10-30,80
2009-10-31,82
2009-11-01,81
2009-11-02,80
2009-11-03,84
2009-11-04,80
2009-11-05,78
2009-11-06,77
2009-11-07,80
2009-11-08,74
2009-11-09,72
2009-11-10,69
2009-11-11,71
2009-11-12,64
2009-11-13,62
2009-11-14,60
2009-11-15,58
2009-11-16,56
2009-11-17,54
2009-11-18,55
2009-11-19,51
2009-11-20,49
2009-11-21,48
2009-11-22,48
2009-11-23,48
2009-11-24,49
2009-11-25,49
2009-11-26,50
2009-11-27,51
2009-11-28,51
2009-11-29,52
2009-11-30,53
2009-12-01,54
2009-12-02,55
2009-12-03,56
2009-12-04,57
2009-12-05,59
2009-12-06,59
2009-12-07,60
2009-12-08,66
2009-12-09,62
2009-12-10,63
2009-12-11,64
2009-12-12,65
2009-12-13,63
2009-12-14,61
2009-12-15,59
2009-12-16,58
2009-12-17,56
2009-12-18,57
2009-12-19,53
2009-12-20,59
2009-12-21,66
2009-12-22,73
2009-12-23,79
2009-12-24,92
2009-12-25,93
2009-12-26,100
2009-12-27,98
2009-12-28,97
2009-12-29,95
2009-12-30,101
2009-12-31,92
2010-01-01,97
2010-01-02,90
2010-01-03,88
2010-01-04,87
2010-01-05,86
2010-01-06,85
2010-01-07,91
2010-01-08,83
2010-01-09,82
2010-01-10,79
2010-01-11,76
2010-01-12,81
2010-01-13,71
2010-01-14,68
2010-01-15,65
2010-01-16,63
2010-01-17,63
2010-01-18,64
2010-01-19,65
2010-01-20,65
2010-01-21,66
2010-01-22,68
2010-01-23,73
2010-01-24,65
2010-01-25,63
2010-01-26,61
2010-01-27,59
2010-01-28,57
2010-01-29,56
2010-01-30,53
2010-01-31,56
2010-02-01,60
2010-02-02,62
2010-02-03,68
2010-02-04,68
2010-02-05,72
2010-02-06,76
2010-02-07,74
2010-02-08,75
2010-02-09,75
2010-02-10,83
2010-02-11,79
2010-02-12,77
2010-02-13,78
2010-02-14,74
2010-02-15,71
2010-02-16,68
2010-02-17,64
2010-02-18,62
2010-02-19,58
2010-02-20,55
2010-02-21,56
2010-02-22,57
2010-02-23,63
2010-02-24,60
2010-02-25,68
2010-02-26,63
2010-02-27,65
2010-02-28,66
2010-03-01,67
2010-03-02,71
2010-03-03,69
2010-03-04,73
2010-03-05,71
2010-03-06,73
2010-03-07,70
2010-03-08,68
2010-03-09,66
2010-03-10,63
2010-03-11,61
2010-03-12,59
2010-03-13,60
2010-03-14,58
2010-03-15,59
2010-03-16,60
2010-03-17,61
2010-03-18,66
2010-03-19,63
2010-03-20,64
2010-03-21,64
2010-03-22,64
2010-03-23,64
2010-03-24,66
2010-03-25,64
2010-03-26,64
2010-03-27,69
2010-03-28,67
2010-03-29,69
2010-03-30,71
2010-03-31,73
2010-04-01,79
2010-04-02,77
2010-04-03,80
2010-04-04,79
2010-04-05,78
2010-04-06,80
2010-04-07,80
2010-04-08,75
2010-04-09,74
2010-04-10,73
2010-04-11,72
2010-04-12,73
2010-04-13,72
2010-04-14,75
2010-04-15,71
2010-04-16,71
2010-04-17,71
2010-04-18,71
2010-04-19,71
2010-04-20,71
2010-04-21,72
2010-04-22,74
2010-04-23,73
2010-04-24,73
2010-04-25,73
2010-04-26,73
2010-04-27,73
2010-04-28,74
2010-04-29,73
2010-04-30,73
2010-05-01,73
2010-05-02,73
2010-05-03,74
2010-05-04,82
2010-05-05,76
2010-05-06,77
2010-05-07,80
2010-05-08,79
2010-05-09,80
2010-05-10,74
2010-05-11,71
2010-05-12,69
2010-05-13,67
2010-05-14,64
2010-05-15,62
2010-05-16,64
2010-05-17,66
2010-05-18,72
2010-05-19,71
2010-05-20,73
2010-05-21,75
2010-05-22,79
2010-05-23,77
2010-05-24,77
2010-05-25,78
2010-05-26,77
2010-05-27,76
2010-05-28,76
2010-05-29,76
2010-05-30,77
2010-05-31,78
2010-06-01,79
2010-06-02,81
2010-06-03,84
2010-06-04,83
2010-06-05,89
2010-06-06,84
2010-06-07,83
2010-06-08,82
2010-06-09,82
2010-06-10,83
2010-06-11,82
2010-06-12,80
2010-06-13,77
2010-06-14,75
2010-06-15,73
2010-06-16,70
2010-06-17,68
2010-06-18,66
2010-06-19,64
2010-06-20,66
