Date,Citibank
2010-03-01,78
2010-03-02,60
2010-03-03,60
2010-03-04,47
2010-03-05,64
2010-03-06,64
2010-03-07,64
2010-03-08,64
2010-03-09,68
2010-03-10,69
2010-03-11,70
2010-03-12,72
2010-03-13,50
2010-03-14,50
2010-03-15,50
2010-03-16,46
2010-03-17,84
2010-03-18,56
2010-03-19,55
2010-03-20,55
2010-03-21,55
2010-03-22,55
2010-03-23,58
2010-03-24,51
2010-03-25,51
2010-03-26,79
2010-03-27,55
2010-03-28,55
2010-03-29,55
2010-03-30,65
2010-03-31,76
2010-04-01,56
2010-04-02,75
2010-04-03,78
2010-04-04,81
2010-04-05,83
2010-04-06,64
2010-04-07,46
2010-04-08,51
2010-04-09,55
2010-04-10,62
2010-04-11,65
2010-04-12,59
2010-04-13,63
2010-04-14,47
2010-04-15,47
2010-04-16,45
2010-04-17,45
2010-04-18,45
2010-04-19,45
2010-04-20,45
2010-04-21,63
2010-04-22,55
2010-04-23,53
2010-04-24,57
2010-04-25,60
2010-04-26,71
2010-04-27,68
2010-04-28,61
2010-04-29,61
2010-04-30,61
2010-05-01,62
2010-05-02,62
2010-05-03,100
2010-05-04,56
2010-05-05,65
2010-05-06,70
2010-05-07,59
2010-05-08,74
2010-05-09,55
2010-05-10,55
2010-05-11,56
2010-05-12,56
2010-05-13,54
2010-05-14,58
2010-05-15,63
2010-05-16,68
2010-05-17,73
2010-05-18,55
2010-05-19,58
2010-05-20,62
2010-05-21,76
2010-05-22,68
2010-05-23,68
2010-05-24,68
2010-05-25,60
2010-05-26,56
2010-05-27,56
2010-05-28,58
2010-05-29,60
2010-05-30,62
2010-05-31,64
2010-06-01,58
2010-06-02,63
2010-06-03,53
2010-06-04,64
2010-06-05,46
2010-06-06,46
2010-06-07,46
2010-06-08,60
2010-06-09,69
2010-06-10,60
2010-06-11,54
2010-06-12,55
2010-06-13,55
2010-06-14,55
2010-06-15,56
2010-06-16,56
2010-06-17,58
2010-06-18,59
2010-06-19,59
2010-06-20,59
2010-06-21,59
2010-06-22,54
2010-06-23,58
2010-06-24,100
2010-06-25,51
2010-06-26,55
2010-06-27,59
2010-06-28,63
2010-06-29,43
2010-06-30,78
2010-07-01,61
2010-07-02,54
2010-07-03,57
2010-07-04,60
2010-07-05,63
2010-07-06,78
2010-07-07,56
2010-07-08,38
2010-07-09,51
2010-07-10,61
2010-07-11,70
2010-07-12,44
2010-07-13,44
2010-07-14,78
2010-07-15,48
2010-07-16,48
2010-07-17,54
2010-07-18,60
2010-07-19,37
2010-07-20,39
2010-07-21,40
2010-07-22,42
2010-07-23,44
2010-07-24,50
2010-07-25,56
2010-07-26,62
2010-07-27,36
2010-07-28,0
2010-07-29,0
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,56
2010-08-03,69
2010-08-04,53
2010-08-05,53
2010-08-06,44
2010-08-07,47
2010-08-08,51
2010-08-09,55
2010-08-10,40
2010-08-11,66
2010-08-12,45
2010-08-13,44
2010-08-14,53
2010-08-15,48
2010-08-16,45
2010-08-17,40
2010-08-18,48
2010-08-19,53
2010-08-20,58
2010-08-21,63
2010-08-22,47
2010-08-23,53
2010-08-24,53
2010-08-25,75
2010-08-26,36
2010-08-27,46
2010-08-28,56
2010-08-29,59
2010-08-30,63
2010-08-31,0
2010-09-01,52
2010-09-02,83
2010-09-03,100
2010-09-04,67
2010-09-05,67
2010-09-06,67
2010-09-07,55
2010-09-08,55
2010-09-09,60
2010-09-10,49
2010-09-11,49
2010-09-12,49
2010-09-13,49
2010-09-14,41
2010-09-15,47
2010-09-16,59
2010-09-17,72
2010-09-18,60
2010-09-19,61
2010-09-20,62
2010-09-21,50
2010-09-22,63
2010-09-23,49
2010-09-24,61
2010-09-25,65
2010-09-26,69
2010-09-27,72
2010-09-28,49
2010-09-29,49
2010-09-30,57
2010-10-01,43
2010-10-02,55
2010-10-03,66
2010-10-04,68
2010-10-05,89
2010-10-06,56
2010-10-07,56
2010-10-08,56
2010-10-09,53
2010-10-10,52
2010-10-11,54
2010-10-12,68
2010-10-13,57
2010-10-14,52
2010-10-15,51
2010-10-16,55
2010-10-17,59
2010-10-18,63
2010-10-19,72
2010-10-20,80
2010-10-21,49
2010-10-22,51
2010-10-23,54
2010-10-24,56
2010-10-25,58
2010-10-26,59
2010-10-27,57
2010-10-28,57
2010-10-29,47
2010-10-30,51
2010-10-31,56
2010-11-01,74
2010-11-02,62
2010-11-03,62
2010-11-04,59
2010-11-05,53
2010-11-06,53
2010-11-07,53
2010-11-08,39
2010-11-09,50
2010-11-10,51
2010-11-11,60
2010-11-12,47
2010-11-13,47
2010-11-14,47
2010-11-15,47
2010-11-16,39
2010-11-17,48
2010-11-18,56
2010-11-19,72
2010-11-20,50
2010-11-21,68
2010-11-22,87
2010-11-23,39
2010-11-24,59
2010-11-25,68
2010-11-26,47
2010-11-27,49
2010-11-28,56
2010-11-29,64
2010-11-30,53
2010-12-01,82
2010-12-02,59
2010-12-03,63
2010-12-04,63
2010-12-05,63
2010-12-06,63
2010-12-07,59
2010-12-08,77
2010-12-09,69
2010-12-10,55
2010-12-11,47
2010-12-12,47
2010-12-13,47
2010-12-14,43
2010-12-15,53
2010-12-16,57
2010-12-17,62
2010-12-18,67
2010-12-19,68
2010-12-20,69
2010-12-21,71
2010-12-22,85
2010-12-23,100
2010-12-24,65
2010-12-25,76
2010-12-26,87
2010-12-27,97
2010-12-28,96
2010-12-29,66
2010-12-30,55
2010-12-31,56
2011-01-01,58
2011-01-02,59
2011-01-03,61
2011-01-04,75
2011-01-05,79
2011-01-06,44
2011-01-07,58
2011-01-08,71
2011-01-09,72
2011-01-10,72
2011-01-11,37
2011-01-12,42
2011-01-13,42
2011-01-14,43
2011-01-15,66
2011-01-16,42
2011-01-17,42
2011-01-18,60
2011-01-19,52
2011-01-20,41
2011-01-21,43
2011-01-22,51
2011-01-23,58
2011-01-24,66
2011-01-25,67
2011-01-26,63
2011-01-27,51
2011-01-28,51
2011-01-29,46
2011-01-30,49
2011-01-31,53
2011-02-01,89
2011-02-02,45
2011-02-03,45
2011-02-04,45
2011-02-05,45
2011-02-06,49
2011-02-07,75
2011-02-08,62
2011-02-09,85
2011-02-10,45
2011-02-11,39
2011-02-12,60
2011-02-13,36
2011-02-14,36
2011-02-15,47
2011-02-16,58
2011-02-17,50
2011-02-18,50
2011-02-19,54
2011-02-20,58
2011-02-21,69
2011-02-22,47
2011-02-23,54
2011-02-24,62
2011-02-25,61
2011-02-26,77
2011-02-27,49
2011-02-28,64
2011-03-01,75
2011-03-02,40
2011-03-03,40
2011-03-04,42
2011-03-05,54
2011-03-06,60
2011-03-07,66
2011-03-08,53
2011-03-09,44
2011-03-10,68
2011-03-11,44
2011-03-12,56
2011-03-13,67
2011-03-14,79
2011-03-15,75
2011-03-16,51
2011-03-17,61
2011-03-18,70
2011-03-19,49
2011-03-20,49
2011-03-21,79
2011-03-22,66
2011-03-23,51
2011-03-24,80
2011-03-25,93
2011-03-26,78
2011-03-27,78
2011-03-28,78
2011-03-29,67
