Date,Thomas Weisel
2007-08-01,77
2007-08-02,77
2007-08-03,77
2007-08-04,77
2007-08-05,77
2007-08-06,77
2007-08-07,77
2007-08-08,77
2007-08-09,77
2007-08-10,77
2007-08-11,77
2007-08-12,77
2007-08-13,77
2007-08-14,77
2007-08-15,77
2007-08-16,77
2007-08-17,77
2007-08-18,77
2007-08-19,77
2007-08-20,77
2007-08-21,77
2007-08-22,77
2007-08-23,77
2007-08-24,77
2007-08-25,77
2007-08-26,77
2007-08-27,77
2007-08-28,77
2007-08-29,77
2007-08-30,77
2007-08-31,77
2007-09-01,77
2007-09-02,77
2007-09-03,77
2007-09-04,77
2007-09-05,77
2007-09-06,77
2007-09-07,77
2007-09-08,77
2007-09-09,77
2007-09-10,77
2007-09-11,77
2007-09-12,77
2007-09-13,77
2007-09-14,77
2007-09-15,77
2007-09-16,77
2007-09-17,77
2007-09-18,77
2007-09-19,77
2007-09-20,77
2007-09-21,77
2007-09-22,77
2007-09-23,77
2007-09-24,77
2007-09-25,77
2007-09-26,77
2007-09-27,77
2007-09-28,77
2007-09-29,77
2007-09-30,77
2007-10-01,77
2007-10-02,76
2007-10-03,76
2007-10-04,76
2007-10-05,76
2007-10-06,76
2007-10-07,76
2007-10-08,76
2007-10-09,76
2007-10-10,76
2007-10-11,76
2007-10-12,75
2007-10-13,75
2007-10-14,75
2007-10-15,75
2007-10-16,75
2007-10-17,75
2007-10-18,75
2007-10-19,75
2007-10-20,75
2007-10-21,75
2007-10-22,74
2007-10-23,74
2007-10-24,74
2007-10-25,74
2007-10-26,74
2007-10-27,74
2007-10-28,74
2007-10-29,74
2007-10-30,74
2007-10-31,74
2007-11-01,74
2007-11-02,74
2007-11-03,74
2007-11-04,74
2007-11-05,74
2007-11-06,74
2007-11-07,74
2007-11-08,74
2007-11-09,74
2007-11-10,74
2007-11-11,74
2007-11-12,74
2007-11-13,74
2007-11-14,74
2007-11-15,74
2007-11-16,74
2007-11-17,74
2007-11-18,74
2007-11-19,74
2007-11-20,74
2007-11-21,74
2007-11-22,74
2007-11-23,74
2007-11-24,74
2007-11-25,74
2007-11-26,74
2007-11-27,74
2007-11-28,74
2007-11-29,74
2007-11-30,74
2007-12-01,74
2007-12-02,74
2007-12-03,74
2007-12-04,74
2007-12-05,74
2007-12-06,74
2007-12-07,74
2007-12-08,74
2007-12-09,74
2007-12-10,74
2007-12-11,74
2007-12-12,74
2007-12-13,74
2007-12-14,74
2007-12-15,74
2007-12-16,74
2007-12-17,74
2007-12-18,74
2007-12-19,74
2007-12-20,74
2007-12-21,74
2007-12-22,74
2007-12-23,74
2007-12-24,74
2007-12-25,74
2007-12-26,74
2007-12-27,74
2007-12-28,74
2007-12-29,74
2007-12-30,74
2007-12-31,74
2008-01-01,74
2008-01-02,74
2008-01-03,74
2008-01-04,74
2008-01-05,74
2008-01-06,74
2008-01-07,74
2008-01-08,74
2008-01-09,74
2008-01-10,74
2008-01-11,74
2008-01-12,74
2008-01-13,74
2008-01-14,74
2008-01-15,74
