Date,Panmure Gordon
2007-08-01,62
2007-08-02,63
2007-08-03,64
2007-08-04,65
2007-08-05,66
2007-08-06,68
2007-08-07,69
2007-08-08,70
2007-08-09,71
2007-08-10,73
2007-08-11,74
2007-08-12,75
2007-08-13,76
2007-08-14,77
2007-08-15,79
2007-08-16,80
2007-08-17,81
2007-08-18,82
2007-08-19,84
2007-08-20,85
2007-08-21,86
2007-08-22,87
2007-08-23,88
2007-08-24,90
2007-08-25,91
2007-08-26,92
2007-08-27,93
2007-08-28,95
2007-08-29,96
2007-08-30,97
2007-08-31,98
2007-09-01,100
2007-09-02,98
2007-09-03,97
2007-09-04,96
2007-09-05,95
2007-09-06,94
2007-09-07,93
2007-09-08,92
2007-09-09,90
2007-09-10,89
2007-09-11,88
2007-09-12,87
2007-09-13,86
2007-09-14,85
2007-09-15,84
2007-09-16,83
2007-09-17,81
2007-09-18,80
2007-09-19,79
2007-09-20,78
2007-09-21,77
2007-09-22,76
2007-09-23,75
2007-09-24,73
2007-09-25,72
2007-09-26,71
2007-09-27,70
2007-09-28,69
2007-09-29,68
2007-09-30,67
2007-10-01,66
2007-10-02,66
2007-10-03,66
2007-10-04,66
2007-10-05,66
2007-10-06,66
2007-10-07,67
2007-10-08,67
2007-10-09,67
2007-10-10,67
2007-10-11,67
2007-10-12,68
2007-10-13,68
2007-10-14,68
2007-10-15,68
2007-10-16,68
2007-10-17,69
2007-10-18,69
2007-10-19,69
2007-10-20,69
2007-10-21,69
2007-10-22,70
2007-10-23,70
2007-10-24,70
2007-10-25,70
2007-10-26,70
2007-10-27,71
2007-10-28,71
2007-10-29,71
2007-10-30,71
2007-10-31,71
2007-11-01,72
2007-11-02,70
2007-11-03,69
2007-11-04,68
2007-11-05,67
2007-11-06,66
2007-11-07,65
2007-11-08,64
2007-11-09,63
2007-11-10,62
2007-11-11,61
2007-11-12,60
2007-11-13,59
2007-11-14,58
2007-11-15,57
2007-11-16,56
2007-11-17,55
2007-11-18,54
2007-11-19,53
2007-11-20,52
2007-11-21,51
2007-11-22,50
2007-11-23,49
2007-11-24,48
2007-11-25,47
2007-11-26,46
2007-11-27,45
2007-11-28,44
2007-11-29,43
2007-11-30,42
2007-12-01,41
2007-12-02,41
2007-12-03,41
2007-12-04,42
2007-12-05,42
2007-12-06,42
2007-12-07,43
2007-12-08,43
2007-12-09,44
2007-12-10,44
2007-12-11,44
2007-12-12,45
2007-12-13,45
2007-12-14,46
2007-12-15,46
2007-12-16,46
2007-12-17,47
2007-12-18,47
2007-12-19,47
2007-12-20,48
2007-12-21,48
2007-12-22,49
2007-12-23,49
2007-12-24,49
2007-12-25,50
2007-12-26,50
2007-12-27,51
2007-12-28,51
2007-12-29,51
2007-12-30,52
2007-12-31,52
2008-01-01,53
2008-01-02,53
2008-01-03,54
2008-01-04,55
2008-01-05,56
2008-01-06,56
2008-01-07,57
2008-01-08,58
2008-01-09,59
2008-01-10,59
2008-01-11,60
2008-01-12,61
2008-01-13,62
2008-01-14,63
2008-01-15,63
2008-01-16,64
2008-01-17,65
2008-01-18,66
2008-01-19,66
2008-01-20,67
2008-01-21,68
2008-01-22,69
2008-01-23,70
2008-01-24,70
2008-01-25,71
2008-01-26,72
2008-01-27,73
2008-01-28,73
2008-01-29,74
2008-01-30,75
2008-01-31,76
2008-02-01,77
2008-02-02,77
2008-02-03,77
2008-02-04,77
2008-02-05,77
2008-02-06,77
2008-02-07,78
2008-02-08,78
2008-02-09,78
2008-02-10,78
2008-02-11,78
2008-02-12,78
2008-02-13,79
2008-02-14,79
2008-02-15,79
2008-02-16,79
2008-02-17,79
2008-02-18,79
2008-02-19,80
2008-02-20,80
2008-02-21,80
2008-02-22,80
2008-02-23,80
2008-02-24,80
2008-02-25,81
2008-02-26,81
2008-02-27,81
2008-02-28,81
2008-02-29,81
2008-03-01,82
2008-03-02,80
2008-03-03,79
2008-03-04,77
2008-03-05,76
2008-03-06,74
2008-03-07,73
2008-03-08,71
2008-03-09,70
2008-03-10,68
2008-03-11,67
2008-03-12,66
2008-03-13,64
2008-03-14,63
2008-03-15,61
2008-03-16,60
2008-03-17,58
2008-03-18,57
2008-03-19,55
2008-03-20,54
2008-03-21,52
2008-03-22,51
2008-03-23,50
2008-03-24,48
2008-03-25,47
2008-03-26,45
2008-03-27,44
2008-03-28,42
2008-03-29,41
2008-03-30,39
2008-03-31,38
2008-04-01,37
2008-04-02,37
2008-04-03,37
2008-04-04,37
2008-04-05,37
2008-04-06,38
2008-04-07,38
2008-04-08,38
2008-04-09,38
2008-04-10,38
2008-04-11,39
2008-04-12,39
2008-04-13,39
2008-04-14,39
2008-04-15,39
2008-04-16,40
2008-04-17,40
2008-04-18,40
2008-04-19,40
2008-04-20,40
