Date,Robert W Baird
2008-01-12,0
2008-01-13,0
2008-01-14,0
2008-01-15,0
2008-01-16,0
2008-01-17,0
2008-01-18,0
2008-01-19,0
2008-01-20,14
2008-01-21,28
2008-01-22,42
2008-01-23,56
2008-01-24,70
2008-01-25,85
2008-01-26,99
2008-01-27,93
2008-01-28,88
2008-01-29,82
2008-01-30,77
2008-01-31,71
2008-02-01,65
2008-02-02,60
2008-02-03,60
2008-02-04,60
2008-02-05,60
2008-02-06,60
2008-02-07,60
2008-02-08,60
2008-02-09,60
2008-02-10,60
2008-02-11,60
2008-02-12,60
2008-02-13,60
2008-02-14,60
2008-02-15,60
2008-02-16,60
2008-02-17,60
2008-02-18,60
2008-02-19,60
2008-02-20,60
2008-02-21,60
2008-02-22,60
2008-02-23,60
2008-02-24,60
2008-02-25,60
2008-02-26,60
2008-02-27,60
2008-02-28,60
2008-02-29,60
2008-03-01,60
2008-03-02,60
2008-03-03,60
2008-03-04,60
2008-03-05,60
2008-03-06,60
2008-03-07,60
2008-03-08,60
2008-03-09,60
2008-03-10,61
2008-03-11,62
2008-03-12,62
2008-03-13,63
2008-03-14,64
2008-03-15,65
2008-03-16,69
2008-03-17,75
2008-03-18,80
2008-03-19,85
2008-03-20,90
2008-03-21,96
2008-03-22,105
2008-03-23,94
2008-03-24,94
2008-03-25,94
2008-03-26,93
2008-03-27,93
2008-03-28,93
2008-03-29,93
2008-03-30,93
2008-04-06,93
2008-04-07,93
2008-04-08,93
2008-04-09,93
2008-04-10,94
2008-04-11,94
2008-04-12,94
2008-04-13,90
2008-04-14,85
2008-04-15,81
2008-04-16,78
2008-04-17,74
2008-04-18,70
2008-04-19,67
2008-04-20,67
2008-04-21,67
2008-04-22,67
2008-04-23,67
2008-04-24,67
2008-04-25,67
2008-04-26,67
2008-04-27,67
2008-04-28,67
2008-04-29,67
2008-04-30,67
2008-05-01,67
2008-05-02,67
2008-05-03,67
2008-05-04,67
2008-05-05,67
2008-05-06,67
2008-05-07,68
2008-05-08,68
2008-05-09,68
2008-05-10,69
2008-05-11,69
2008-05-12,69
2008-05-13,69
2008-05-14,69
2008-05-15,69
2008-05-16,69
2008-05-17,70
2008-05-18,70
2008-05-19,70
2008-05-20,70
2008-05-21,71
2008-05-22,71
2008-05-23,71
2008-05-24,72
2008-05-25,72
2008-05-26,72
2008-05-27,72
2008-05-28,72
2008-05-29,72
2008-05-30,72
2008-05-31,73
2008-06-01,73
2008-06-02,75
2008-06-03,76
2008-06-04,77
2008-06-05,78
2008-06-06,79
2008-06-07,82
2008-06-08,73
2008-06-09,72
2008-06-10,71
2008-06-11,69
2008-06-12,68
2008-06-13,67
2008-06-14,66
2008-06-15,66
2008-06-16,66
2008-06-17,66
2008-06-18,66
2008-06-19,66
2008-06-20,66
2008-06-21,66
2008-06-22,66
2008-06-23,66
2008-06-24,66
2008-06-25,66
2008-06-26,66
2008-06-27,66
2008-06-28,66
2008-06-29,56
2008-07-06,0
2008-07-07,0
2008-07-08,0
2008-07-09,0
2008-07-10,0
2008-07-11,0
2008-07-12,0
2008-07-13,0
2008-07-14,0
2008-07-15,0
2008-07-16,0
2008-07-17,0
2008-07-18,0
2008-07-19,0
2008-07-20,0
2008-07-21,0
2008-07-22,0
2008-07-23,0
2008-07-24,0
2008-07-25,0
2008-07-26,0
2008-07-27,0
2008-07-28,0
2008-07-29,0
2008-07-30,0
2008-07-31,0
2008-08-01,0
2008-08-02,0
2008-08-03,0
2008-08-04,0
2008-08-05,0
2008-08-06,0
2008-08-07,0
2008-08-08,0
2008-08-09,0
2008-08-10,0
2008-08-11,0
2008-08-12,0
2008-08-13,0
2008-08-14,0
2008-08-15,0
2008-08-16,0
2008-08-17,8
2008-08-18,16
2008-08-19,25
2008-08-20,33
2008-08-21,42
2008-08-22,50
2008-08-23,59
2008-08-24,60
2008-08-25,62
2008-08-26,63
2008-08-27,65
2008-08-28,66
2008-08-29,68
2008-08-30,70
2008-08-31,71
2008-09-01,73
2008-09-02,75
2008-09-03,77
2008-09-04,78
2008-09-05,80
2008-09-06,82
2008-09-07,80
2008-09-08,78
2008-09-09,76
2008-09-10,74
2008-09-11,72
2008-09-12,70
2008-09-13,69
2008-09-14,68
2008-09-15,68
2008-09-16,67
2008-09-17,67
2008-09-18,66
2008-09-19,65
2008-09-20,65
2008-09-21,64
2008-09-22,64
2008-09-23,63
2008-09-24,62
2008-09-25,62
2008-09-26,62
2008-09-27,64
2008-09-28,59
2008-10-05,71
2008-10-06,74
2008-10-07,77
2008-10-08,80
2008-10-09,82
2008-10-10,85
2008-10-11,88
2008-10-12,85
2008-10-13,82
2008-10-14,79
2008-10-15,76
2008-10-16,73
2008-10-17,70
2008-10-18,67
2008-10-19,70
2008-10-20,74
2008-10-21,77
2008-10-22,80
2008-10-23,84
2008-10-24,87
2008-10-25,91
2008-10-26,86
2008-10-27,81
2008-10-28,76
2008-10-29,72
2008-10-30,67
2008-10-31,63
2008-11-01,59
2008-11-02,63
2008-11-03,67
2008-11-04,71
2008-11-05,75
2008-11-06,79
2008-11-07,83
2008-11-08,88
2008-11-09,86
2008-11-10,83
2008-11-11,81
2008-11-12,79
2008-11-13,77
2008-11-14,75
2008-11-15,73
2008-11-16,73
2008-11-17,74
2008-11-18,75
2008-11-19,76
2008-11-20,77
2008-11-21,78
2008-11-22,79
2008-11-23,75
2008-11-24,72
2008-11-25,68
2008-11-26,65
2008-11-27,61
2008-11-28,58
2008-11-29,55
2008-11-30,56
2008-12-01,58
2008-12-02,60
2008-12-03,62
2008-12-04,64
2008-12-05,66
2008-12-06,68
2008-12-07,69
2008-12-08,71
2008-12-09,73
2008-12-10,74
2008-12-11,76
2008-12-12,78
2008-12-13,80
2008-12-14,78
2008-12-15,79
2008-12-16,78
2008-12-17,77
2008-12-18,76
2008-12-19,76
2008-12-20,77
2008-12-21,69
2008-12-22,68
2008-12-23,67
2008-12-24,67
2008-12-25,66
2008-12-26,65
2008-12-27,65
2008-12-28,65
2009-01-04,64
2009-01-05,64
2009-01-06,63
2009-01-07,63
2009-01-08,63
2009-01-09,62
2009-01-10,62
2009-01-11,60
2009-01-12,58
2009-01-13,57
2009-01-14,55
2009-01-15,54
2009-01-16,52
2009-01-17,51
2009-01-18,53
2009-01-19,55
2009-01-20,57
2009-01-21,59
2009-01-22,61
2009-01-23,63
2009-01-24,65
2009-01-25,64
2009-01-26,63
