Date,Canaccord Adams Inc
2009-08-02,41
2009-08-03,44
2009-08-04,47
2009-08-05,51
2009-08-06,54
2009-08-07,57
2009-08-08,61
2009-08-09,59
2009-08-10,59
2009-08-11,57
2009-08-12,56
2009-08-13,55
2009-08-14,54
2009-08-15,53
2009-08-16,53
2009-08-17,52
2009-08-18,52
2009-08-19,52
2009-08-20,52
2009-08-21,52
2009-08-22,52
2009-08-23,51
2009-08-24,50
2009-08-25,49
2009-08-26,48
2009-08-27,47
2009-08-28,46
2009-08-29,45
2009-08-30,46
2009-08-31,46
2009-09-01,47
2009-09-02,48
2009-09-03,49
2009-09-04,50
2009-09-05,51
2009-09-06,53
2009-09-07,55
2009-09-08,57
2009-09-09,59
2009-09-10,61
2009-09-11,63
2009-09-12,65
2009-09-13,66
2009-09-14,68
2009-09-15,69
2009-09-16,70
2009-09-17,72
2009-09-18,73
2009-09-19,75
2009-09-20,74
2009-09-21,73
2009-09-22,72
2009-09-23,72
2009-09-24,71
2009-09-25,70
2009-09-26,69
2009-09-27,69
2009-09-28,68
2009-09-29,68
2009-09-30,67
2009-10-01,67
2009-10-02,67
2009-10-03,67
2009-10-04,71
2009-10-05,76
2009-10-06,81
2009-10-07,85
2009-10-08,90
2009-10-09,95
2009-10-10,99
2009-10-11,97
2009-10-12,92
2009-10-13,89
2009-10-14,86
2009-10-15,83
2009-10-16,80
2009-10-17,78
2009-10-18,78
2009-10-19,79
2009-10-20,80
2009-10-21,81
2009-10-22,81
2009-10-23,82
2009-10-24,83
2009-10-25,77
2009-11-01,45
2009-11-02,45
2009-11-03,45
2009-11-04,46
2009-11-05,46
2009-11-06,46
2009-11-07,47
2009-11-08,47
2009-11-09,49
2009-11-10,49
2009-11-11,50
2009-11-12,51
2009-11-13,52
2009-11-14,53
2009-11-15,52
2009-11-16,51
2009-11-17,50
2009-11-18,49
2009-11-19,48
2009-11-20,47
2009-11-21,46
2009-11-22,47
2009-11-23,49
2009-11-24,51
2009-11-25,53
2009-11-26,55
2009-11-27,57
2009-11-28,59
2009-11-29,60
2009-11-30,61
2009-12-01,62
2009-12-02,63
2009-12-03,64
2009-12-04,65
2009-12-05,67
2009-12-06,66
2009-12-07,65
2009-12-08,64
2009-12-09,63
2009-12-10,63
2009-12-11,62
2009-12-12,61
2009-12-13,59
2009-12-14,58
2009-12-15,56
2009-12-16,55
2009-12-17,53
2009-12-18,52
2009-12-19,51
2009-12-20,51
2009-12-21,51
2009-12-22,51
2009-12-23,51
2009-12-24,52
2009-12-25,52
2009-12-26,52
2009-12-27,51
2009-12-28,49
2009-12-29,48
2009-12-30,46
2009-12-31,45
2010-01-01,44
2010-01-02,43
2010-01-03,45
2010-01-04,48
2010-01-05,51
2010-01-06,54
2010-01-07,56
2010-01-08,59
2010-01-09,62
2010-01-10,58
2010-01-11,55
2010-01-12,52
2010-01-13,48
2010-01-14,45
2010-01-15,41
2010-01-16,38
2010-01-17,38
2010-01-18,38
2010-01-19,38
2010-01-20,39
2010-01-21,39
2010-01-22,39
2010-01-23,40
2010-01-24,42
2010-01-25,44
2010-01-26,46
2010-01-27,48
2010-01-28,50
2010-01-29,52
2010-01-30,54
2010-01-31,56
2010-02-07,65
2010-02-08,63
2010-02-09,60
2010-02-10,57
2010-02-11,55
2010-02-12,52
2010-02-13,49
2010-02-14,47
2010-02-15,45
2010-02-16,43
2010-02-17,41
2010-02-18,39
2010-02-19,37
2010-02-20,36
2010-02-21,36
2010-02-22,37
2010-02-23,38
2010-02-24,39
2010-02-25,40
2010-02-26,41
2010-02-27,42
2010-02-28,47
2010-03-01,54
2010-03-02,60
2010-03-03,65
2010-03-04,71
2010-03-05,77
2010-03-06,83
2010-03-07,80
2010-03-08,76
2010-03-09,72
2010-03-10,69
2010-03-11,65
2010-03-12,62
2010-03-13,59
2010-03-14,56
2010-03-15,54
2010-03-16,52
2010-03-17,50
2010-03-18,48
2010-03-19,46
2010-03-20,44
2010-03-21,43
2010-03-22,42
2010-03-23,41
2010-03-24,40
2010-03-25,39
2010-03-26,38
2010-03-27,38
2010-03-28,39
2010-05-02,59
2010-05-03,58
2010-05-04,57
2010-05-05,56
2010-05-06,55
2010-05-07,54
2010-05-08,53
2010-05-09,55
2010-05-10,58
2010-05-11,60
2010-05-12,63
2010-05-13,66
2010-05-14,68
2010-05-15,71
2010-05-16,70
2010-05-17,69
2010-05-18,68
2010-05-19,67
2010-05-20,66
2010-05-21,65
2010-05-22,64
2010-05-23,61
2010-05-24,57
2010-05-25,54
2010-05-26,52
2010-05-27,49
2010-05-28,46
2010-05-29,44
2010-05-30,48
2010-05-31,53
2010-06-01,58
2010-06-02,62
2010-06-03,67
2010-06-04,72
2010-06-05,77
2010-06-06,72
2010-06-07,67
2010-06-08,63
2010-06-09,58
2010-06-10,54
2010-06-11,49
2010-06-12,45
2010-06-13,46
2010-06-14,48
2010-06-15,49
2010-06-16,50
2010-06-17,52
2010-06-18,53
2010-06-19,54
2010-06-20,56
2010-06-21,57
2010-06-22,59
2010-06-23,60
2010-06-24,62
2010-06-25,64
2010-06-26,66
2010-06-27,65
2010-06-28,64
2010-06-29,64
2010-06-30,63
2010-07-01,63
2010-07-02,62
2010-07-03,62
2010-07-04,63
2010-07-05,65
2010-07-06,66
2010-07-07,67
2010-07-08,69
2010-07-09,70
2010-07-10,71
2010-07-11,67
2010-07-12,61
2010-07-13,57
2010-07-14,52
2010-07-15,48
2010-07-16,43
2010-07-17,39
2010-07-18,42
2010-07-19,46
2010-07-20,49
2010-07-21,53
2010-07-22,56
2010-07-23,60
2010-07-24,64
2010-07-25,64
2010-08-01,66
2010-08-02,69
2010-08-03,72
2010-08-04,75
2010-08-05,78
2010-08-06,81
2010-08-07,84
2010-08-08,85
2010-08-09,86
2010-08-10,87
2010-08-11,88
2010-08-12,89
2010-08-13,91
2010-08-14,92
2010-08-15,93
2010-08-16,95
2010-08-17,96
2010-08-18,97
2010-08-19,99
2010-08-20,100
2010-08-21,101
2010-08-22,95
2010-08-23,87
2010-08-24,81
2010-08-25,74
2010-08-26,68
2010-08-27,62
2010-08-28,56
2010-08-29,57
2010-08-30,58
2010-08-31,60
2010-09-01,61
2010-09-02,62
2010-09-03,63
2010-09-04,64
2010-09-05,62
2010-09-06,59
2010-09-07,57
2010-09-08,54
2010-09-09,52
2010-09-10,50
2010-09-11,48
2010-09-12,51
2010-09-13,54
2010-09-14,57
2010-09-15,61
2010-09-16,64
2010-09-17,67
2010-09-18,71
2010-09-19,73
2010-09-20,75
2010-09-21,77
2010-09-22,79
2010-09-23,81
2010-09-24,83
2010-09-25,86
2010-09-26,85
2010-09-27,85
2010-09-28,84
2010-09-29,84
2010-09-30,83
2010-10-01,83
2010-10-02,82
2010-10-03,81
2010-10-04,79
2010-10-05,77
2010-10-06,76
2010-10-07,74
2010-10-08,73
2010-10-09,72
2010-10-10,73
2010-10-11,75
2010-10-12,76
2010-10-13,77
2010-10-14,78
2010-10-15,80
2010-10-16,81
2010-10-17,78
2010-10-18,74
2010-10-19,70
2010-10-20,67
2010-10-21,63
2010-10-22,60
2010-10-23,57
2010-10-24,59
2010-10-25,63
2010-10-26,66
2010-10-27,69
2010-10-28,72
2010-10-29,75
2010-10-30,78
2010-10-31,74
2010-11-07,48
2010-11-08,49
2010-11-09,50
2010-11-10,50
2010-11-11,51
2010-11-12,52
2010-11-13,53
2010-11-14,55
2010-11-15,57
2010-11-16,59
2010-11-17,61
2010-11-18,63
2010-11-19,65
2010-11-20,67
2010-11-21,68
2010-11-22,71
2010-11-23,72
2010-11-24,74
2010-11-25,76
2010-11-26,78
2010-11-27,79
2010-11-28,78
2010-11-29,75
2010-11-30,73
2010-12-01,72
2010-12-02,70
2010-12-03,68
2010-12-04,67
2010-12-05,67
2010-12-06,67
2010-12-07,67
2010-12-08,67
2010-12-09,67
2010-12-10,67
2010-12-11,67
2010-12-12,66
2010-12-13,65
2010-12-14,64
2010-12-15,64
