Date,Aegis Capital
2012-09-05,75
2012-09-06,74
2012-09-07,74
2012-09-08,73
2012-09-09,72
2012-09-10,72
2012-09-11,71
2012-09-12,71
2012-09-13,70
2012-09-14,69
2012-09-15,69
2012-09-16,68
2012-09-17,67
2012-09-18,67
2012-09-19,66
2012-09-20,65
2012-09-21,65
2012-09-22,64
2012-09-23,64
2012-09-24,63
2012-09-25,62
2012-09-26,62
2012-09-27,61
2012-09-28,60
2012-09-29,60
2012-09-30,59
2012-10-01,59
2012-10-02,58
2012-10-03,58
2012-10-04,58
2012-10-05,58
2012-10-06,58
2012-10-07,57
2012-10-08,57
2012-10-09,57
2012-10-10,57
2012-10-11,57
2012-10-12,56
2012-10-13,56
2012-10-14,56
2012-10-15,56
2012-10-16,56
2012-10-17,55
2012-10-18,55
2012-10-19,55
2012-10-20,55
2012-10-21,55
2012-10-22,54
2012-10-23,54
2012-10-24,54
2012-10-25,54
2012-10-26,54
2012-10-27,53
2012-10-28,53
2012-10-29,53
2012-10-30,53
2012-10-31,53
2012-11-01,53
2012-11-02,53
2012-11-03,54
2012-11-04,55
2012-11-05,55
2012-11-06,56
2012-11-07,57
2012-11-08,57
2012-11-09,58
2012-11-10,59
2012-11-11,59
2012-11-12,60
2012-11-13,61
2012-11-14,61
2012-11-15,62
2012-11-16,63
2012-11-17,63
2012-11-18,64
2012-11-19,65
2012-11-20,65
2012-11-21,66
2012-11-22,67
2012-11-23,67
2012-11-24,68
2012-11-25,69
2012-11-26,69
2012-11-27,70
2012-11-28,71
2012-11-29,71
2012-11-30,72
2012-12-01,73
2012-12-02,72
2012-12-03,71
2012-12-04,70
2012-12-05,69
2012-12-06,68
2012-12-07,68
2012-12-08,67
2012-12-09,66
2012-12-10,65
2012-12-11,64
2012-12-12,64
2012-12-13,63
2012-12-14,62
2012-12-15,61
2012-12-16,60
2012-12-17,60
2012-12-18,59
2012-12-19,58
2012-12-20,57
2012-12-21,56
2012-12-22,56
2012-12-23,55
2012-12-24,54
2012-12-25,53
2012-12-26,52
2012-12-27,52
2012-12-28,51
2012-12-29,50
2012-12-30,49
2012-12-31,48
2013-01-01,48
2013-01-02,48
2013-01-03,49
2013-01-04,50
2013-01-05,51
2013-01-06,52
2013-01-07,53
2013-01-08,54
2013-01-09,55
2013-01-10,56
2013-01-11,57
2013-01-12,58
2013-01-13,59
2013-01-14,60
2013-01-15,61
2013-01-16,62
2013-01-17,63
2013-01-18,64
2013-01-19,65
2013-01-20,66
2013-01-21,67
2013-01-22,68
2013-01-23,69
2013-01-24,70
2013-01-25,71
2013-01-26,72
2013-01-27,73
2013-01-28,74
2013-01-29,75
2013-01-30,76
2013-01-31,77
2013-02-01,78
2013-02-02,77
2013-02-03,77
2013-02-04,77
2013-02-05,77
2013-02-06,77
2013-02-07,77
2013-02-08,77
2013-02-09,77
2013-02-10,77
2013-02-11,76
2013-02-12,76
2013-02-13,76
2013-02-14,76
2013-02-15,76
2013-02-16,76
2013-02-17,76
2013-02-18,76
2013-02-19,76
2013-02-20,75
2013-02-21,75
2013-02-22,75
2013-02-23,75
2013-02-24,75
2013-02-25,75
2013-02-26,75
2013-02-27,75
2013-02-28,75
2013-03-01,75
2013-03-02,74
2013-03-03,74
2013-03-04,73
2013-03-05,73
2013-03-06,72
2013-03-07,72
2013-03-08,72
2013-03-09,71
2013-03-10,71
2013-03-11,70
2013-03-12,70
2013-03-13,69
2013-03-14,69
2013-03-15,69
2013-03-16,68
2013-03-17,68
2013-03-18,67
2013-03-19,67
2013-03-20,67
2013-03-21,66
2013-03-22,66
2013-03-23,65
2013-03-24,65
2013-03-25,64
2013-03-26,64
2013-03-27,64
2013-03-28,63
2013-03-29,63
2013-03-30,62
2013-03-31,62
2013-04-01,62
2013-04-02,61
2013-04-03,61
2013-04-04,60
2013-04-05,60
2013-04-06,59
2013-04-07,59
2013-04-08,58
2013-04-09,58
2013-04-10,57
2013-04-11,57
2013-04-12,56
2013-04-13,56
2013-04-14,55
2013-04-15,55
2013-04-16,55
2013-04-17,54
2013-04-18,54
2013-04-19,53
2013-04-20,53
2013-04-21,52
2013-04-22,52
2013-04-23,51
2013-04-24,51
2013-04-25,50
2013-04-26,50
2013-04-27,49
2013-04-28,49
2013-04-29,48
2013-04-30,48
2013-05-01,48
2013-05-02,48
2013-05-03,49
2013-05-04,49
2013-05-05,50
2013-05-06,51
2013-05-07,51
2013-05-08,52
2013-05-09,53
2013-05-10,53
2013-05-11,54
2013-05-12,55
2013-05-13,55
2013-05-14,56
2013-05-15,57
2013-05-16,57
2013-05-17,58
2013-05-18,58
2013-05-19,59
2013-05-20,60
2013-05-21,60
2013-05-22,61
2013-05-23,62
2013-05-24,62
2013-05-25,63
2013-05-26,64
2013-05-27,64
2013-05-28,65
2013-05-29,66
2013-05-30,66
2013-05-31,67
2013-06-01,68
2013-06-02,67
2013-06-03,67
2013-06-04,67
2013-06-05,67
2013-06-06,67
2013-06-07,67
2013-06-08,67
2013-06-09,66
2013-06-10,66
2013-06-11,66
2013-06-12,66
2013-06-13,66
2013-06-14,66
2013-06-15,66
2013-06-16,66
2013-06-17,65
2013-06-18,65
2013-06-19,65
2013-06-20,65
2013-06-21,65
2013-06-22,65
2013-06-23,65
2013-06-24,64
2013-06-25,64
2013-06-26,64
2013-06-27,64
2013-06-28,64
2013-06-29,64
2013-06-30,64
2013-07-01,64
2013-07-02,63
2013-07-03,63
2013-07-04,63
2013-07-05,63
2013-07-06,63
2013-07-07,63
2013-07-08,62
2013-07-09,62
2013-07-10,62
2013-07-11,62
2013-07-12,62
2013-07-13,62
2013-07-14,61
2013-07-15,61
2013-07-16,61
2013-07-17,61
2013-07-18,61
2013-07-19,61
2013-07-20,60
2013-07-21,60
2013-07-22,60
2013-07-23,60
2013-07-24,60
2013-07-25,60
2013-07-26,59
2013-07-27,59
2013-07-28,59
2013-07-29,59
2013-07-30,59
2013-07-31,59
2013-08-01,59
2013-08-02,58
2013-08-03,58
2013-08-04,57
2013-08-05,57
2013-08-06,56
2013-08-07,56
2013-08-08,56
2013-08-09,55
2013-08-10,55
2013-08-11,54
2013-08-12,54
2013-08-13,53
2013-08-14,53
2013-08-15,53
2013-08-16,52
2013-08-17,52
2013-08-18,51
2013-08-19,51
2013-08-20,51
2013-08-21,50
2013-08-22,50
2013-08-23,49
2013-08-24,49
2013-08-25,48
2013-08-26,48
2013-08-27,48
2013-08-28,47
2013-08-29,47
2013-08-30,46
2013-08-31,46
2013-09-01,46
2013-09-02,46
2013-09-03,47
2013-09-04,48
2013-09-05,49
2013-09-06,50
2013-09-07,51
2013-09-08,51
2013-09-09,52
2013-09-10,53
2013-09-11,54
2013-09-12,55
2013-09-13,56
2013-09-14,56
2013-09-15,57
2013-09-16,58
2013-09-17,59
2013-09-18,60
2013-09-19,61
2013-09-20,61
2013-09-21,62
2013-09-22,63
2013-09-23,64
2013-09-24,65
2013-09-25,66
2013-09-26,66
2013-09-27,67
2013-09-28,68
2013-09-29,69
2013-09-30,70
2013-10-01,71
2013-10-02,71
2013-10-03,71
2013-10-04,72
2013-10-05,72
2013-10-06,72
2013-10-07,73
2013-10-08,73
2013-10-09,73
2013-10-10,74
2013-10-11,74
2013-10-12,74
