Date,Seeking
2009-12-01,53
2009-12-02,55
2009-12-03,56
2009-12-04,57
2009-12-05,59
2009-12-06,59
2009-12-07,60
2009-12-08,62
2009-12-09,61
2009-12-10,61
2009-12-11,62
2009-12-12,63
2009-12-13,61
2009-12-14,60
2009-12-15,59
2009-12-16,57
2009-12-17,56
2009-12-18,55
2009-12-19,54
2009-12-20,54
2009-12-21,54
2009-12-22,54
2009-12-23,54
2009-12-24,54
2009-12-25,54
2009-12-26,54
2009-12-27,54
2009-12-28,54
2009-12-29,54
2009-12-30,55
2009-12-31,55
2010-01-01,55
2010-01-02,56
2010-01-03,57
2010-01-04,58
2010-01-05,62
2010-01-06,60
2010-01-07,61
2010-01-08,62
2010-01-09,63
2010-01-10,64
2010-01-11,65
2010-01-12,67
2010-01-13,72
2010-01-14,70
2010-01-15,71
2010-01-16,73
2010-01-17,73
2010-01-18,73
2010-01-19,73
2010-01-20,76
2010-01-21,73
2010-01-22,73
2010-01-23,73
2010-01-24,71
2010-01-25,69
2010-01-26,70
2010-01-27,66
2010-01-28,65
2010-01-29,63
2010-01-30,62
2010-01-31,63
2010-02-01,64
2010-02-02,65
2010-02-03,66
2010-02-04,67
2010-02-05,68
2010-02-06,70
2010-02-07,67
2010-02-08,64
2010-02-09,62
2010-02-10,59
2010-02-11,59
2010-02-12,54
2010-02-13,52
2010-02-14,52
2010-02-15,52
2010-02-16,52
2010-02-17,52
2010-02-18,52
2010-02-19,52
2010-02-20,53
2010-02-21,53
2010-02-22,54
2010-02-23,55
2010-02-24,56
2010-02-25,57
2010-02-26,58
2010-02-27,59
2010-02-28,59
2010-03-07,60
2010-03-08,59
2010-03-09,58
2010-03-10,57
2010-03-11,56
2010-03-12,55
2010-03-13,54
2010-03-14,53
2010-03-15,52
2010-03-16,52
2010-03-17,51
2010-03-18,51
2010-03-19,50
2010-03-20,50
2010-03-21,50
2010-03-22,50
2010-03-23,51
2010-03-24,51
2010-03-25,52
2010-03-26,52
2010-03-27,53
2010-03-28,54
2010-03-29,55
2010-03-30,56
2010-03-31,57
2010-04-01,58
2010-04-02,59
2010-04-03,61
2010-04-04,59
2010-04-05,58
2010-04-06,57
2010-04-07,56
2010-04-08,55
2010-04-09,54
2010-04-10,53
2010-04-11,52
2010-04-12,51
2010-04-13,51
2010-04-14,50
2010-04-15,50
2010-04-16,49
2010-04-17,49
2010-04-18,50
2010-04-19,52
2010-04-20,54
2010-04-21,56
2010-04-22,58
2010-04-23,60
2010-04-24,62
2010-04-25,61
2010-04-26,60
2010-04-27,59
2010-04-28,59
2010-04-29,58
2010-04-30,57
2010-05-01,57
2010-05-02,58
2010-05-03,59
2010-05-04,60
2010-05-05,61
2010-05-06,62
2010-05-07,64
2010-05-08,65
2010-05-09,63
2010-05-10,61
2010-05-11,59
2010-05-12,57
2010-05-13,55
2010-05-14,53
2010-05-15,51
2010-05-16,50
2010-05-17,49
2010-05-18,49
2010-05-19,48
2010-05-20,48
2010-05-21,47
2010-05-22,47
2010-05-23,46
2010-05-24,46
2010-05-25,45
2010-05-26,45
2010-05-27,44
2010-05-28,44
2010-05-29,44
2010-05-30,44
2010-06-06,49
2010-06-07,48
2010-06-08,47
2010-06-09,46
2010-06-10,45
2010-06-11,45
2010-06-12,44
2010-06-13,42
2010-06-14,40
2010-06-15,38
2010-06-16,36
2010-06-17,34
2010-06-18,32
2010-06-19,30
2010-06-20,33
2010-06-21,36
2010-06-22,39
2010-06-23,42
2010-06-24,45
2010-06-25,48
2010-06-26,51
2010-06-27,51
2010-06-28,52
2010-06-29,52
2010-06-30,52
2010-07-01,53
2010-07-02,53
2010-07-03,54
2010-07-04,52
2010-07-05,51
2010-07-06,49
2010-07-07,48
2010-07-08,46
2010-07-09,45
2010-07-10,44
2010-07-11,45
2010-07-12,47
2010-07-13,49
2010-07-14,51
2010-07-15,53
2010-07-16,55
2010-07-17,56
2010-07-18,54
2010-07-19,51
2010-07-20,49
2010-07-21,47
2010-07-22,45
2010-07-23,43
2010-07-24,41
2010-07-25,41
2010-07-26,41
2010-07-27,41
2010-07-28,42
2010-07-29,42
2010-07-30,42
2010-07-31,43
2010-08-01,45
2010-08-02,48
2010-08-03,50
2010-08-04,53
2010-08-05,56
2010-08-06,58
2010-08-07,61
2010-08-08,58
2010-08-09,55
2010-08-10,53
2010-08-11,50
2010-08-12,48
2010-08-13,45
