Date,Seeking
2009-11-07,56
2009-11-08,59
2009-11-09,64
2009-11-10,67
2009-11-11,71
2009-11-12,75
2009-11-13,79
2009-11-14,83
2009-11-15,78
2009-11-16,73
2009-11-17,68
2009-11-18,63
2009-11-19,58
2009-11-20,54
2009-11-21,49
2009-11-22,50
2009-11-23,50
2009-11-24,51
2009-11-25,51
2009-11-26,52
2009-11-27,53
2009-11-28,54
2009-11-29,56
2009-11-30,58
2009-12-01,60
2009-12-02,62
2009-12-03,64
2009-12-04,66
2009-12-05,68
2009-12-06,68
2009-12-07,67
2009-12-08,67
2009-12-09,66
2009-12-10,66
2009-12-11,66
2009-12-12,66
2009-12-13,63
2009-12-14,60
2009-12-15,57
2009-12-16,54
2009-12-17,51
2009-12-18,48
2009-12-19,45
2009-12-20,46
2009-12-21,47
2009-12-22,48
2009-12-23,49
2009-12-24,50
2009-12-25,51
2009-12-26,53
2009-12-27,54
2009-12-28,55
2009-12-29,56
2009-12-30,58
2009-12-31,59
2010-01-01,60
2010-01-02,62
2010-01-03,62
2010-01-04,63
2010-01-05,64
2010-01-06,64
2010-01-07,65
2010-01-08,66
2010-01-09,67
2010-01-10,66
2010-01-11,66
2010-01-12,66
2010-01-13,65
2010-01-14,65
2010-01-15,64
2010-01-16,64
2010-01-17,66
2010-01-18,69
2010-01-19,71
2010-01-20,74
2010-01-21,76
2010-01-22,78
2010-01-23,81
2010-01-24,79
2010-01-25,78
2010-01-26,76
2010-01-27,75
2010-01-28,73
2010-01-29,72
2010-01-30,71
2010-01-31,72
2010-02-07,76
2010-02-08,72
2010-02-09,68
2010-02-10,65
2010-02-11,61
2010-02-12,57
2010-02-13,54
2010-02-14,54
2010-02-15,54
2010-02-16,54
2010-02-17,54
2010-02-18,54
2010-02-19,54
2010-02-20,55
2010-02-21,55
2010-02-22,56
2010-02-23,57
2010-02-24,57
2010-02-25,58
2010-02-26,59
2010-02-27,60
2010-02-28,60
2010-03-01,60
2010-03-02,60
2010-03-03,60
2010-03-04,60
2010-03-05,61
2010-03-06,61
2010-03-07,60
2010-03-08,60
2010-03-09,59
2010-03-10,59
2010-03-11,58
2010-03-12,57
2010-03-13,57
2010-03-14,56
2010-03-15,54
2010-03-16,53
2010-03-17,52
2010-03-18,51
2010-03-19,50
2010-03-20,49
2010-03-21,51
2010-03-22,54
2010-03-23,56
2010-03-24,59
2010-03-25,61
2010-03-26,64
2010-03-27,67
2010-03-28,66
2010-05-02,51
2010-05-03,53
2010-05-04,55
2010-05-05,57
2010-05-06,59
2010-05-07,61
2010-05-08,63
2010-05-09,62
2010-05-10,61
2010-05-11,59
2010-05-12,58
2010-05-13,57
2010-05-14,56
2010-05-15,55
2010-05-16,54
2010-05-17,52
2010-05-18,51
2010-05-19,50
2010-05-20,49
2010-05-21,48
2010-05-22,47
2010-05-23,48
2010-05-24,49
2010-05-25,51
2010-05-26,52
2010-05-27,54
2010-05-28,55
2010-05-29,57
2010-05-30,57
2010-05-31,57
2010-06-01,57
2010-06-02,57
2010-06-03,57
2010-06-04,57
2010-06-05,57
2010-06-06,54
2010-06-07,51
2010-06-08,49
2010-06-09,46
2010-06-10,43
2010-06-11,40
2010-06-12,38
2010-06-13,38
2010-06-14,38
2010-06-15,38
2010-06-16,39
2010-06-17,39
2010-06-18,39
2010-06-19,40
2010-06-20,41
2010-06-21,43
2010-06-22,45
2010-06-23,47
2010-06-24,49
2010-06-25,51
2010-06-26,53
2010-06-27,53
2010-06-28,53
2010-06-29,53
2010-06-30,53
2010-07-01,53
2010-07-02,53
2010-07-03,53
2010-07-04,52
2010-07-05,51
2010-07-06,50
2010-07-07,49
2010-07-08,48
2010-07-09,47
2010-07-10,47
2010-07-11,48
2010-07-12,49
2010-07-13,50
2010-07-14,51
2010-07-15,52
2010-07-16,53
2010-07-17,54
2010-07-18,52
2010-07-19,50
2010-07-20,48
2010-07-21,46
2010-07-22,44
2010-07-23,42
2010-07-24,40
2010-07-25,39
2010-08-01,38
2010-08-02,41
2010-08-03,45
2010-08-04,48
2010-08-05,52
2010-08-06,55
2010-08-07,59
2010-08-08,57
2010-08-09,55
2010-08-10,53
2010-08-11,51
2010-08-12,49
2010-08-13,47
2010-08-14,45
2010-08-15,47
2010-08-16,49
2010-08-17,52
2010-08-18,55
2010-08-19,57
2010-08-20,59
2010-08-21,62
2010-08-22,63
2010-08-23,65
2010-08-24,68
2010-08-25,69
2010-08-26,71
2010-08-27,73
2010-08-28,75
2010-08-29,71
2010-08-30,67
2010-08-31,63
2010-09-01,59
2010-09-02,55
2010-09-03,51
2010-09-04,48
2010-09-05,48
2010-09-06,48
2010-09-07,48
2010-09-08,50
2010-09-09,48
2010-09-10,48
2010-09-11,48
2010-09-12,49
2010-09-13,51
2010-09-14,52
2010-09-15,54
2010-09-16,55
2010-09-17,57
2010-09-18,59
2010-09-19,60
2010-09-20,61
2010-09-21,62
2010-09-22,63
2010-09-23,64
2010-09-24,71
2010-09-25,67
2010-09-26,64
2010-09-27,61
2010-09-28,58
2010-09-29,56
2010-09-30,53
2010-10-01,50
2010-10-02,48
2010-10-03,50
2010-10-04,53
2010-10-05,56
2010-10-06,59
2010-10-07,62
2010-10-08,66
2010-10-09,68
2010-10-10,66
2010-10-11,64
2010-10-12,62
2010-10-13,60
2010-10-14,58
2010-10-15,56
2010-10-16,54
2010-10-17,55
2010-10-18,56
2010-10-19,58
2010-10-20,59
2010-10-21,61
2010-10-22,62
2010-10-23,64
2010-10-24,63
2010-10-25,62
2010-10-26,62
2010-10-27,61
2010-10-28,61
2010-10-29,60
2010-10-30,60
2010-10-31,63
2010-11-01,67
2010-11-02,71
2010-11-03,75
2010-11-04,81
2010-11-05,83
2010-11-06,87
2010-11-07,84
2010-11-08,81
2010-11-09,79
2010-11-10,76
2010-11-11,74
2010-11-12,70
2010-11-13,68
2010-11-14,68
2010-11-15,69
2010-11-16,70
2010-11-17,71
2010-11-18,74
2010-11-19,74
2010-11-20,75
2010-11-21,71
2010-11-22,68
2010-11-23,65
2010-11-24,62
2010-11-25,59
2010-11-26,56
2010-11-27,54
2010-11-28,54
2010-11-29,54
2010-11-30,55
2010-12-01,54
2010-12-02,55
2010-12-03,54
2010-12-04,55
2010-12-05,56
2010-12-06,57
2010-12-07,58
2010-12-08,61
2010-12-09,61
2010-12-10,62
2010-12-11,64
2010-12-12,64
2010-12-13,64
2010-12-14,64
2010-12-15,67
2010-12-16,65
2010-12-17,65
2010-12-18,66
2010-12-19,64
2010-12-20,62
2010-12-21,60
2010-12-22,59
2010-12-23,58
2010-12-24,59
2010-12-25,54
2010-12-26,54
2010-12-27,54
2010-12-28,55
2010-12-29,55
2010-12-30,55
2010-12-31,55
2011-01-01,56
2011-01-02,59
2011-01-03,62
2011-01-04,65
2011-01-05,70
2011-01-06,71
2011-01-07,74
2011-01-08,81
2011-01-09,75
2011-01-10,73
2011-01-11,71
2011-01-12,71
2011-01-13,67
2011-01-14,66
2011-01-15,63
2011-01-16,63
2011-01-17,64
2011-01-18,64
2011-01-19,65
2011-01-20,65
2011-01-21,66
2011-01-22,67
2011-01-23,66
2011-01-24,66
2011-01-25,66
2011-01-26,66
2011-01-27,65
2011-01-28,66
2011-01-29,65
2011-01-30,65
2011-01-31,65
2011-02-01,65
2011-02-02,70
2011-02-03,67
2011-02-04,66
2011-02-05,67
2011-02-06,67
2011-02-07,68
2011-02-08,70
2011-02-09,69
2011-02-10,70
2011-02-11,71
2011-02-12,73
2011-02-13,70
2011-02-14,69
2011-02-15,68
2011-02-16,71
2011-02-17,66
2011-02-18,65
2011-02-19,68
2011-02-20,63
2011-02-21,63
2011-02-22,63
2011-02-23,63
2011-02-24,63
2011-02-25,63
2011-02-26,63
2011-02-27,66
2011-02-28,65
2011-03-01,66
2011-03-02,70
2011-03-03,69
2011-03-04,72
2011-03-05,72
2011-03-06,71
2011-03-07,70
2011-03-08,69
2011-03-09,68
2011-03-10,67
2011-03-11,70
2011-03-12,66
2011-03-13,66
2011-03-14,67
2011-03-15,73
2011-03-16,68
2011-03-17,72
2011-03-18,70
2011-03-19,70
2011-03-20,71
2011-03-21,72
2011-03-22,76
2011-03-23,74
2011-03-24,76
2011-03-25,76
2011-03-26,77
2011-03-27,75
2011-03-28,73
2011-03-29,71
2011-03-30,70
2011-03-31,68
2011-05-01,70
2011-05-02,72
2011-05-03,75
2011-05-04,76
2011-05-05,78
2011-05-06,80
2011-05-07,82
2011-05-08,77
2011-05-09,72
2011-05-10,68
2011-05-11,63
2011-05-12,59
2011-05-13,54
2011-05-14,50
2011-05-15,52
2011-05-16,56
2011-05-17,57
2011-05-18,58
2011-05-19,60
2011-05-20,62
2011-05-21,68
2011-05-22,62
2011-05-23,60
2011-05-24,59
2011-05-25,57
