Date,BMO Capital Markets
2011-02-12,72
2011-02-13,70
2011-02-14,68
2011-02-15,67
2011-02-16,65
2011-02-17,64
2011-02-18,62
2011-02-19,61
2011-02-20,60
2011-02-21,59
2011-02-22,58
2011-02-23,58
2011-02-24,57
2011-02-25,56
2011-02-26,56
2011-02-27,59
2011-02-28,63
2011-03-01,67
2011-03-02,71
2011-03-03,75
2011-03-04,79
2011-03-05,83
2011-03-06,83
2011-03-07,84
2011-03-08,85
2011-03-09,86
2011-03-10,87
2011-03-11,88
2011-03-12,89
2011-03-13,86
2011-03-14,83
2011-03-15,80
2011-03-16,78
2011-03-17,75
2011-03-18,72
2011-03-19,70
2011-03-20,66
2011-03-21,63
2011-03-22,59
2011-03-23,56
2011-03-24,52
2011-03-25,49
2011-03-26,46
2011-03-27,46
2011-03-28,47
2011-03-29,47
2011-03-30,48
2011-03-31,48
2011-04-01,49
2011-04-02,50
2011-04-03,50
2011-04-04,50
2011-04-05,51
2011-04-06,51
2011-04-07,52
2011-04-08,52
2011-04-09,53
2011-04-10,53
2011-04-11,54
2011-04-12,54
2011-04-13,55
2011-04-14,55
2011-04-15,56
2011-04-16,57
2011-04-17,57
2011-04-18,57
2011-04-19,57
2011-04-20,58
2011-04-21,58
2011-04-22,58
2011-04-23,59
2011-04-24,57
2011-04-25,56
2011-04-26,54
2011-04-27,53
2011-04-28,51
2011-04-29,50
2011-04-30,49
2011-05-01,49
2011-05-02,49
2011-05-03,50
2011-05-04,50
2011-05-05,51
2011-05-06,51
2011-05-07,52
2011-05-08,53
2011-05-09,54
2011-05-10,55
2011-05-11,57
2011-05-12,58
2011-05-13,59
2011-05-14,61
2011-05-15,59
2011-05-16,57
2011-05-17,55
2011-05-18,53
2011-05-19,51
2011-05-20,49
2011-05-21,48
2011-05-22,48
2011-05-23,48
2011-05-24,48
2011-05-25,48
2011-05-26,48
2011-05-27,48
2011-05-28,48
2011-05-29,48
2011-05-30,48
2011-05-31,48
2011-06-01,48
2011-06-02,48
2011-06-03,48
2011-06-04,48
2011-06-05,51
2011-06-06,54
2011-06-07,57
2011-06-08,60
2011-06-09,63
2011-06-10,66
2011-06-11,69
2011-06-12,66
2011-06-13,62
2011-06-14,59
2011-06-15,56
2011-06-16,53
2011-06-17,50
2011-06-18,47
2011-06-19,47
2011-06-20,47
2011-06-21,47
2011-06-22,47
2011-06-23,47
2011-06-24,47
2011-06-25,47
2011-06-26,47
2011-06-27,48
2011-06-28,48
2011-06-29,49
2011-06-30,49
2011-07-01,50
2011-07-02,51
2011-07-03,51
2011-07-04,52
2011-07-05,53
2011-07-06,53
2011-07-07,54
2011-07-08,55
2011-07-09,56
2011-07-10,54
2011-07-11,53
2011-07-12,52
2011-07-13,50
2011-07-14,49
2011-07-15,48
2011-07-16,47
2011-07-17,48
2011-07-18,50
2011-07-19,52
2011-07-20,54
2011-07-21,56
2011-07-22,58
2011-07-23,62
2011-07-24,56
2011-07-25,56
2011-07-26,56
2011-07-27,56
2011-07-28,56
2011-07-29,56
2011-07-30,56
2011-07-31,56
2011-08-07,59
2011-08-08,63
2011-08-09,67
2011-08-10,71
2011-08-11,74
2011-08-12,78
2011-08-13,82
2011-08-14,79
2011-08-15,75
2011-08-16,72
2011-08-17,69
2011-08-18,65
2011-08-19,62
2011-08-20,59
2011-08-21,59
2011-08-22,58
2011-08-23,58
2011-08-24,57
2011-08-25,57
2011-08-26,57
2011-08-27,57
2011-08-28,58
2011-08-29,59
2011-08-30,60
2011-08-31,62
2011-09-01,63
2011-09-02,64
2011-09-03,66
2011-09-04,69
2011-09-05,74
2011-09-06,78
2011-09-07,82
2011-09-08,86
2011-09-09,91
2011-09-10,95
2011-09-11,91
2011-09-12,85
2011-09-13,81
2011-09-14,78
2011-09-15,74
2011-09-16,70
2011-09-17,67
2011-09-18,66
2011-09-19,66
2011-09-20,65
2011-09-21,65
2011-09-22,65
2011-09-23,64
2011-09-24,64
2011-09-25,64
2011-09-26,63
2011-09-27,63
2011-09-28,63
2011-09-29,63
2011-09-30,63
2011-10-01,63
2011-10-02,68
2011-10-03,74
2011-10-04,80
2011-10-05,85
2011-10-06,91
2011-10-07,96
2011-10-08,102
2011-10-09,94
2011-10-10,84
2011-10-11,76
2011-10-12,68
2011-10-13,60
2011-10-14,52
2011-10-15,44
2011-10-16,47
2011-10-17,51
2011-10-18,55
2011-10-19,59
2011-10-20,63
2011-10-21,67
2011-10-22,71
2011-10-23,68
2011-10-24,66
2011-10-25,64
2011-10-26,61
2011-10-27,59
2011-10-28,56
2011-10-29,54
2011-10-30,55
2011-11-06,62
2011-11-07,64
2011-11-08,66
2011-11-09,68
2011-11-10,70
2011-11-11,72
2011-11-12,74
2011-11-13,72
2011-11-14,70
2011-11-15,68
2011-11-16,66
2011-11-17,64
2011-11-18,62
2011-11-19,60
2011-11-20,57
2011-11-21,55
2011-11-22,53
2011-11-23,50
2011-11-24,48
2011-11-25,46
2011-11-26,44
2011-11-27,44
2011-11-28,44
2011-11-29,44
2011-11-30,44
2011-12-01,44
2011-12-02,44
2011-12-03,44
2011-12-04,44
2011-12-05,44
2011-12-06,44
2011-12-07,44
2011-12-08,44
2011-12-09,44
2011-12-10,44
2011-12-11,44
2011-12-12,44
2011-12-13,44
2011-12-14,44
2011-12-15,44
2011-12-16,44
2011-12-17,44
2011-12-18,44
2011-12-19,44
2011-12-20,44
2011-12-21,44
2011-12-22,44
2011-12-23,44
2011-12-24,44
2011-12-25,44
2011-12-26,44
2011-12-27,44
2011-12-28,44
2011-12-29,44
2011-12-30,44
2011-12-31,44
2012-01-01,44
2012-01-02,44
2012-01-03,44
2012-01-04,44
2012-01-05,44
2012-01-06,44
2012-01-07,44
2012-01-08,43
2012-01-09,43
2012-01-10,43
2012-01-11,42
2012-01-12,42
2012-01-13,42
2012-01-14,42
2012-01-15,42
2012-01-16,43
2012-01-17,44
2012-01-18,45
2012-01-19,46
2012-01-20,47
2012-01-21,48
2012-01-22,46
2012-01-23,44
2012-01-24,43
2012-01-25,41
2012-01-26,40
2012-01-27,38
2012-01-28,37
2012-01-29,37
2012-02-05,38
2012-02-06,40
2012-02-07,41
2012-02-08,43
2012-02-09,45
2012-02-10,46
2012-02-11,48
2012-02-12,47
2012-02-13,46
2012-02-14,45
2012-02-15,44
2012-02-16,43
2012-02-17,42
2012-02-18,41
2012-02-19,40
2012-02-20,39
2012-02-21,39
2012-02-22,38
2012-02-23,38
2012-02-24,37
2012-02-25,37
2012-02-26,39
2012-02-27,42
2012-02-28,45
2012-02-29,48
2012-03-01,51
2012-03-02,53
2012-03-03,56
2012-03-04,54
2012-03-05,51
2012-03-06,49
2012-03-07,47
2012-03-08,45
2012-03-09,43
2012-03-10,41
2012-03-11,40
2012-03-12,39
2012-03-13,39
2012-03-14,38
2012-03-15,38
2012-03-16,37
2012-03-17,37
2012-03-18,37
2012-03-19,37
2012-03-20,37
2012-03-21,37
2012-03-22,37
2012-03-23,37
2012-03-24,37
2012-03-25,39
2012-03-26,42
2012-03-27,45
2012-03-28,47
2012-03-29,50
2012-03-30,53
2012-03-31,56
2012-04-01,54
2012-04-02,52
2012-04-03,50
2012-04-04,48
2012-04-05,46
2012-04-06,44
2012-04-07,42
2012-04-08,41
2012-04-09,40
2012-04-10,40
2012-04-11,39
2012-04-12,39
2012-04-13,38
2012-04-14,38
2012-04-15,38
2012-04-16,39
2012-04-17,40
2012-04-18,40
2012-04-19,41
2012-04-20,42
2012-04-21,43
2012-04-22,44
2012-04-23,46
2012-04-24,47
2012-04-25,49
2012-04-26,51
2012-04-27,52
2012-04-28,54
2012-04-29,53
2012-05-06,43
2012-05-07,52
2012-05-08,41
2012-05-09,40
2012-05-10,39
2012-05-11,38
2012-05-12,37
2012-05-13,37
2012-05-14,37
2012-05-15,37
2012-05-16,37
2012-05-17,37
2012-05-18,37
2012-05-19,37
2012-05-20,38
2012-05-21,39
2012-05-22,40
2012-05-23,41
2012-05-24,42
2012-05-25,43
2012-05-26,44
2012-05-27,42
2012-05-28,41
2012-05-29,40
2012-05-30,39
2012-05-31,38
2012-06-01,37
2012-06-02,36
2012-06-03,36
2012-06-04,36
2012-06-05,36
2012-06-06,36
2012-06-07,36
2012-06-08,36
2012-06-09,36
2012-06-10,37
2012-06-11,39
2012-06-12,40
2012-06-13,42
2012-06-14,43
2012-06-15,44
2012-06-16,46
2012-06-17,45
2012-06-18,44
2012-06-19,43
2012-06-20,42
2012-06-21,41
2012-06-22,40
2012-06-23,40
2012-06-24,40
2012-06-25,40
2012-06-26,40
2012-06-27,40
2012-06-28,40
2012-06-29,40
2012-06-30,40
2012-07-01,40
2012-07-02,40
2012-07-03,40
2012-07-04,41
2012-07-05,41
2012-07-06,41
2012-07-07,42
2012-07-08,42
2012-07-09,42
2012-07-10,42
2012-07-11,42
2012-07-12,42
2012-07-13,42
2012-07-14,43
2012-07-15,43
2012-07-16,44
2012-07-17,45
2012-07-18,46
2012-07-19,47
2012-07-20,48
2012-07-21,49
2012-07-22,49
2012-07-23,52
2012-07-24,53
2012-07-25,54
2012-07-26,55
2012-07-27,57
2012-07-28,60
2012-07-29,55
2012-08-05,54
2012-08-06,53
2012-08-07,52
2012-08-08,51
2012-08-09,50
2012-08-10,49
2012-08-11,48
2012-08-12,46
2012-08-13,44
2012-08-14,43
2012-08-15,41
2012-08-16,40
2012-08-17,38
2012-08-18,37
2012-08-19,37
2012-08-20,37
2012-08-21,37
2012-08-22,37
2012-08-23,37
2012-08-24,37
2012-08-25,37
2012-08-26,38
2012-08-27,39
2012-08-28,41
2012-08-29,42
2012-08-30,44
2012-08-31,45
2012-09-01,47
2012-09-02,48
2012-09-03,49
2012-09-04,51
2012-09-05,52
2012-09-06,54
2012-09-07,55
2012-09-08,57
2012-09-09,57
2012-09-10,57
2012-09-11,58
2012-09-12,58
2012-09-13,58
2012-09-14,59
2012-09-15,59
2012-09-16,58
2012-09-17,57
2012-09-18,56
2012-09-19,55
2012-09-20,54
2012-09-21,53
2012-09-22,52
2012-09-23,52
2012-09-24,52
2012-09-25,52
2012-09-26,52
2012-09-27,52
2012-09-28,52
2012-09-29,52
2012-09-30,49
2012-10-01,46
2012-10-02,43
2012-10-03,41
2012-10-04,38
2012-10-05,35
2012-10-06,33
2012-10-07,33
2012-10-08,33
2012-10-09,34
2012-10-10,34
2012-10-11,34
2012-10-12,35
2012-10-13,36
2012-10-14,33
2012-10-15,33
2012-10-16,33
2012-10-17,33
2012-10-18,33
2012-10-19,33
2012-10-20,33
2012-10-21,28
2012-10-22,23
