Date,Goldman Sachs
2010-05-28,24
2010-05-29,25
2010-05-30,23
2010-05-31,23
2010-06-01,23
2010-06-02,22
2010-06-03,21
2010-06-04,21
2010-06-05,21
2010-06-06,22
2010-06-07,23
2010-06-08,24
2010-06-09,25
2010-06-10,26
2010-06-11,27
2010-06-12,29
2010-06-13,28
2010-06-14,27
2010-06-15,26
2010-06-16,26
2010-06-17,24
2010-06-18,24
2010-06-19,23
2010-06-20,22
2010-06-21,22
2010-06-22,22
2010-06-23,22
2010-06-24,20
2010-06-25,20
2010-06-26,22
2010-06-27,20
2010-06-28,20
2010-06-29,21
2010-06-30,21
2010-07-01,21
2010-07-02,22
2010-07-03,23
2010-07-04,21
2010-07-05,20
2010-07-06,20
2010-07-07,20
2010-07-08,19
2010-07-09,19
2010-07-10,18
2010-07-11,18
2010-07-12,19
2010-07-13,21
2010-07-14,21
2010-07-15,22
2010-07-16,23
2010-07-17,26
2010-07-18,24
2010-07-19,25
2010-07-20,25
2010-07-21,28
2010-07-22,26
2010-07-23,27
2010-07-24,32
2010-07-25,27
2010-07-26,26
2010-07-27,25
2010-07-28,25
2010-07-29,26
2010-07-30,23
2010-07-31,24
2010-08-01,23
2010-08-02,23
2010-08-03,23
2010-08-04,24
2010-08-05,25
2010-08-06,24
2010-08-07,27
2010-08-08,24
2010-08-09,23
2010-08-10,22
2010-08-11,21
2010-08-12,20
2010-08-13,20
2010-08-14,18
2010-08-15,18
2010-08-16,18
2010-08-17,18
2010-08-18,19
2010-08-19,18
2010-08-20,18
2010-08-21,20
2010-08-22,19
2010-08-23,19
2010-08-24,19
2010-08-25,20
2010-08-26,19
2010-08-27,20
2010-08-28,22
2010-08-29,19
2010-08-30,18
2010-08-31,18
2010-09-01,18
2010-09-02,17
2010-09-03,17
2010-09-04,17
2010-09-05,16
2010-09-06,16
2010-09-07,16
2010-09-08,17
2010-09-09,17
2010-09-10,17
2010-09-11,18
2010-09-12,18
2010-09-13,18
2010-09-14,19
2010-09-15,19
2010-09-16,18
2010-09-17,19
2010-09-18,20
2010-09-19,19
2010-09-20,19
2010-09-21,19
2010-09-22,20
2010-09-23,21
2010-09-24,20
2010-09-25,22
2010-09-26,21
2010-09-27,20
2010-09-28,20
2010-09-29,21
2010-09-30,19
2010-10-01,19
2010-10-02,20
2010-10-03,19
2010-10-04,19
2010-10-05,19
2010-10-06,19
2010-10-07,20
2010-10-08,19
2010-10-09,19
2010-10-10,19
2010-10-11,19
2010-10-12,19
2010-10-13,19
2010-10-14,20
2010-10-15,19
2010-10-16,20
2010-10-17,19
2010-10-18,20
2010-10-19,21
2010-10-20,21
2010-10-21,22
2010-10-22,23
2010-10-23,26
2010-10-24,23
2010-10-25,23
2010-10-26,22
2010-10-27,22
2010-10-28,22
2010-10-29,21
2010-10-30,22
2010-10-31,21
2010-11-01,21
2010-11-02,22
2010-11-03,21
2010-11-04,22
2010-11-05,24
2010-11-06,22
2010-11-07,24
2010-11-08,22
2010-11-09,23
2010-11-10,23
2010-11-11,25
2010-11-12,24
2010-11-13,26
2010-11-14,25
2010-11-15,25
2010-11-16,27
2010-11-17,26
2010-11-18,26
2010-11-19,28
2010-11-20,28
2010-11-21,25
2010-11-22,23
