Date,Wachovia
2007-03-10,34
2007-03-11,33
2007-03-12,32
2007-03-13,32
2007-03-14,32
2007-03-15,32
2007-03-16,32
2007-03-17,34
2007-03-18,33
2007-03-19,31
2007-03-20,31
2007-03-21,30
2007-03-22,30
2007-03-23,30
2007-03-24,32
2007-03-25,31
2007-03-26,30
2007-03-27,31
2007-03-28,32
2007-03-29,32
2007-03-30,32
2007-03-31,35
2007-04-01,34
2007-04-02,33
2007-04-03,34
2007-04-04,34
2007-04-05,34
2007-04-06,34
2007-04-07,37
2007-04-08,37
2007-04-09,35
2007-04-10,36
2007-04-11,35
2007-04-12,35
2007-04-13,35
2007-04-14,36
2007-04-15,36
2007-04-16,34
2007-04-17,34
2007-04-18,34
2007-04-19,34
2007-04-20,34
2007-04-21,35
2007-04-22,36
2007-04-23,34
2007-04-24,34
2007-04-25,34
2007-04-26,34
2007-04-27,34
2007-04-28,35
2007-04-29,37
2007-04-30,35
2007-05-01,36
2007-05-02,37
2007-05-03,37
2007-05-04,38
2007-05-05,41
2007-05-06,39
2007-05-07,37
2007-05-08,37
2007-05-09,35
2007-05-10,34
2007-05-11,33
2007-05-12,35
2007-05-13,34
2007-05-14,33
2007-05-15,33
2007-05-16,33
2007-05-17,34
2007-05-18,33
2007-05-19,36
2007-05-20,35
2007-05-21,33
2007-05-22,33
2007-05-23,33
2007-05-24,33
2007-05-25,33
2007-05-26,35
2007-05-27,35
2007-05-28,33
2007-05-29,33
2007-05-30,33
2007-05-31,33
2007-06-01,33
2007-06-02,37
2007-06-03,35
2007-06-04,34
2007-06-05,34
2007-06-06,35
2007-06-07,35
2007-06-08,35
2007-06-09,38
2007-06-10,37
2007-06-11,35
2007-06-12,35
2007-06-13,35
2007-06-14,34
2007-06-15,34
2007-06-16,36
2007-06-17,35
2007-06-18,34
2007-06-19,34
2007-06-20,34
2007-06-21,34
2007-06-22,34
2007-06-23,37
2007-06-24,36
2007-06-25,34
2007-06-26,34
2007-06-27,35
2007-06-28,35
2007-06-29,35
2007-06-30,39
2007-07-01,37
2007-07-02,35
2007-07-03,36
2007-07-04,39
2007-07-05,35
2007-07-06,35
2007-07-07,37
2007-07-08,38
2007-07-09,35
2007-07-10,36
2007-07-11,36
2007-07-12,36
2007-07-13,36
2007-07-14,39
2007-07-15,39
2007-07-16,37
2007-07-17,37
2007-07-18,37
2007-07-19,37
2007-07-20,37
2007-07-21,39
2007-07-22,38
2007-07-23,37
2007-07-24,37
2007-07-25,38
2007-07-26,38
2007-07-27,38
2007-07-28,41
2007-07-29,41
2007-07-30,39
2007-07-31,39
2007-08-01,39
2007-08-02,39
2007-08-03,39
2007-08-04,41
2007-08-05,39
2007-08-06,38
2007-08-07,38
2007-08-08,38
2007-08-09,37
2007-08-10,37
2007-08-11,39
2007-08-12,39
2007-08-13,37
2007-08-14,37
2007-08-15,38
2007-08-16,39
2007-08-17,38
2007-08-18,41
2007-08-19,41
2007-08-20,38
2007-08-21,38
2007-08-22,37
2007-08-23,36
2007-08-24,36
2007-08-25,38
2007-08-26,37
2007-08-27,36
2007-08-28,36
2007-08-29,37
2007-08-30,36
2007-08-31,36
2007-09-01,37
2007-09-02,38
2007-09-03,35
2007-09-04,35
2007-09-05,34
2007-09-06,34
2007-09-07,33
2007-09-08,35
2007-09-09,34
2007-09-10,33
2007-09-11,34
2007-09-12,34
2007-09-13,34
2007-09-14,34
2007-09-15,37
2007-09-16,37
2007-09-17,35
2007-09-18,35
2007-09-19,35
2007-09-20,35
2007-09-21,35
2007-09-22,37
2007-09-23,37
2007-09-24,35
2007-09-25,35
2007-09-26,35
2007-09-27,35
2007-09-28,35
2007-09-29,38
2007-09-30,36
2007-10-01,35
2007-10-02,36
2007-10-03,36
2007-10-04,36
2007-10-05,36
2007-10-06,39
2007-10-07,38
2007-10-08,36
2007-10-09,36
2007-10-10,36
2007-10-11,36
2007-10-12,36
2007-10-13,38
2007-10-14,37
2007-10-15,35
2007-10-16,35
2007-10-17,34
2007-10-18,34
2007-10-19,34
2007-10-20,36
2007-10-21,35
2007-10-22,33
2007-10-23,33
2007-10-24,33
2007-10-25,32
2007-10-26,32
2007-10-27,34
2007-10-28,34
2007-10-29,33
2007-10-30,34
2007-10-31,35
2007-11-01,35
2007-11-02,36
2007-11-03,40
2007-11-04,39
