Date,IPO market
2004-01-01,0
2004-04-01,0
2004-07-01,0
2004-10-01,0
2005-01-01,0
2005-04-01,0
2005-07-01,0
2005-10-01,0
2006-01-01,0
2006-04-01,0
2006-07-01,0
2006-10-01,0
2007-01-01,0
2007-04-01,0
2007-07-01,0
2007-10-07,88
2007-10-14,79
2007-10-21,79
2007-10-28,79
2007-11-04,64
2007-11-11,77
2007-11-18,89
2007-11-25,94
2007-12-02,100
2007-12-09,69
2007-12-16,0
2007-12-23,0
2007-12-30,0
2008-01-06,65
2008-01-13,100
2008-01-20,94
2008-01-27,67
2008-02-03,46
2008-02-10,58
2008-02-17,57
2008-02-24,43
2008-03-02,64
2008-03-09,86
2008-03-16,59
2008-03-23,0
2008-03-30,0
2008-04-01,0
2008-07-01,0
2008-10-01,0
2009-01-01,0
2009-04-01,0
2009-07-05,0
2009-07-12,0
2009-07-19,0
2009-07-26,80
2009-08-02,100
2009-08-09,66
2009-08-16,66
2009-08-23,0
2009-08-30,0
2009-09-06,0
2009-09-13,0
2009-09-20,0
2009-09-27,58
2009-10-01,0
2010-01-03,64
2010-01-10,80
2010-01-17,61
2010-01-24,66
2010-01-31,61
2010-02-07,73
2010-02-14,75
2010-02-21,78
2010-02-28,72
2010-03-07,100
2010-03-14,72
2010-03-21,0
2010-03-28,0
2010-04-04,78
2010-04-11,83
2010-04-18,82
2010-04-25,93
2010-05-02,84
2010-05-09,92
2010-05-16,100
2010-05-23,86
2010-05-30,86
2010-06-06,86
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,63
2010-07-11,54
2010-07-18,63
2010-07-25,65
2010-08-01,68
2010-08-08,63
2010-08-15,52
2010-08-22,60
2010-08-29,69
2010-09-05,79
2010-09-12,88
2010-09-19,100
2010-09-26,60
2010-10-03,67
2010-10-10,89
2010-10-17,100
2010-10-24,77
2010-10-31,73
2010-11-07,72
2010-11-14,92
2010-11-21,69
2010-11-28,92
2010-12-05,50
2010-12-12,44
2010-12-19,37
2010-12-26,31
2011-01-02,84
2011-01-09,69
2011-01-16,63
2011-01-23,100
2011-01-30,61
2011-02-06,78
2011-02-13,68
2011-02-20,62
2011-02-27,62
2011-03-06,62
2011-03-13,67
2011-03-20,77
2011-03-27,86
2011-04-03,0
2011-04-10,55
2011-04-17,45
2011-04-24,40
2011-05-01,86
2011-05-08,82
2011-05-15,100
2011-05-22,74
2011-05-29,56
2011-06-05,61
2011-06-12,51
2011-06-19,55
2011-06-26,47
2011-07-03,77
2011-07-10,77
2011-07-17,80
2011-07-24,100
2011-07-31,71
2011-08-07,87
2011-08-14,80
2011-08-21,58
2011-08-28,58
2011-09-04,58
2011-09-11,49
2011-09-18,44
2011-09-25,0
2011-10-02,48
2011-10-09,47
2011-10-16,52
2011-10-23,56
2011-10-30,100
2011-11-06,47
2011-11-13,54
2011-11-20,61
2011-11-27,68
2011-12-04,65
2011-12-11,65
2011-12-18,53
2011-12-25,0
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,30
2012-01-29,100
2012-02-05,40
2012-02-12,35
2012-02-19,44
2012-02-26,33
2012-03-04,30
2012-03-11,22
2012-03-18,21
2012-03-25,24
2012-04-01,18
2012-04-08,15
2012-04-15,13
2012-04-22,13
2012-04-29,22
2012-05-06,34
2012-05-13,100
2012-05-20,47
2012-05-27,19
2012-06-03,12
2012-06-10,15
2012-06-17,15
2012-06-24,11
2012-07-01,0
2012-07-08,0
2012-07-15,69
2012-07-22,62
2012-07-29,65
2012-08-05,68
2012-08-12,71
2012-08-19,75
2012-08-26,84
2012-09-02,92
2012-09-09,100
2012-09-16,76
2012-09-23,92
2012-09-30,76
2012-10-07,0
2012-10-14,73
2012-10-21,68
2012-10-28,68
2012-11-04,68
2012-11-11,68
2012-11-18,66
2012-11-25,66
2012-12-02,66
2012-12-09,100
2012-12-16,69
2012-12-23,69
2012-12-30,0
2013-01-06,0
2013-01-13,79
2013-01-20,60
2013-01-27,72
2013-02-03,84
2013-02-10,91
2013-02-17,65
2013-02-24,82
2013-03-03,100
2013-03-10,58
2013-03-17,81
2013-03-24,66
2013-03-31,93
2013-04-07,87
2013-04-14,67
2013-04-21,56
2013-04-28,100
2013-05-05,94
2013-05-12,78
2013-05-19,92
2013-05-26,62
2013-06-02,56
2013-06-09,71
2013-06-16,52
2013-06-23,57
2013-06-30,63
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,82
2013-08-04,87
2013-08-11,62
2013-08-18,55
2013-08-25,64
2013-09-01,73
2013-09-08,48
2013-09-15,81
2013-09-22,100
2013-09-29,76
2013-10-06,45
2013-10-13,43
2013-10-20,39
2013-10-27,40
2013-11-03,100
2013-11-10,37
2013-11-17,36
2013-11-24,37
