Date,IPO shares
2004-01-01,0
2004-04-01,0
2004-07-01,0
2004-10-01,0
2005-01-01,0
2005-04-01,0
2005-07-01,0
2005-10-01,0
2006-01-01,0
2006-04-01,0
2006-07-01,0
2006-10-01,0
2007-01-01,0
2007-04-01,0
2007-07-01,0
2007-10-01,0
2008-01-01,0
2008-04-01,0
2008-07-01,0
2008-10-01,0
2009-01-01,0
2009-04-01,0
2009-07-01,0
2009-10-01,0
2010-01-01,0
2010-04-01,0
2010-07-01,0
2010-10-03,0
2010-10-10,100
2010-10-17,90
2010-10-24,55
2010-10-31,55
2010-11-07,58
2010-11-14,67
2010-11-21,67
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-01,0
2011-04-01,0
2011-07-01,0
2011-10-01,0
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,22
2012-01-29,100
2012-02-05,24
2012-02-12,22
2012-02-19,26
2012-02-26,22
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,0
2012-04-01,0
2012-04-08,14
2012-04-15,16
2012-04-22,17
2012-04-29,19
2012-05-06,22
2012-05-13,100
2012-05-20,27
2012-05-27,19
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-10-01,0
2013-01-01,0
2013-04-01,0
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,56
2013-09-15,52
2013-09-22,74
2013-09-29,100
2013-10-06,100
2013-10-13,24
2013-10-20,23
2013-10-27,46
2013-11-03,81
2013-11-10,26
2013-11-17,19
2013-11-24,0
