Date,Zynga
2011-01-01,18
2011-01-02,18
2011-01-03,18
2011-01-04,18
2011-01-05,18
2011-01-06,18
2011-01-07,18
2011-01-08,18
2011-01-09,18
2011-01-10,19
2011-01-11,18
2011-01-12,18
2011-01-13,18
2011-01-14,18
2011-01-15,20
2011-01-16,18
2011-01-17,17
2011-01-18,17
2011-01-19,16
2011-01-20,16
2011-01-21,15
2011-01-22,15
2011-01-23,16
2011-01-24,16
2011-01-25,17
2011-01-26,18
2011-01-27,18
2011-01-28,19
2011-01-29,20
2011-01-30,21
2011-01-31,20
2011-02-01,21
2011-02-02,23
2011-02-03,22
2011-02-04,24
2011-02-05,23
2011-02-06,23
2011-02-07,22
2011-02-08,22
2011-02-09,23
2011-02-10,22
2011-02-11,24
2011-02-12,22
2011-02-13,22
2011-02-14,22
2011-02-15,23
2011-02-16,23
2011-02-17,24
2011-02-18,24
2011-02-19,25
2011-02-20,26
2011-02-21,24
2011-02-22,23
2011-02-23,22
2011-02-24,23
2011-02-25,21
2011-02-26,22
2011-02-27,20
2011-02-28,20
2011-03-01,20
2011-03-02,19
2011-03-03,19
2011-03-04,19
2011-03-05,19
2011-03-06,19
2011-03-07,19
2011-03-08,19
2011-03-09,19
2011-03-10,19
2011-03-11,19
2011-03-12,20
2011-03-13,21
2011-03-14,19
2011-03-15,18
2011-03-16,18
2011-03-17,18
2011-03-18,17
2011-03-19,17
2011-03-20,17
2011-03-21,18
2011-03-22,18
2011-03-23,18
2011-03-24,18
2011-03-25,19
2011-03-26,19
2011-03-27,19
2011-03-28,19
2011-03-29,20
2011-03-30,19
2011-03-31,19
2011-04-01,19
2011-04-02,20
2011-04-03,20
2011-04-04,20
2011-04-05,21
2011-04-06,20
2011-04-07,20
2011-04-08,22
2011-04-09,21
2011-04-10,21
2011-04-11,21
2011-04-12,21
2011-04-13,22
2011-04-14,22
2011-04-15,22
2011-04-16,23
2011-04-17,24
2011-04-18,24
2011-04-19,24
2011-04-20,26
2011-04-21,25
2011-04-22,27
2011-04-23,29
2011-04-24,26
2011-04-25,24
2011-04-26,23
2011-04-27,22
2011-04-28,22
2011-04-29,19
2011-04-30,18
2011-05-01,18
2011-05-02,18
2011-05-03,18
2011-05-04,18
2011-05-05,20
2011-05-06,18
2011-05-07,19
2011-05-08,18
2011-05-09,18
2011-05-10,18
2011-05-11,17
2011-05-12,17
2011-05-13,17
2011-05-14,17
2011-05-15,17
2011-05-16,20
2011-05-17,19
2011-05-18,20
2011-05-19,20
2011-05-20,21
2011-05-21,22
2011-05-22,24
2011-05-23,25
2011-05-24,26
2011-05-25,28
2011-05-26,32
2011-05-27,32
2011-05-28,34
2011-05-29,32
2011-05-30,32
2011-05-31,29
2011-06-01,30
2011-06-02,27
2011-06-03,28
2011-06-04,26
2011-06-05,25
2011-06-06,25
2011-06-07,25
2011-06-08,26
2011-06-09,26
2011-06-10,26
2011-06-11,28
2011-06-12,27
2011-06-13,27
2011-06-14,27
2011-06-15,27
2011-06-16,27
2011-06-17,27
