Date,FXCM
2010-03-07,13
2010-03-08,27
2010-03-09,41
2010-03-10,55
2010-03-11,68
2010-03-12,82
2010-03-13,96
2010-03-14,93
2010-03-15,90
2010-03-16,87
2010-03-17,84
2010-03-18,81
2010-03-19,78
2010-03-20,75
2010-03-21,75
2010-03-22,75
2010-03-23,75
2010-03-24,75
2010-03-25,75
2010-03-26,75
2010-03-27,75
2010-03-28,64
2010-03-29,53
2010-03-30,42
2010-03-31,32
2010-04-01,21
2010-04-02,10
2010-04-03,0
2010-04-04,0
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,13
2010-05-03,26
2010-05-04,39
2010-05-05,52
2010-05-06,65
2010-05-07,78
2010-05-08,92
2010-05-09,92
2010-05-10,93
2010-05-11,93
2010-05-12,93
2010-05-13,94
2010-05-14,94
2010-05-15,95
2010-05-16,95
2010-05-17,98
2010-05-18,99
2010-05-19,101
2010-05-20,102
2010-05-21,105
2010-05-22,109
2010-05-23,98
2010-05-24,97
2010-05-25,96
2010-05-26,95
2010-05-27,94
2010-05-28,93
2010-05-29,92
2010-05-30,92
2010-06-06,92
2010-06-07,94
2010-06-08,95
2010-06-09,95
2010-06-10,96
2010-06-11,98
2010-06-12,101
2010-06-13,88
2010-06-14,84
2010-06-15,81
2010-06-16,77
2010-06-17,74
2010-06-18,70
2010-06-19,67
2010-06-20,67
2010-06-21,67
2010-06-22,67
2010-06-23,67
2010-06-24,67
2010-06-25,67
2010-06-26,67
2010-06-27,67
2010-06-28,67
2010-06-29,67
2010-06-30,67
2010-07-01,67
2010-07-02,67
2010-07-03,67
2010-07-04,67
2010-07-05,67
2010-07-06,67
2010-07-07,67
2010-07-08,67
2010-07-09,67
2010-07-10,67
2010-07-11,67
2010-07-12,67
2010-07-13,67
2010-07-14,67
2010-07-15,67
2010-07-16,67
2010-07-17,67
2010-07-18,67
2010-07-19,67
2010-07-20,67
2010-07-21,67
2010-07-22,67
2010-07-23,67
2010-07-24,68
2010-07-25,68
