Date,Generac
2009-04-11,46
2009-04-12,47
2009-04-13,48
2009-04-14,51
2009-04-15,50
2009-04-16,53
2009-04-17,52
2009-04-18,56
2009-04-19,54
2009-04-20,55
2009-04-21,56
2009-04-22,56
2009-04-23,63
2009-04-24,58
2009-04-25,62
2009-04-26,57
2009-04-27,56
2009-04-28,55
2009-04-29,53
2009-04-30,52
2009-05-01,51
2009-05-02,50
2009-05-03,51
2009-05-04,54
2009-05-05,56
2009-05-06,55
2009-05-07,60
2009-05-08,58
2009-05-09,63
2009-05-10,59
2009-05-11,58
2009-05-12,58
2009-05-13,58
2009-05-14,59
2009-05-15,56
2009-05-16,56
2009-05-17,55
2009-05-18,55
2009-05-19,55
2009-05-20,61
2009-05-21,55
2009-05-22,55
2009-05-23,55
2009-05-24,53
2009-05-25,52
2009-05-26,50
2009-05-27,50
2009-05-28,47
2009-05-29,48
2009-05-30,45
2009-05-31,45
2009-06-01,45
2009-06-02,46
2009-06-03,48
2009-06-04,50
2009-06-05,47
2009-06-06,48
2009-06-07,50
2009-06-08,51
2009-06-09,53
2009-06-10,54
2009-06-11,58
2009-06-12,63
2009-06-13,60
2009-06-14,61
2009-06-15,62
2009-06-16,66
2009-06-17,65
2009-06-18,66
2009-06-19,68
2009-06-20,71
2009-06-21,68
2009-06-22,67
2009-06-23,67
2009-06-24,66
2009-06-25,66
2009-06-26,67
2009-06-27,65
2009-06-28,67
2009-06-29,65
2009-06-30,68
2009-07-01,66
2009-07-02,67
2009-07-03,74
2009-07-04,67
2009-07-05,67
2009-07-06,67
2009-07-07,67
2009-07-08,71
2009-07-09,68
2009-07-10,70
2009-07-11,70
2009-07-12,69
2009-07-13,69
2009-07-14,69
2009-07-15,76
2009-07-16,73
2009-07-17,69
2009-07-18,70
2009-07-19,71
2009-07-20,66
2009-07-21,65
2009-07-22,63
2009-07-23,66
2009-07-24,60
2009-07-25,62
2009-07-26,62
2009-07-27,65
2009-07-28,71
2009-07-29,76
2009-07-30,74
2009-07-31,79
2009-08-01,81
2009-08-02,78
2009-08-03,77
2009-08-04,72
2009-08-05,75
2009-08-06,68
2009-08-07,64
2009-08-08,62
2009-08-09,63
2009-08-10,65
2009-08-11,73
2009-08-12,68
2009-08-13,74
2009-08-14,71
2009-08-15,73
2009-08-16,74
2009-08-17,72
2009-08-18,72
2009-08-19,79
2009-08-20,72
2009-08-21,72
2009-08-22,77
2009-08-23,70
2009-08-24,68
2009-08-25,66
2009-08-26,65
2009-08-27,67
2009-08-28,60
2009-08-29,63
2009-08-30,59
2009-08-31,59
2009-09-01,61
2009-09-02,61
2009-09-03,60
2009-09-04,61
2009-09-05,61
2009-09-06,60
2009-09-07,59
2009-09-08,59
2009-09-09,58
2009-09-10,61
2009-09-11,57
2009-09-12,57
2009-09-13,58
2009-09-14,63
2009-09-15,62
2009-09-16,64
2009-09-17,70
2009-09-18,70
2009-09-19,70
2009-09-20,67
2009-09-21,63
2009-09-22,60
2009-09-23,58
2009-09-24,54
2009-09-25,51
2009-09-26,48
2009-09-27,50
2009-09-28,50
2009-09-29,47
2009-09-30,49
2009-10-01,47
2009-10-02,47
2009-10-03,47
2009-10-04,48
2009-10-05,49
2009-10-06,54
2009-10-07,54
2009-10-08,54
2009-10-09,55
2009-10-10,61
2009-10-11,56
2009-10-12,55
2009-10-13,54
2009-10-14,55
2009-10-15,52
2009-10-16,51
2009-10-17,51
2009-10-18,51
2009-10-19,53
2009-10-20,55
2009-10-21,56
2009-10-22,58
2009-10-23,62
2009-10-24,65
2009-10-25,60
2009-10-26,59
2009-10-27,62
2009-10-28,57
2009-10-29,57
2009-10-30,55
2009-10-31,54
2009-11-01,62
2009-11-02,61
2009-11-03,65
2009-11-04,75
2009-11-05,73
2009-11-06,77
2009-11-07,89
2009-11-08,79
2009-11-09,77
2009-11-10,79
2009-11-11,74
2009-11-12,78
2009-11-13,74
2009-11-14,70
2009-11-15,70
2009-11-16,66
2009-11-17,64
2009-11-18,63
2009-11-19,61
2009-11-20,63
2009-11-21,58
2009-11-22,56
2009-11-23,57
2009-11-24,53
2009-11-25,52
2009-11-26,52
2009-11-27,49
2009-11-28,48
2009-11-29,48
2009-11-30,48
2009-12-01,52
2009-12-02,48
2009-12-03,48
2009-12-04,52
2009-12-05,49
2009-12-06,51
2009-12-07,54
2009-12-08,55
2009-12-09,59
2009-12-10,60
2009-12-11,61
2009-12-12,68
2009-12-13,60
2009-12-14,58
2009-12-15,62
2009-12-16,54
2009-12-17,52
2009-12-18,52
2009-12-19,48
2009-12-20,53
2009-12-21,52
2009-12-22,54
2009-12-23,63
2009-12-24,59
2009-12-25,61
2009-12-26,64
2009-12-27,64
2009-12-28,66
2009-12-29,64
2009-12-30,64
2009-12-31,64
2010-01-01,64
2010-01-02,66
2010-01-03,66
2010-01-04,65
2010-01-05,65
2010-01-06,69
2010-01-07,65
2010-01-08,66
2010-01-09,65
2010-01-10,65
2010-01-11,65
2010-01-12,65
2010-01-13,66
2010-01-14,69
2010-01-15,66
2010-01-16,71
2010-01-17,66
2010-01-18,66
2010-01-19,71
2010-01-20,65
2010-01-21,64
2010-01-22,64
2010-01-23,67
2010-01-24,65
2010-01-25,66
2010-01-26,67
2010-01-27,72
2010-01-28,69
2010-01-29,70
2010-01-30,79
2010-01-31,70
2010-02-01,69
2010-02-02,69
2010-02-03,66
2010-02-04,70
2010-02-05,64
2010-02-06,69
2010-02-07,65
2010-02-08,67
2010-02-09,71
2010-02-10,71
2010-02-11,76
2010-02-12,75
2010-02-13,78
2010-02-14,79
2010-02-15,69
2010-02-16,65
2010-02-17,63
2010-02-18,57
2010-02-19,53
2010-02-20,50
2010-02-21,51
2010-02-22,53
2010-02-23,56
2010-02-24,57
2010-02-25,59
2010-02-26,62
2010-02-27,69
2010-02-28,63
2010-03-01,64
2010-03-02,69
2010-03-03,66
2010-03-04,72
2010-03-05,68
2010-03-06,73
2010-03-07,66
2010-03-08,63
2010-03-09,61
2010-03-10,58
2010-03-11,57
2010-03-12,56
2010-03-13,51
2010-03-14,54
2010-03-15,57
2010-03-16,61
2010-03-17,63
2010-03-18,71
2010-03-19,69
2010-03-20,77
2010-03-21,71
2010-03-22,71
2010-03-23,68
2010-03-24,69
2010-03-25,65
2010-03-26,63
2010-03-27,62
2010-03-28,66
2010-03-29,62
2010-03-30,67
2010-03-31,62
2010-04-01,62
2010-04-02,62
2010-04-03,63
2010-04-04,64
2010-04-05,66
2010-04-06,68
2010-04-07,72
2010-04-08,71
2010-04-09,82
2010-04-10,75
2010-04-11,71
2010-04-12,67
2010-04-13,66
2010-04-14,59
2010-04-15,57
2010-04-16,52
2010-04-17,47
2010-04-18,46
2010-04-19,46
2010-04-20,48
2010-04-21,46
2010-04-22,46
2010-04-23,46
2010-04-24,49
2010-04-25,46
2010-04-26,47
2010-04-27,52
2010-04-28,48
2010-04-29,51
2010-04-30,51
2010-05-01,51
2010-05-02,51
2010-05-03,51
2010-05-04,51
2010-05-05,54
2010-05-06,51
2010-05-07,52
2010-05-08,52
2010-05-09,52
2010-05-10,54
2010-05-11,58
2010-05-12,58
2010-05-13,60
2010-05-14,66
2010-05-15,64
2010-05-16,64
2010-05-17,70
2010-05-18,64
2010-05-19,66
2010-05-20,64
2010-05-21,64
2010-05-22,65
2010-05-23,70
2010-05-24,66
2010-05-25,67
2010-05-26,75
2010-05-27,70
2010-05-28,69
2010-05-29,70
2010-05-30,70
2010-05-31,71
2010-06-01,72
2010-06-02,73
2010-06-03,77
2010-06-04,75
2010-06-05,78
2010-06-06,77
2010-06-07,71
2010-06-08,69
2010-06-09,67
2010-06-10,69
2010-06-11,63
2010-06-12,63
2010-06-13,61
2010-06-14,61
2010-06-15,61
2010-06-16,67
2010-06-17,61
2010-06-18,61
2010-06-19,62
2010-06-20,66
2010-06-21,70
2010-06-22,75
2010-06-23,81
2010-06-24,82
2010-06-25,86
2010-06-26,95
2010-06-27,96
2010-06-28,85
2010-06-29,85
2010-06-30,80
2010-07-01,76
2010-07-02,73
2010-07-03,75
2010-07-04,74
2010-07-05,76
2010-07-06,79
2010-07-07,81
2010-07-08,85
2010-07-09,92
2010-07-10,95
2010-07-11,87
2010-07-12,84
2010-07-13,81
2010-07-14,81
2010-07-15,75
2010-07-16,72
2010-07-17,72
2010-07-18,71
2010-07-19,73
2010-07-20,76
2010-07-21,78
2010-07-22,83
2010-07-23,83
2010-07-24,92
2010-07-25,85
2010-07-26,85
2010-07-27,86
2010-07-28,85
2010-07-29,85
2010-07-30,85
2010-07-31,89
2010-08-01,84
2010-08-02,83
2010-08-03,88
2010-08-04,85
2010-08-05,82
2010-08-06,82
2010-08-07,86
2010-08-08,85
2010-08-09,80
2010-08-10,87
2010-08-11,80
2010-08-12,80
2010-08-13,84
2010-08-14,87
2010-08-15,81
2010-08-16,82
2010-08-17,91
2010-08-18,84
2010-08-19,85
2010-08-20,88
2010-08-21,95
2010-08-22,85
2010-08-23,82
2010-08-24,80
2010-08-25,88
2010-08-26,75
2010-08-27,72
2010-08-28,70
2010-08-29,74
2010-08-30,78
2010-08-31,82
2010-09-01,94
2010-09-02,90
2010-09-03,99
2010-09-04,101
2010-09-05,99
2010-09-06,94
2010-09-07,92
2010-09-08,90
2010-09-09,88
2010-09-10,88
2010-09-11,91
2010-09-12,81
2010-09-13,79
2010-09-14,80
2010-09-15,77
2010-09-16,73
2010-09-17,75
2010-09-18,71
2010-09-19,70
2010-09-20,71
2010-09-21,72
2010-09-22,73
2010-09-23,81
2010-09-24,75
2010-09-25,82
2010-09-26,79
2010-09-27,75
2010-09-28,76
2010-09-29,75
2010-09-30,72
2010-10-01,71
2010-10-02,79
2010-10-03,74
2010-10-04,72
2010-10-05,72
2010-10-06,73
2010-10-07,76
2010-10-08,74
2010-10-09,80
2010-10-10,73
2010-10-11,71
2010-10-12,69
2010-10-13,71
2010-10-14,66
2010-10-15,64
2010-10-16,65
2010-10-17,63
2010-10-18,64
2010-10-19,65
2010-10-20,69
2010-10-21,70
2010-10-22,69
2010-10-23,69
2010-10-24,72
2010-10-25,71
2010-10-26,72
2010-10-27,77
2010-10-28,74
2010-10-29,77
2010-10-30,77
2010-10-31,82
2010-11-01,79
2010-11-02,80
2010-11-03,82
2010-11-04,86
2010-11-05,87
2010-11-06,88
2010-11-07,90
2010-11-08,81
2010-11-09,79
2010-11-10,78
2010-11-11,75
2010-11-12,75
2010-11-13,69
2010-11-14,71
2010-11-15,68
2010-11-16,69
2010-11-17,67
2010-11-18,68
2010-11-19,67
2010-11-20,69
2010-11-21,67
2010-11-22,64
2010-11-23,63
2010-11-24,68
2010-11-25,64
