Date,Ikaria
2009-11-01,63
2009-11-02,62
2009-11-03,62
2009-11-04,62
2009-11-05,62
2009-11-06,62
2009-11-07,62
2009-11-08,61
2009-11-09,61
2009-11-10,61
2009-11-11,61
2009-11-12,61
2009-11-13,61
2009-11-14,60
2009-11-15,60
2009-11-16,60
2009-11-17,60
2009-11-18,60
2009-11-19,60
2009-11-20,59
2009-11-21,59
2009-11-22,59
2009-11-23,59
2009-11-24,59
2009-11-25,59
2009-11-26,58
2009-11-27,58
2009-11-28,58
2009-11-29,58
2009-11-30,58
2009-12-01,58
2009-12-02,58
2009-12-03,59
2009-12-04,60
2009-12-05,61
2009-12-06,62
2009-12-07,63
2009-12-08,64
2009-12-09,64
2009-12-10,65
2009-12-11,66
2009-12-12,67
2009-12-13,68
2009-12-14,69
2009-12-15,70
2009-12-16,71
2009-12-17,71
2009-12-18,72
2009-12-19,73
2009-12-20,74
2009-12-21,75
2009-12-22,76
2009-12-23,77
2009-12-24,78
2009-12-25,78
2009-12-26,79
2009-12-27,80
2009-12-28,81
2009-12-29,82
2009-12-30,83
2009-12-31,84
2010-01-01,85
2010-01-02,84
2010-01-03,84
2010-01-04,83
2010-01-05,83
2010-01-06,83
2010-01-07,82
2010-01-08,82
2010-01-09,81
2010-01-10,81
2010-01-11,81
2010-01-12,80
2010-01-13,80
2010-01-14,79
2010-01-15,79
2010-01-16,79
2010-01-17,78
2010-01-18,78
2010-01-19,78
2010-01-20,77
2010-01-21,77
2010-01-22,76
2010-01-23,76
2010-01-24,76
2010-01-25,75
2010-01-26,75
2010-01-27,74
2010-01-28,74
2010-01-29,74
2010-01-30,73
2010-01-31,73
2010-02-01,73
2010-02-02,72
2010-02-03,72
2010-02-04,71
2010-02-05,71
2010-02-06,70
2010-02-07,70
2010-02-08,69
2010-02-09,69
2010-02-10,68
2010-02-11,68
2010-02-12,67
2010-02-13,67
2010-02-14,66
2010-02-15,66
2010-02-16,66
2010-02-17,65
2010-02-18,65
2010-02-19,64
2010-02-20,64
2010-02-21,63
2010-02-22,63
2010-02-23,62
2010-02-24,62
2010-02-25,61
2010-02-26,61
2010-02-27,60
2010-02-28,60
2010-03-01,60
2010-03-02,60
2010-03-03,61
2010-03-04,61
2010-03-05,62
2010-03-06,63
2010-03-07,63
2010-03-08,64
2010-03-09,64
2010-03-10,65
2010-03-11,66
2010-03-12,66
2010-03-13,67
2010-03-14,67
2010-03-15,68
2010-03-16,69
2010-03-17,69
2010-03-18,70
2010-03-19,71
2010-03-20,71
2010-03-21,72
2010-03-22,72
2010-03-23,73
2010-03-24,74
2010-03-25,74
2010-03-26,75
2010-03-27,75
2010-03-28,76
2010-03-29,77
2010-03-30,77
2010-03-31,78
2010-04-01,79
2010-04-02,79
2010-04-03,80
2010-04-04,81
2010-04-05,81
2010-04-06,82
2010-04-07,83
2010-04-08,83
2010-04-09,84
2010-04-10,85
2010-04-11,85
2010-04-12,86
2010-04-13,87
2010-04-14,87
2010-04-15,88
2010-04-16,89
2010-04-17,89
2010-04-18,90
2010-04-19,91
2010-04-20,91
2010-04-21,92
2010-04-22,93
2010-04-23,93
2010-04-24,94
2010-04-25,95
2010-04-26,95
2010-04-27,96
2010-04-28,97
2010-04-29,97
2010-04-30,98
2010-05-01,99
2010-05-02,98
2010-05-03,98
2010-05-04,98
2010-05-05,97
2010-05-06,97
2010-05-07,97
2010-05-08,96
2010-05-09,96
2010-05-10,96
2010-05-11,96
2010-05-12,95
