Date,A123 Systems
2008-07-01,6
2008-07-02,6
2008-07-03,6
2008-07-04,6
2008-07-05,6
2008-07-06,6
2008-07-07,6
2008-07-08,6
2008-07-09,6
2008-07-10,7
2008-07-11,7
2008-07-12,7
2008-07-13,6
2008-07-14,6
2008-07-15,6
2008-07-16,6
2008-07-17,6
2008-07-18,6
2008-07-19,6
2008-07-20,6
2008-07-21,6
2008-07-22,6
2008-07-23,6
2008-07-24,6
2008-07-25,6
2008-07-26,6
2008-07-27,6
2008-08-03,7
2008-08-04,7
2008-08-05,7
2008-08-06,7
2008-08-07,7
2008-08-08,7
2008-08-09,7
2008-08-10,7
2008-08-11,7
2008-08-12,7
2008-08-13,7
2008-08-14,7
2008-08-15,7
2008-08-16,8
2008-08-17,7
2008-08-18,7
2008-08-19,6
2008-08-20,6
2008-08-21,5
2008-08-22,5
2008-08-23,5
2008-08-24,5
2008-08-25,5
2008-08-26,5
2008-08-27,6
2008-08-28,6
2008-08-29,6
2008-08-30,7
2008-08-31,7
2008-09-01,7
2008-09-02,7
2008-09-03,7
2008-09-04,7
2008-09-05,7
2008-09-06,8
2008-09-07,7
2008-09-08,7
2008-09-09,7
2008-09-10,6
2008-09-11,6
2008-09-12,6
2008-09-13,6
2008-09-14,6
2008-09-15,6
2008-09-16,6
2008-09-17,7
2008-09-18,7
2008-09-19,7
2008-09-20,8
2008-09-21,7
2008-09-22,7
2008-09-23,6
2008-09-24,6
2008-09-25,5
2008-09-26,5
2008-09-27,5
2008-09-28,5
2008-09-29,5
2008-09-30,5
2008-10-01,5
2008-10-02,5
2008-10-03,5
2008-10-04,6
2008-10-05,6
2008-10-06,6
2008-10-07,6
2008-10-08,6
2008-10-09,6
2008-10-10,6
2008-10-11,6
2008-10-12,6
2008-10-13,6
2008-10-14,7
2008-10-15,7
2008-10-16,8
2008-10-17,8
2008-10-18,9
2008-10-19,8
2008-10-20,8
2008-10-21,8
2008-10-22,8
2008-10-23,8
2008-10-24,8
2008-10-25,8
2008-10-26,7
2008-11-02,6
2008-11-03,6
2008-11-04,6
2008-11-05,6
2008-11-06,6
2008-11-07,6
2008-11-08,7
2008-11-09,7
2008-11-10,7
2008-11-11,7
2008-11-12,7
2008-11-13,7
2008-11-14,7
2008-11-15,7
2008-11-16,7
2008-11-17,7
2008-11-18,7
2008-11-19,7
2008-11-20,7
2008-11-21,7
2008-11-22,7
2008-11-23,7
2008-11-24,7
2008-11-25,7
2008-11-26,7
2008-11-27,7
2008-11-28,7
2008-11-29,7
2008-11-30,7
2008-12-01,7
2008-12-02,7
2008-12-03,7
2008-12-04,7
2008-12-05,7
2008-12-06,7
2008-12-07,7
2008-12-08,7
2008-12-09,7
2008-12-10,7
2008-12-11,7
2008-12-12,7
2008-12-13,7
2008-12-14,7
2008-12-15,7
2008-12-16,7
2008-12-17,7
2008-12-18,7
2008-12-19,7
2008-12-20,7
2008-12-21,7
2008-12-22,7
2008-12-23,7
2008-12-24,7
2008-12-25,7
2008-12-26,7
2008-12-27,7
2008-12-28,7
2008-12-29,7
2008-12-30,7
2008-12-31,7
2009-01-01,7
2009-01-02,7
2009-01-03,8
2009-01-04,8
2009-01-05,8
2009-01-06,8
2009-01-07,8
2009-01-08,8
2009-01-09,8
2009-01-10,8
2009-01-11,7
2009-01-12,7
2009-01-13,7
2009-01-14,7
2009-01-15,7
2009-01-16,7
2009-01-17,7
2009-01-18,6
2009-01-19,6
2009-01-20,6
2009-01-21,5
2009-01-22,5
2009-01-23,5
2009-01-24,5
2009-01-25,5
2009-02-01,5
2009-02-02,5
2009-02-03,5
2009-02-04,5
2009-02-05,5
2009-02-06,5
2009-02-07,5
2009-02-08,5
2009-02-09,5
2009-02-10,5
2009-02-11,5
2009-02-12,5
2009-02-13,5
2009-02-14,5
2009-02-15,5
2009-02-16,5
2009-02-17,5
2009-02-18,5
2009-02-19,5
2009-02-20,5
2009-02-21,5
2009-02-22,5
2009-02-23,5
2009-02-24,5
2009-02-25,5
2009-02-26,5
2009-02-27,5
2009-02-28,5
2009-03-01,5
2009-03-02,5
2009-03-03,5
2009-03-04,5
2009-03-05,5
2009-03-06,5
2009-03-07,5
2009-03-08,5
2009-03-09,5
2009-03-10,5
2009-03-11,5
2009-03-12,5
2009-03-13,5
2009-03-14,6
2009-03-15,5
2009-03-16,5
2009-03-17,5
2009-03-18,4
2009-03-19,4
2009-03-20,4
2009-03-21,4
2009-03-22,4
2009-03-23,4
2009-03-24,4
2009-03-25,4
2009-03-26,4
2009-03-27,4
2009-03-28,4
2009-03-29,4
2009-03-30,4
2009-03-31,4
2009-04-01,4
2009-04-02,4
2009-04-03,4
2009-04-04,4
2009-04-05,4
2009-04-06,4
2009-04-07,5
2009-04-08,5
2009-04-09,6
2009-04-10,6
2009-04-11,7
2009-04-12,7
2009-04-13,7
2009-04-14,8
2009-04-15,8
2009-04-16,9
2009-04-17,9
2009-04-18,10
2009-04-19,9
2009-04-20,8
2009-04-21,7
2009-04-22,6
2009-04-23,5
2009-04-24,4
2009-04-25,4
2009-04-26,4
2009-04-27,4
2009-04-28,4
2009-04-29,4
2009-04-30,4
2009-05-03,4
2009-05-04,4
2009-05-05,4
2009-05-06,4
2009-05-07,4
2009-05-08,4
2009-05-09,4
2009-05-10,4
2009-05-11,5
2009-05-12,4
2009-05-13,4
2009-05-14,4
2009-05-15,4
2009-05-16,4
2009-05-17,4
2009-05-18,4
2009-05-19,4
2009-05-20,4
2009-05-21,4
2009-05-22,4
2009-05-23,4
2009-05-24,4
2009-05-25,4
2009-05-26,4
2009-05-27,4
2009-05-28,4
2009-05-29,4
2009-05-30,4
2009-05-31,4
2009-06-01,4
2009-06-02,4
2009-06-03,4
2009-06-04,4
2009-06-05,4
2009-06-06,5
2009-06-07,4
2009-06-08,4
2009-06-09,4
2009-06-10,4
2009-06-11,4
2009-06-12,4
2009-06-13,4
2009-06-14,4
2009-06-15,4
2009-06-16,4
2009-06-17,4
2009-06-18,4
2009-06-19,4
2009-06-20,4
2009-06-21,4
2009-06-22,4
2009-06-23,4
2009-06-24,4
2009-06-25,4
2009-06-26,4
2009-06-27,4
2009-06-28,4
2009-06-29,4
2009-06-30,4
2009-07-01,4
2009-07-02,4
2009-07-03,4
2009-07-04,4
2009-07-05,4
2009-07-06,4
2009-07-07,4
2009-07-08,4
2009-07-09,4
2009-07-10,4
2009-07-11,4
2009-07-12,4
2009-07-13,4
2009-07-14,4
2009-07-15,4
2009-07-16,4
2009-07-17,4
2009-07-18,4
2009-07-19,4
2009-07-20,4
2009-07-21,4
2009-07-22,4
2009-07-23,4
2009-07-24,4
2009-07-25,4
2009-07-26,4
2009-08-02,5
2009-08-03,6
2009-08-04,5
2009-08-05,5
2009-08-06,5
2009-08-07,5
2009-08-08,6
2009-08-09,7
2009-08-10,8
2009-08-11,10
2009-08-12,11
2009-08-13,12
2009-08-14,14
2009-08-15,15
2009-08-16,14
2009-08-17,12
2009-08-18,11
2009-08-19,9
2009-08-20,8
2009-08-21,7
2009-08-22,6
2009-08-23,5
2009-08-24,5
2009-08-25,5
2009-08-26,4
2009-08-27,4
2009-08-28,4
2009-08-29,4
2009-08-30,4
2009-08-31,4
2009-09-01,4
2009-09-02,5
2009-09-03,5
2009-09-04,5
2009-09-05,6
2009-09-06,8
2009-09-07,10
2009-09-08,12
2009-09-09,14
2009-09-10,16
2009-09-11,18
2009-09-12,21
2009-09-13,21
2009-09-14,21
2009-09-15,21
2009-09-16,22
2009-09-17,22
2009-09-18,22
2009-09-19,23
2009-09-20,34
2009-09-21,46
2009-09-22,57
2009-09-23,69
2009-09-24,80
2009-09-25,93
2009-09-26,106
2009-09-27,96
2009-09-28,77
2009-09-29,65
2009-09-30,53
2009-10-01,41
2009-10-02,29
2009-10-03,18
2009-10-04,17
2009-10-05,16
2009-10-06,16
2009-10-07,15
2009-10-08,14
2009-10-09,14
2009-10-10,13
2009-10-11,12
2009-10-12,10
2009-10-13,9
2009-10-14,8
2009-10-15,7
2009-10-16,6
2009-10-17,5
2009-10-18,4
2009-10-19,4
2009-10-20,4
2009-10-21,4
2009-10-22,4
2009-10-23,4
2009-10-24,4
2009-10-25,4
2009-11-01,4
2009-11-02,4
2009-11-03,4
2009-11-04,3
2009-11-05,3
2009-11-06,3
2009-11-07,3
2009-11-08,3
2009-11-09,3
2009-11-10,3
2009-11-11,3
2009-11-12,3
2009-11-13,3
2009-11-14,4
2009-11-15,4
2009-11-16,4
2009-11-17,4
2009-11-18,4
2009-11-19,4
2009-11-20,4
2009-11-21,4
2009-11-22,4
2009-11-23,4
2009-11-24,4
2009-11-25,4
2009-11-26,4
2009-11-27,4
2009-11-28,5
2009-11-29,5
2009-11-30,5
2009-12-01,5
2009-12-02,5
2009-12-03,5
2009-12-04,5
2009-12-05,5
2009-12-06,5
2009-12-07,5
2009-12-08,5
2009-12-09,5
2009-12-10,5
2009-12-11,5
2009-12-12,5
2009-12-13,4
2009-12-14,4
2009-12-15,4
2009-12-16,4
2009-12-17,4
2009-12-18,4
2009-12-19,4
2009-12-20,4
2009-12-21,4
2009-12-22,4
2009-12-23,4
2009-12-24,4
2009-12-25,4
2009-12-26,4
2009-12-27,4
2009-12-28,4
2009-12-29,4
2009-12-30,4
2009-12-31,4
2010-01-01,4
2010-01-02,4
2010-01-03,4
2010-01-04,4
2010-01-05,4
2010-01-06,4
2010-01-07,4
2010-01-08,4
2010-01-09,5
2010-01-10,4
2010-01-11,4
2010-01-12,4
2010-01-13,4
2010-01-14,4
2010-01-15,4
2010-01-16,4
2010-01-17,4
2010-01-18,4
2010-01-19,4
2010-01-20,4
2010-01-21,4
2010-01-22,4
2010-01-23,4
2010-01-24,4
2010-01-25,4
2010-01-26,4
2010-01-27,5
2010-01-28,5
2010-01-29,5
2010-01-30,6
2010-01-31,6
