Date,Toys R Us
2009-11-07,55
2009-11-08,57
2009-11-09,57
2009-11-10,58
2009-11-11,60
2009-11-12,62
2009-11-13,63
2009-11-14,64
2009-11-15,64
2009-11-16,67
2009-11-17,64
2009-11-18,65
2009-11-19,65
2009-11-20,65
2009-11-21,65
2009-11-22,68
2009-11-23,76
2009-11-24,76
2009-11-25,81
2009-11-26,84
2009-11-27,88
2009-11-28,96
2009-11-29,92
2009-11-30,92
2009-12-01,94
2009-12-02,93
2009-12-03,95
2009-12-04,93
2009-12-05,96
2009-12-06,94
2009-12-07,95
2009-12-08,96
2009-12-09,99
2009-12-10,98
2009-12-11,101
2009-12-12,100
2009-12-13,101
2009-12-14,101
2009-12-15,98
2009-12-16,98
2009-12-17,99
2009-12-18,97
2009-12-19,97
2009-12-20,95
2009-12-21,96
2009-12-22,91
2009-12-23,90
2009-12-24,92
2009-12-25,88
2009-12-26,83
2009-12-27,84
2009-12-28,76
2009-12-29,68
2009-12-30,66
2009-12-31,58
2010-01-01,53
2010-01-02,50
2010-01-03,47
2010-01-04,44
2010-01-05,43
2010-01-06,41
2010-01-07,39
2010-01-08,36
2010-01-09,34
2010-01-10,33
2010-01-11,34
2010-01-12,31
2010-01-13,31
2010-01-14,30
2010-01-15,28
2010-01-16,28
2010-01-17,27
2010-01-18,27
2010-01-19,28
2010-01-20,27
2010-01-21,25
2010-01-22,25
2010-01-23,25
2010-01-24,25
2010-01-25,25
2010-01-26,25
2010-01-27,24
2010-01-28,24
2010-01-29,24
2010-01-30,24
2010-01-31,23
2010-02-01,23
2010-02-02,24
2010-02-03,23
2010-02-04,25
2010-02-05,23
2010-02-06,23
2010-02-07,23
2010-02-08,23
2010-02-09,23
2010-02-10,24
2010-02-11,23
2010-02-12,24
2010-02-13,24
2010-02-14,23
2010-02-15,25
2010-02-16,23
2010-02-17,24
2010-02-18,23
2010-02-19,24
2010-02-20,23
2010-02-21,23
2010-02-22,25
2010-02-23,24
2010-02-24,24
2010-02-25,26
2010-02-26,25
2010-02-27,26
2010-02-28,26
2010-03-01,25
2010-03-02,25
2010-03-03,24
2010-03-04,25
2010-03-05,23
2010-03-06,23
2010-03-07,23
2010-03-08,24
2010-03-09,23
2010-03-10,24
2010-03-11,23
2010-03-12,24
2010-03-13,24
2010-03-14,24
2010-03-15,26
2010-03-16,24
2010-03-17,25
2010-03-18,26
2010-03-19,25
2010-03-20,26
2010-03-21,27
2010-03-22,25
2010-03-23,27
2010-03-24,25
2010-03-25,26
2010-03-26,25
2010-03-27,25
2010-03-28,25
2010-03-29,27
2010-03-30,27
2010-03-31,27
2010-05-01,28
2010-05-02,30
2010-05-03,27
2010-05-04,27
2010-05-05,28
2010-05-06,27
2010-05-07,27
2010-05-08,27
2010-05-09,28
2010-05-10,26
2010-05-11,26
2010-05-12,26
2010-05-13,26
2010-05-14,28
2010-05-15,26
2010-05-16,26
2010-05-17,26
2010-05-18,26
2010-05-19,26
2010-05-20,26
2010-05-21,26
2010-05-22,26
2010-05-23,26
2010-05-24,28
2010-05-25,27
2010-05-26,30
2010-05-27,28
2010-05-28,29
2010-05-29,30
2010-05-30,30
2010-05-31,31
2010-06-01,30
2010-06-02,30
2010-06-03,30
2010-06-04,30
2010-06-05,30
2010-06-06,29
2010-06-07,30
2010-06-08,30
2010-06-09,27
2010-06-10,26
2010-06-11,25
2010-06-12,25
2010-06-13,25
2010-06-14,25
2010-06-15,25
2010-06-16,26
2010-06-17,25
2010-06-18,26
2010-06-19,25
2010-06-20,25
2010-06-21,26
2010-06-22,25
2010-06-23,26
2010-06-24,26
2010-06-25,27
2010-06-26,27
2010-06-27,27
2010-06-28,31
2010-06-29,27
2010-06-30,30
2010-07-01,27
2010-07-02,28
2010-07-03,28
2010-07-04,30
2010-07-05,28
2010-07-06,28
2010-07-07,29
