Date,FleetCor
2009-10-01,54
2009-10-02,54
2009-10-03,54
2009-10-04,54
2009-10-05,54
2009-10-06,54
2009-10-07,54
2009-10-08,55
2009-10-09,55
2009-10-10,55
2009-10-11,55
2009-10-12,55
2009-10-13,55
2009-10-14,56
2009-10-15,56
2009-10-16,56
2009-10-17,56
2009-10-18,56
2009-10-19,56
2009-10-20,57
2009-10-21,57
2009-10-22,57
2009-10-23,57
2009-10-24,57
2009-10-25,57
2009-10-26,58
2009-10-27,58
2009-10-28,58
2009-10-29,58
2009-10-30,58
2009-10-31,58
2009-11-01,59
2009-11-02,58
2009-11-03,58
2009-11-04,58
2009-11-05,58
2009-11-06,58
2009-11-07,58
2009-11-08,58
2009-11-09,57
2009-11-10,57
2009-11-11,57
2009-11-12,57
2009-11-13,57
2009-11-14,57
2009-11-15,57
2009-11-16,57
2009-11-17,56
2009-11-18,56
2009-11-19,56
2009-11-20,56
2009-11-21,56
2009-11-22,56
2009-11-23,56
2009-11-24,55
2009-11-25,55
2009-11-26,55
2009-11-27,55
2009-11-28,55
2009-11-29,55
2009-11-30,55
2009-12-01,55
2009-12-02,54
2009-12-03,54
2009-12-04,53
2009-12-05,53
2009-12-06,52
2009-12-07,52
2009-12-08,51
2009-12-09,51
2009-12-10,50
2009-12-11,50
2009-12-12,49
2009-12-13,49
2009-12-14,48
2009-12-15,48
2009-12-16,47
2009-12-17,47
2009-12-18,46
2009-12-19,46
2009-12-20,45
2009-12-21,45
2009-12-22,44
2009-12-23,44
2009-12-24,43
2009-12-25,43
2009-12-26,42
2009-12-27,42
2009-12-28,41
2009-12-29,41
2009-12-30,40
2009-12-31,40
2010-01-01,40
2010-01-02,41
2010-01-03,42
2010-01-04,43
2010-01-05,44
2010-01-06,45
2010-01-07,46
2010-01-08,47
2010-01-09,48
2010-01-10,49
2010-01-11,50
2010-01-12,52
2010-01-13,53
2010-01-14,54
2010-01-15,55
2010-01-16,56
2010-01-17,57
2010-01-18,58
2010-01-19,59
2010-01-20,60
2010-01-21,61
2010-01-22,63
2010-01-23,64
2010-01-24,65
2010-01-25,66
2010-01-26,67
2010-01-27,68
2010-01-28,69
2010-01-29,70
2010-01-30,71
2010-01-31,72
2010-02-01,74
2010-02-02,73
2010-02-03,73
2010-02-04,73
