Date,Titan Machinery
2007-05-28,34
2007-05-29,36
2007-05-30,37
2007-05-31,38
2007-06-01,40
2007-06-02,40
2007-06-03,40
2007-06-04,40
2007-06-05,40
2007-06-06,41
2007-06-07,41
2007-06-08,41
2007-06-09,41
2007-06-10,41
2007-06-11,42
2007-06-12,42
2007-06-13,42
2007-06-14,42
2007-06-15,42
2007-06-16,43
2007-06-17,43
2007-06-18,43
2007-06-19,43
2007-06-20,43
2007-06-21,44
2007-06-22,44
2007-06-23,44
2007-06-24,44
2007-06-25,44
2007-06-26,45
2007-06-27,45
2007-06-28,45
2007-06-29,45
2007-06-30,45
2007-07-01,46
2007-07-02,46
2007-07-03,46
2007-07-04,46
2007-07-05,46
2007-07-06,46
2007-07-07,47
2007-07-08,47
2007-07-09,47
2007-07-10,47
2007-07-11,47
2007-07-12,48
2007-07-13,48
2007-07-14,48
2007-07-15,48
2007-07-16,48
2007-07-17,49
2007-07-18,49
2007-07-19,49
2007-07-20,49
2007-07-21,49
2007-07-22,50
2007-07-23,50
2007-07-24,50
2007-07-25,50
2007-07-26,50
2007-07-27,51
2007-07-28,51
2007-07-29,51
2007-07-30,51
2007-07-31,51
2007-08-01,52
2007-08-02,51
2007-08-03,51
2007-08-04,51
2007-08-05,51
2007-08-06,51
2007-08-07,51
2007-08-08,51
2007-08-09,51
2007-08-10,51
2007-08-11,51
2007-08-12,51
2007-08-13,51
2007-08-14,51
2007-08-15,51
2007-08-16,51
2007-08-17,51
2007-08-18,51
2007-08-19,51
2007-08-20,51
2007-08-21,51
2007-08-22,51
2007-08-23,51
2007-08-24,51
2007-08-25,51
2007-08-26,51
2007-08-27,51
2007-08-28,51
2007-08-29,51
2007-08-30,51
2007-08-31,51
2007-09-01,51
2007-09-02,50
2007-09-03,50
2007-09-04,49
2007-09-05,49
2007-09-06,48
2007-09-07,48
2007-09-08,47
2007-09-09,47
2007-09-10,46
2007-09-11,46
2007-09-12,45
2007-09-13,45
2007-09-14,44
2007-09-15,44
2007-09-16,43
2007-09-17,43
2007-09-18,42
2007-09-19,42
2007-09-20,41
2007-09-21,41
2007-09-22,40
2007-09-23,40
2007-09-24,39
2007-09-25,39
2007-09-26,38
2007-09-27,38
2007-09-28,37
2007-09-29,37
2007-09-30,36
2007-10-01,36
2007-10-02,36
2007-10-03,37
2007-10-04,38
2007-10-05,38
2007-10-06,39
2007-10-07,40
2007-10-08,40
2007-10-09,41
2007-10-10,42
2007-10-11,42
2007-10-12,43
2007-10-13,44
2007-10-14,44
2007-10-15,45
2007-10-16,46
2007-10-17,46
2007-10-18,47
2007-10-19,48
2007-10-20,48
2007-10-21,49
2007-10-22,50
2007-10-23,50
2007-10-24,51
2007-10-25,52
2007-10-26,52
2007-10-27,53
2007-10-28,54
2007-10-29,54
2007-10-30,55
2007-10-31,56
2007-11-01,57
2007-11-02,58
2007-11-03,59
2007-11-04,61
2007-11-05,62
2007-11-06,63
2007-11-07,65
2007-11-08,66
2007-11-09,67
2007-11-10,69
2007-11-11,70
2007-11-12,72
2007-11-13,73
2007-11-14,74
2007-11-15,76
2007-11-16,77
2007-11-17,78
2007-11-18,80
2007-11-19,81
2007-11-20,82
2007-11-21,84
2007-11-22,85
2007-11-23,87
2007-11-24,88
2007-11-25,89
2007-11-26,91
2007-11-27,92
2007-11-28,93
2007-11-29,95
2007-11-30,96
2007-12-01,98
2007-12-02,98
2007-12-03,98
2007-12-04,98
2007-12-05,98
2007-12-06,98
2007-12-07,98
2007-12-08,98
2007-12-09,98
2007-12-10,98
2007-12-11,98
2007-12-12,98
2007-12-13,98
2007-12-14,98
2007-12-15,98
2007-12-16,98
2007-12-17,98
2007-12-18,98
2007-12-19,98
2007-12-20,98
2007-12-21,98
2007-12-22,98
2007-12-23,98
2007-12-24,98
2007-12-25,98
2007-12-26,98
2007-12-27,98
2007-12-28,98
2007-12-29,98
2007-12-30,98
2007-12-31,98
2008-01-01,98
2008-01-02,97
2008-01-03,96
2008-01-04,96
2008-01-05,95
2008-01-06,95
2008-01-07,94
2008-01-08,94
2008-01-09,93
2008-01-10,93
2008-01-11,92
2008-01-12,91
2008-01-13,91
2008-01-14,90
2008-01-15,90
2008-01-16,89
2008-01-17,89
2008-01-18,88
2008-01-19,88
2008-01-20,87
2008-01-21,87
2008-01-22,86
2008-01-23,85
2008-01-24,85
2008-01-25,84
2008-01-26,84
2008-01-27,83
2008-01-28,83
2008-01-29,82
2008-01-30,82
2008-01-31,81
2008-02-01,81
2008-02-02,81
2008-02-03,82
2008-02-04,82
2008-02-05,83
2008-02-06,84
2008-02-07,84
2008-02-08,85
2008-02-09,86
2008-02-10,86
2008-02-11,87
2008-02-12,88
2008-02-13,88
2008-02-14,89
2008-02-15,90
2008-02-16,90
2008-02-17,91
2008-02-18,92
2008-02-19,92
2008-02-20,93
2008-02-21,94
2008-02-22,94
2008-02-23,95
2008-02-24,96
2008-02-25,96
2008-02-26,97
2008-02-27,98
2008-02-28,98
2008-02-29,99
2008-03-01,100
2008-03-02,99
2008-03-03,99
2008-03-04,99
2008-03-05,99
2008-03-06,99
2008-03-07,98
2008-03-08,98
2008-03-09,98
2008-03-10,98
2008-03-11,98
2008-03-12,97
2008-03-13,97
2008-03-14,97
2008-03-15,97
2008-03-16,97
2008-03-17,96
2008-03-18,96
2008-03-19,96
2008-03-20,96
2008-03-21,96
2008-03-22,95
2008-03-23,95
2008-03-24,95
2008-03-25,95
2008-03-26,95
2008-03-27,94
2008-03-28,94
2008-03-29,94
2008-03-30,94
2008-03-31,94
2008-04-01,94
2008-04-02,93
2008-04-03,93
2008-04-04,93
2008-04-05,93
2008-04-06,93
2008-04-07,93
2008-04-08,93
2008-04-09,93
2008-04-10,93
2008-04-11,93
2008-04-12,93
2008-04-13,93
2008-04-14,93
2008-04-15,93
2008-04-16,93
2008-04-17,92
2008-04-18,92
2008-04-19,92
2008-04-20,92
2008-04-21,92
2008-04-22,92
2008-04-23,92
2008-04-24,92
2008-04-25,92
2008-04-26,92
2008-04-27,92
2008-04-28,92
2008-04-29,92
2008-04-30,92
2008-05-01,92
2008-05-02,92
2008-05-03,92
2008-05-04,92
2008-05-05,92
2008-05-06,92
2008-05-07,92
2008-05-08,92
2008-05-09,92
2008-05-10,92
2008-05-11,92
2008-05-12,92
2008-05-13,92
2008-05-14,92
2008-05-15,92
2008-05-16,92
2008-05-17,92
2008-05-18,92
2008-05-19,92
2008-05-20,92
2008-05-21,92
2008-05-22,92
2008-05-23,92
2008-05-24,92
2008-05-25,92
2008-05-26,92
2008-05-27,92
2008-05-28,92
2008-05-29,92
2008-05-30,92
2008-05-31,92
2008-06-01,92
2008-06-02,92
2008-06-03,92
2008-06-04,92
2008-06-05,92
2008-06-06,92
2008-06-07,92
2008-06-08,92
2008-06-09,92
2008-06-10,92
2008-06-11,93
2008-06-12,93
2008-06-13,93
2008-06-14,93
2008-06-15,93
2008-06-16,93
2008-06-17,93
2008-06-18,93
2008-06-19,93
2008-06-20,93
2008-06-21,94
2008-06-22,94
2008-06-23,94
2008-06-24,94
2008-06-25,94
2008-06-26,94
2008-06-27,94
2008-06-28,94
2008-06-29,94
2008-06-30,94
2008-07-01,95
2008-07-02,93
2008-07-03,92
2008-07-04,91
2008-07-05,90
2008-07-06,89
2008-07-07,88
2008-07-08,87
2008-07-09,86
2008-07-10,85
2008-07-11,84
2008-07-12,83
2008-07-13,82
2008-07-14,81
2008-07-15,80
2008-07-16,79
2008-07-17,77
2008-07-18,76
2008-07-19,75
2008-07-20,74
2008-07-21,73
2008-07-22,72
2008-07-23,71
2008-07-24,70
2008-07-25,69
2008-07-26,68
2008-07-27,67
2008-07-28,66
2008-07-29,65
2008-07-30,64
2008-07-31,63
2008-08-01,62
2008-08-02,62
2008-08-03,63
2008-08-04,64
2008-08-05,64
2008-08-06,65
2008-08-07,66
2008-08-08,67
2008-08-09,67
2008-08-10,68
2008-08-11,69
2008-08-12,70
2008-08-13,70
2008-08-14,71
2008-08-15,72
2008-08-16,73
2008-08-17,73
2008-08-18,74
2008-08-19,75
2008-08-20,76
2008-08-21,76
2008-08-22,77
2008-08-23,78
2008-08-24,79
2008-08-25,79
2008-08-26,80
2008-08-27,81
2008-08-28,82
2008-08-29,82
2008-08-30,83
2008-08-31,84
2008-09-01,85
2008-09-02,83
2008-09-03,82
2008-09-04,81
2008-09-05,79
2008-09-06,78
2008-09-07,77
2008-09-08,75
2008-09-09,74
2008-09-10,73
2008-09-11,72
2008-09-12,70
2008-09-13,69
2008-09-14,68
2008-09-15,66
2008-09-16,65
2008-09-17,64
2008-09-18,62
2008-09-19,61
2008-09-20,60
2008-09-21,59
2008-09-22,57
2008-09-23,56
2008-09-24,55
2008-09-25,53
2008-09-26,52
2008-09-27,51
2008-09-28,49
2008-09-29,48
2008-09-30,47
2008-10-01,46
2008-10-02,46
2008-10-03,46
2008-10-04,46
2008-10-05,47
2008-10-06,47
2008-10-07,47
2008-10-08,47
2008-10-09,48
2008-10-10,48
2008-10-11,48
2008-10-12,48
2008-10-13,49
2008-10-14,49
2008-10-15,49
2008-10-16,49
2008-10-17,50
2008-10-18,50
2008-10-19,50
2008-10-20,50
2008-10-21,51
2008-10-22,51
2008-10-23,51
2008-10-24,51
2008-10-25,52
2008-10-26,52
2008-10-27,52
2008-10-28,52
2008-10-29,53
2008-10-30,53
2008-10-31,53
2008-11-01,54
2008-11-02,54
2008-11-03,54
2008-11-04,55
2008-11-05,55
2008-11-06,56
2008-11-07,56
2008-11-08,57
2008-11-09,57
2008-11-10,58
2008-11-11,58
2008-11-12,59
2008-11-13,59
2008-11-14,60
2008-11-15,60
2008-11-16,61
2008-11-17,61
2008-11-18,61
2008-11-19,62
2008-11-20,62
2008-11-21,63
2008-11-22,63
2008-11-23,64
2008-11-24,64
2008-11-25,65
2008-11-26,65
2008-11-27,66
2008-11-28,66
2008-11-29,67
2008-11-30,67
2008-12-01,68
2008-12-02,67
2008-12-03,67
2008-12-04,66
2008-12-05,66
2008-12-06,66
2008-12-07,65
2008-12-08,65
2008-12-09,64
2008-12-10,64
2008-12-11,64
2008-12-12,63
2008-12-13,63
2008-12-14,62
2008-12-15,62
2008-12-16,62
2008-12-17,61
2008-12-18,61
2008-12-19,61
2008-12-20,60
2008-12-21,60
2008-12-22,59
2008-12-23,59
2008-12-24,59
2008-12-25,58
2008-12-26,58
2008-12-27,57
2008-12-28,57
2008-12-29,57
2008-12-30,56
2008-12-31,56
2009-01-01,56
2009-01-02,56
2009-01-03,57
2009-01-04,58
2009-01-05,59
2009-01-06,60
2009-01-07,61
2009-01-08,62
2009-01-09,62
2009-01-10,63
2009-01-11,64
2009-01-12,65
2009-01-13,66
2009-01-14,67
2009-01-15,68
2009-01-16,69
2009-01-17,69
2009-01-18,70
2009-01-19,71
2009-01-20,72
2009-01-21,73
2009-01-22,74
2009-01-23,75
2009-01-24,76
2009-01-25,76
2009-01-26,77
2009-01-27,78
2009-01-28,79
2009-01-29,80
2009-01-30,81
2009-01-31,82
