Date,Birds Eye Foods
2009-04-01,71
2009-04-02,70
2009-04-03,70
2009-04-04,70
2009-04-05,67
2009-04-06,64
2009-04-07,61
2009-04-08,60
2009-04-09,55
2009-04-10,52
2009-04-11,50
2009-04-12,49
2009-04-13,48
2009-04-14,47
2009-04-15,46
2009-04-16,45
2009-04-17,44
2009-04-18,43
2009-04-19,47
2009-04-20,51
2009-04-21,55
2009-04-22,61
2009-04-23,64
2009-04-24,68
2009-04-25,73
2009-04-26,70
2009-04-27,68
2009-04-28,65
2009-04-29,64
2009-04-30,60
2009-05-01,58
2009-05-02,56
2009-05-03,56
2009-05-04,56
2009-05-05,56
2009-05-06,57
2009-05-07,59
2009-05-08,57
2009-05-09,58
2009-05-10,55
2009-05-11,53
2009-05-12,51
2009-05-13,49
2009-05-14,47
2009-05-15,45
2009-05-16,44
2009-05-17,43
2009-05-18,43
2009-05-19,44
2009-05-20,44
2009-05-21,45
2009-05-22,45
2009-05-23,46
2009-05-24,47
2009-05-25,48
2009-05-26,49
2009-05-27,50
2009-05-28,51
2009-05-29,55
2009-05-30,54
2009-05-31,53
2009-06-01,52
2009-06-02,51
2009-06-03,51
2009-06-04,50
2009-06-05,49
2009-06-06,50
2009-06-07,50
2009-06-08,51
2009-06-09,52
2009-06-10,53
2009-06-11,54
2009-06-12,55
2009-06-13,57
2009-06-14,57
2009-06-15,57
2009-06-16,58
2009-06-17,57
2009-06-18,57
2009-06-19,58
2009-06-20,57
2009-06-21,56
2009-06-22,55
2009-06-23,55
2009-06-24,54
2009-06-25,53
2009-06-26,52
2009-06-27,52
2009-06-28,52
2009-06-29,53
2009-06-30,53
2009-07-01,54
2009-07-02,54
2009-07-03,55
2009-07-04,56
2009-07-05,57
2009-07-06,58
2009-07-07,59
2009-07-08,60
2009-07-09,64
2009-07-10,62
2009-07-11,63
2009-07-12,61
2009-07-13,59
2009-07-14,57
2009-07-15,56
2009-07-16,54
2009-07-17,52
2009-07-18,51
2009-07-19,52
2009-07-20,53
2009-07-21,54
2009-07-22,56
2009-07-23,56
2009-07-24,57
2009-07-25,59
2009-07-26,57
2009-07-27,56
2009-07-28,58
2009-07-29,53
2009-07-30,52
2009-07-31,51
2009-08-01,50
2009-08-02,50
2009-08-03,51
2009-08-04,51
2009-08-05,52
2009-08-06,52
2009-08-07,53
2009-08-08,54
2009-08-09,52
2009-08-10,50
2009-08-11,48
2009-08-12,47
2009-08-13,44
2009-08-14,42
2009-08-15,41
2009-08-16,42
2009-08-17,44
2009-08-18,46
2009-08-19,48
2009-08-20,51
2009-08-21,52
2009-08-22,54
2009-08-23,53
2009-08-24,53
2009-08-25,54
2009-08-26,52
2009-08-27,52
2009-08-28,52
2009-08-29,52
2009-08-30,52
2009-08-31,52
2009-09-01,52
2009-09-02,53
2009-09-03,53
2009-09-04,53
2009-09-05,54
2009-09-06,53
2009-09-07,52
2009-09-08,52
2009-09-09,51
2009-09-10,51
2009-09-11,54
2009-09-12,50
2009-09-13,52
2009-09-14,54
2009-09-15,56
2009-09-16,62
2009-09-17,60
2009-09-18,62
2009-09-19,64
2009-09-20,60
2009-09-21,57
2009-09-22,54
2009-09-23,50
2009-09-24,47
2009-09-25,44
2009-09-26,41
2009-09-27,43
2009-09-28,46
2009-09-29,53
2009-09-30,51
2009-10-01,54
2009-10-02,57
2009-10-03,60
2009-10-04,58
2009-10-05,56
2009-10-06,55
2009-10-07,53
2009-10-08,52
2009-10-09,51
2009-10-10,49
2009-10-11,50
2009-10-12,52
2009-10-13,54
2009-10-14,54
2009-10-15,56
2009-10-16,57
2009-10-17,61
2009-10-18,58
2009-10-19,58
2009-10-20,58
2009-10-21,58
2009-10-22,58
2009-10-23,58
2009-10-24,58
2009-10-25,56
2009-10-26,54
2009-10-27,53
2009-10-28,51
2009-10-29,50
2009-10-30,50
2009-10-31,47
2009-11-01,48
2009-11-02,50
2009-11-03,51
2009-11-04,54
2009-11-05,54
2009-11-06,56
2009-11-07,58
2009-11-08,59
2009-11-09,60
2009-11-10,63
2009-11-11,63
2009-11-12,69
2009-11-13,66
2009-11-14,68
2009-11-15,68
2009-11-16,68
2009-11-17,68
2009-11-18,71
2009-11-19,69
2009-11-20,75
2009-11-21,71
2009-11-22,68
2009-11-23,66
2009-11-24,64
2009-11-25,62
2009-11-26,60
2009-11-27,58
2009-11-28,57
2009-11-29,56
2009-11-30,61
2009-12-01,55
2009-12-02,58
2009-12-03,55
2009-12-04,54
2009-12-05,54
2009-12-06,54
2009-12-07,57
2009-12-08,55
2009-12-09,56
2009-12-10,56
2009-12-11,57
2009-12-12,58
2009-12-13,55
2009-12-14,52
2009-12-15,50
2009-12-16,47
2009-12-17,45
2009-12-18,42
2009-12-19,40
2009-12-20,38
2009-12-21,37
2009-12-22,35
2009-12-23,34
2009-12-24,32
2009-12-25,31
2009-12-26,30
2009-12-27,28
2009-12-28,27
2009-12-29,26
2009-12-30,25
2009-12-31,24
2010-01-01,23
2010-01-02,22
2010-01-03,26
2010-01-04,31
2010-01-05,35
2010-01-06,39
2010-01-07,44
2010-01-08,48
2010-01-09,53
2010-01-10,52
2010-01-11,52
2010-01-12,53
2010-01-13,52
2010-01-14,54
2010-01-15,52
2010-01-16,52
2010-01-17,51
2010-01-18,50
2010-01-19,50
2010-01-20,49
2010-01-21,48
2010-01-22,47
2010-01-23,47
2010-01-24,47
2010-01-25,48
2010-01-26,49
2010-01-27,50
2010-01-28,51
2010-01-29,52
2010-01-30,53
2010-01-31,55
2010-02-01,58
2010-02-02,61
2010-02-03,64
2010-02-04,68
2010-02-05,74
2010-02-06,73
2010-02-07,71
2010-02-08,72
2010-02-09,69
2010-02-10,68
2010-02-11,73
2010-02-12,66
2010-02-13,65
2010-02-14,63
2010-02-15,61
2010-02-16,59
2010-02-17,59
2010-02-18,58
2010-02-19,53
2010-02-20,52
2010-02-21,53
2010-02-22,54
2010-02-23,59
2010-02-24,59
2010-02-25,57
2010-02-26,59
2010-02-27,60
2010-02-28,60
2010-03-01,66
2010-03-02,62
2010-03-03,63
2010-03-04,70
2010-03-05,65
2010-03-06,66
2010-03-07,66
2010-03-08,66
2010-03-09,66
2010-03-10,68
2010-03-11,66
2010-03-12,70
2010-03-13,67
2010-03-14,64
2010-03-15,61
2010-03-16,58
2010-03-17,56
2010-03-18,53
2010-03-19,50
2010-03-20,48
2010-03-21,50
2010-03-22,52
2010-03-23,54
2010-03-24,63
2010-03-25,58
2010-03-26,60
2010-03-27,64
2010-03-28,60
2010-03-29,58
2010-03-30,56
2010-03-31,54
2010-04-01,52
2010-04-02,52
2010-04-03,48
2010-04-04,48
2010-04-05,48
2010-04-06,48
2010-04-07,48
2010-04-08,48
2010-04-09,48
2010-04-10,48
2010-04-11,48
2010-04-12,48
2010-04-13,48
2010-04-14,50
2010-04-15,48
2010-04-16,48
2010-04-17,48
2010-04-18,47
2010-04-19,46
2010-04-20,45
2010-04-21,44
2010-04-22,43
2010-04-23,42
2010-04-24,44
2010-04-25,44
2010-04-26,46
2010-04-27,48
2010-04-28,51
2010-04-29,52
2010-04-30,60
2010-05-01,57
2010-05-02,55
2010-05-03,54
2010-05-04,53
2010-05-05,51
2010-05-06,49
2010-05-07,48
2010-05-08,47
2010-05-09,50
2010-05-10,54
2010-05-11,58
2010-05-12,61
2010-05-13,65
2010-05-14,69
2010-05-15,73
2010-05-16,71
2010-05-17,70
2010-05-18,69
2010-05-19,67
2010-05-20,68
2010-05-21,68
2010-05-22,63
2010-05-23,61
2010-05-24,60
2010-05-25,58
2010-05-26,57
2010-05-27,59
2010-05-28,54
2010-05-29,53
2010-05-30,53
2010-05-31,53
2010-06-01,53
2010-06-02,57
2010-06-03,53
2010-06-04,54
2010-06-05,55
2010-06-06,53
2010-06-07,53
2010-06-08,52
2010-06-09,52
2010-06-10,53
2010-06-11,51
2010-06-12,51
2010-06-13,50
2010-06-14,50
2010-06-15,50
2010-06-16,50
2010-06-17,49
2010-06-18,49
2010-06-19,49
2010-06-20,46
2010-06-21,44
2010-06-22,42
2010-06-23,40
2010-06-24,38
2010-06-25,36
2010-06-26,34
2010-06-27,34
2010-06-28,35
2010-06-29,36
2010-06-30,36
2010-07-01,37
2010-07-02,38
2010-07-03,39
2010-07-04,41
2010-07-05,44
2010-07-06,47
2010-07-07,49
2010-07-08,52
2010-07-09,55
2010-07-10,58
2010-07-11,57
2010-07-12,57
2010-07-13,56
2010-07-14,61
2010-07-15,55
2010-07-16,55
2010-07-17,55
2010-07-18,58
2010-07-19,61
2010-07-20,71
2010-07-21,69
2010-07-22,70
2010-07-23,73
2010-07-24,79
2010-07-25,72
2010-07-26,68
2010-07-27,64
2010-07-28,61
2010-07-29,57
2010-07-30,53
2010-07-31,50
2010-08-01,49
2010-08-02,48
2010-08-03,47
2010-08-04,46
2010-08-05,45
2010-08-06,44
2010-08-07,45
2010-08-08,44
2010-08-09,45
2010-08-10,46
2010-08-11,47
2010-08-12,50
2010-08-13,49
2010-08-14,50
2010-08-15,51
2010-08-16,53
2010-08-17,57
2010-08-18,58
2010-08-19,57
2010-08-20,59
2010-08-21,61
2010-08-22,57
2010-08-23,54
2010-08-24,50
2010-08-25,47
2010-08-26,45
2010-08-27,40
2010-08-28,37
2010-08-29,37
2010-08-30,37
2010-08-31,38
2010-09-01,38
2010-09-02,39
2010-09-03,39
2010-09-04,40
2010-09-05,42
2010-09-06,45
2010-09-07,48
2010-09-08,51
2010-09-09,55
2010-09-10,57
2010-09-11,60
2010-09-12,60
2010-09-13,57
2010-09-14,55
2010-09-15,58
2010-09-16,52
2010-09-17,51
2010-09-18,51
2010-09-19,49
2010-09-20,49
2010-09-21,48
2010-09-22,50
2010-09-23,47
2010-09-24,48
2010-09-25,47
2010-09-26,46
2010-09-27,46
2010-09-28,45
2010-09-29,45
2010-09-30,46
2010-10-01,44
2010-10-02,44
2010-10-03,46
2010-10-04,48
2010-10-05,50
2010-10-06,53
2010-10-07,54
2010-10-08,56
2010-10-09,58
2010-10-10,57
2010-10-11,57
2010-10-12,57
2010-10-13,59
2010-10-14,55
2010-10-15,56
2010-10-16,57
2010-10-17,54
