Date,RE/MAX
2013-02-09,0
2013-02-10,7
2013-02-11,15
2013-02-12,23
2013-02-13,31
2013-02-14,39
2013-02-15,47
2013-02-16,55
2013-02-17,55
2013-02-18,55
2013-02-19,55
2013-02-20,56
2013-02-21,56
2013-02-22,56
2013-02-23,57
2013-02-24,63
2013-02-25,69
2013-02-26,75
2013-02-27,81
2013-02-28,88
2013-03-01,94
2013-03-02,100
2013-03-03,95
2013-03-04,90
2013-03-05,85
2013-03-06,80
2013-03-07,75
2013-03-08,70
2013-03-09,65
2013-03-10,65
2013-03-11,63
2013-03-12,62
2013-03-13,61
2013-03-14,60
2013-03-15,59
2013-03-16,58
2013-03-17,56
2013-03-18,54
2013-03-19,52
2013-03-20,51
2013-03-21,49
2013-03-22,47
2013-03-23,45
2013-03-24,46
2013-03-25,46
2013-03-26,47
2013-03-27,48
2013-03-28,49
2013-03-29,50
2013-03-30,51
2013-03-31,51
2013-05-05,47
2013-05-06,47
2013-05-07,47
2013-05-08,47
2013-05-09,47
2013-05-10,47
2013-05-11,47
2013-05-12,50
2013-05-13,53
2013-05-14,56
2013-05-15,59
2013-05-16,63
2013-05-17,66
2013-05-18,69
2013-05-19,67
2013-05-20,65
2013-05-21,64
2013-05-22,62
2013-05-23,61
2013-05-24,59
2013-05-25,58
2013-05-26,58
2013-05-27,58
2013-05-28,58
2013-05-29,58
2013-05-30,58
2013-05-31,58
2013-06-01,58
2013-06-02,58
2013-06-03,57
2013-06-04,57
2013-06-05,57
2013-06-06,57
2013-06-07,57
2013-06-08,57
2013-06-09,57
2013-06-10,57
2013-06-11,57
2013-06-12,57
2013-06-13,57
2013-06-14,57
2013-06-15,57
2013-06-16,57
2013-06-17,57
2013-06-18,57
2013-06-19,57
2013-06-20,57
2013-06-21,57
2013-06-22,58
2013-06-23,58
2013-06-24,58
2013-06-25,58
2013-06-26,58
2013-06-27,58
2013-06-28,58
2013-06-29,59
2013-06-30,59
2013-07-01,59
2013-07-02,59
2013-07-03,59
2013-07-04,59
2013-07-05,59
2013-07-06,59
2013-07-07,56
2013-07-08,54
2013-07-09,52
2013-07-10,50
2013-07-11,48
2013-07-12,46
2013-07-13,44
2013-07-14,44
2013-07-15,44
2013-07-16,44
2013-07-17,44
2013-07-18,44
2013-07-19,44
2013-07-20,44
2013-07-21,45
2013-07-22,46
2013-07-23,47
2013-07-24,48
2013-07-25,49
2013-07-26,50
2013-07-27,51
2013-07-28,49
2013-08-04,43
2013-08-05,44
2013-08-06,44
2013-08-07,45
2013-08-08,45
2013-08-09,46
2013-08-10,47
2013-08-11,48
2013-08-12,60
2013-08-13,52
2013-08-14,54
2013-08-15,56
2013-08-16,58
2013-08-17,60
2013-08-18,61
2013-08-19,64
2013-08-20,66
2013-08-21,68
2013-08-22,70
2013-08-23,72
2013-08-24,74
2013-08-25,72
2013-08-26,68
2013-08-27,66
2013-08-28,63
2013-08-29,61
2013-08-30,59
2013-08-31,57
2013-09-01,55
2013-09-02,53
2013-09-03,51
2013-09-04,49
2013-09-05,47
2013-09-06,45
2013-09-07,44
2013-09-08,43
2013-09-09,42
2013-09-10,42
2013-09-11,41
2013-09-12,41
2013-09-13,40
2013-09-14,40
2013-09-15,41
2013-09-16,43
2013-09-17,44
2013-09-18,46
2013-09-19,47
2013-09-20,49
2013-09-21,51
2013-09-22,50
2013-09-23,50
2013-09-24,49
2013-09-25,49
2013-09-26,48
2013-09-27,48
2013-09-28,48
2013-09-29,54
2013-09-30,60
2013-10-01,67
2013-10-02,73
2013-10-03,79
2013-10-04,86
2013-10-05,92
2013-10-06,85
2013-10-07,77
2013-10-08,70
2013-10-09,64
2013-10-10,57
2013-10-11,50
2013-10-12,44
2013-10-13,43
2013-10-14,43
2013-10-15,43
2013-10-16,43
2013-10-17,43
2013-10-18,43
2013-10-19,43
2013-10-20,43
2013-10-21,43
2013-10-22,43
2013-10-23,43
2013-10-24,43
2013-10-25,43
2013-10-26,43
2013-10-27,43
2013-11-03,47
2013-11-04,47
2013-11-05,47
2013-11-06,48
2013-11-07,48
2013-11-08,48
2013-11-09,49
2013-11-10,47
2013-11-11,45
2013-11-12,43
2013-11-13,41
2013-11-14,39
2013-11-15,37
2013-11-16,36
2013-11-17,39
2013-11-18,43
2013-11-19,46
2013-11-20,50
2013-11-21,53
2013-11-22,57
2013-11-23,60
2013-11-24,57
2013-11-25,53
2013-11-26,49
2013-11-27,45
2013-11-28,42
2013-11-29,38
2013-11-30,35
2013-12-01,35
2013-12-02,35
2013-12-03,35
2013-12-04,35
2013-12-05,35
2013-12-06,35
2013-12-07,35
2013-12-08,35
2013-12-09,35
2013-12-10,35
2013-12-11,35
2013-12-12,35
2013-12-13,35
2013-12-14,35
2013-12-15,36
2013-12-16,37
2013-12-17,38
2013-12-18,40
2013-12-19,41
2013-12-20,42
2013-12-21,44
2013-12-22,44
2013-12-23,45
2013-12-24,45
2013-12-25,46
2013-12-26,46
2013-12-27,47
2013-12-28,48
2013-12-29,48
2013-12-30,48
2013-12-31,48
2014-01-01,49
2014-01-02,49
2014-01-03,49
2014-01-04,50
2014-01-05,50
2014-01-06,50
2014-01-07,51
2014-01-08,51
2014-01-09,51
2014-01-10,52
2014-01-11,52
2014-01-12,49
2014-01-13,46
2014-01-14,44
2014-01-15,41
2014-01-16,39
2014-01-17,36
2014-01-18,34
2014-01-19,34
2014-01-20,35
2014-01-21,35
2014-01-22,35
2014-01-23,36
2014-01-24,36
2014-01-25,37
2014-01-26,37
2014-02-02,43
2014-02-03,47
2014-02-04,51
2014-02-05,54
2014-02-06,58
2014-02-07,62
2014-02-08,66
2014-02-09,66
2014-02-10,66
