Date,Ruckus Wireless
2013-03-21,47
2013-03-22,47
2013-03-23,47
2013-03-24,47
2013-03-25,47
2013-03-26,47
2013-03-27,47
2013-03-28,47
2013-03-29,47
2013-03-30,47
2013-03-31,47
2013-04-01,47
2013-04-02,46
2013-04-03,46
2013-04-04,46
2013-04-05,46
2013-04-06,46
2013-04-07,46
2013-04-08,46
2013-04-09,46
2013-04-10,46
2013-04-11,46
2013-04-12,46
2013-04-13,46
2013-04-14,46
2013-04-15,46
2013-04-16,46
2013-04-17,46
2013-04-18,46
2013-04-19,46
2013-04-20,46
2013-04-21,46
2013-04-22,46
2013-04-23,46
2013-04-24,46
2013-04-25,46
2013-04-26,46
2013-04-27,46
2013-04-28,46
2013-04-29,46
2013-04-30,46
2013-05-01,46
2013-05-02,45
2013-05-03,45
2013-05-04,45
2013-05-05,45
2013-05-06,45
2013-05-07,45
2013-05-08,45
2013-05-09,44
2013-05-10,44
2013-05-11,44
2013-05-12,44
2013-05-13,44
2013-05-14,44
2013-05-15,44
2013-05-16,44
2013-05-17,43
2013-05-18,43
2013-05-19,43
2013-05-20,43
2013-05-21,43
2013-05-22,43
2013-05-23,43
2013-05-24,43
2013-05-25,42
2013-05-26,42
2013-05-27,42
2013-05-28,42
2013-05-29,42
2013-05-30,42
2013-05-31,42
2013-06-01,42
2013-06-02,42
2013-06-03,42
2013-06-04,42
2013-06-05,42
2013-06-06,42
2013-06-07,42
2013-06-08,42
2013-06-09,42
2013-06-10,42
2013-06-11,42
2013-06-12,42
2013-06-13,42
2013-06-14,42
2013-06-15,42
2013-06-16,42
2013-06-17,42
2013-06-18,42
2013-06-19,42
2013-06-20,42
2013-06-21,42
2013-06-22,42
2013-06-23,42
2013-06-24,42
2013-06-25,42
2013-06-26,42
2013-06-27,42
2013-06-28,42
2013-06-29,42
2013-06-30,42
2013-07-01,42
2013-07-02,42
2013-07-03,42
2013-07-04,42
2013-07-05,42
2013-07-06,42
2013-07-07,42
2013-07-08,42
2013-07-09,42
2013-07-10,42
2013-07-11,42
2013-07-12,43
2013-07-13,43
2013-07-14,43
2013-07-15,43
2013-07-16,43
2013-07-17,43
2013-07-18,43
2013-07-19,43
2013-07-20,43
2013-07-21,43
2013-07-22,44
2013-07-23,44
2013-07-24,44
2013-07-25,44
2013-07-26,44
2013-07-27,44
2013-07-28,44
2013-07-29,44
2013-07-30,44
2013-07-31,44
2013-08-01,45
2013-08-02,45
2013-08-03,45
2013-08-04,45
2013-08-05,45
2013-08-06,45
2013-08-07,45
2013-08-08,45
2013-08-09,45
2013-08-10,45
2013-08-11,45
2013-08-12,46
2013-08-13,46
2013-08-14,46
2013-08-15,46
2013-08-16,46
2013-08-17,46
2013-08-18,46
2013-08-19,46
2013-08-20,46
2013-08-21,46
2013-08-22,47
2013-08-23,47
2013-08-24,47
2013-08-25,47
2013-08-26,47
2013-08-27,47
2013-08-28,47
2013-08-29,47
2013-08-30,47
2013-08-31,47
2013-09-01,48
2013-09-02,48
2013-09-03,48
2013-09-04,48
2013-09-05,48
2013-09-06,48
2013-09-07,48
2013-09-08,48
2013-09-09,48
2013-09-10,48
2013-09-11,48
2013-09-12,48
2013-09-13,48
2013-09-14,48
2013-09-15,48
2013-09-16,49
2013-09-17,49
2013-09-18,49
2013-09-19,49
2013-09-20,49
2013-09-21,49
2013-09-22,49
2013-09-23,49
2013-09-24,49
2013-09-25,49
2013-09-26,49
2013-09-27,49
2013-09-28,49
2013-09-29,49
2013-09-30,49
2013-10-01,50
2013-10-02,49
2013-10-03,49
2013-10-04,49
2013-10-05,48
2013-10-06,48
2013-10-07,48
2013-10-08,47
2013-10-09,47
2013-10-10,47
2013-10-11,46
2013-10-12,46
2013-10-13,46
2013-10-14,45
2013-10-15,45
2013-10-16,45
2013-10-17,44
2013-10-18,44
2013-10-19,44
2013-10-20,43
2013-10-21,43
2013-10-22,43
2013-10-23,42
2013-10-24,42
2013-10-25,42
2013-10-26,41
2013-10-27,41
2013-10-28,41
2013-10-29,40
2013-10-30,40
2013-10-31,40
2013-11-01,40
2013-11-02,40
2013-11-03,40
2013-11-04,40
2013-11-05,40
2013-11-06,40
2013-11-07,40
2013-11-08,40
2013-11-09,40
2013-11-10,40
2013-11-11,40
2013-11-12,40
2013-11-13,40
2013-11-14,40
2013-11-15,40
2013-11-16,40
2013-11-17,40
2013-11-18,40
2013-11-19,40
2013-11-20,40
2013-11-21,40
2013-11-22,40
2013-11-23,40
2013-11-24,40
2013-11-25,40
2013-11-26,40
2013-11-27,40
2013-11-28,40
2013-11-29,40
2013-11-30,40
2013-12-01,40
2013-12-02,40
2013-12-03,40
2013-12-04,40
2013-12-05,40
2013-12-06,40
2013-12-07,40
2013-12-08,40
2013-12-09,40
2013-12-10,40
2013-12-11,40
2013-12-12,40
2013-12-13,40
