Date,Horizon Pharma
2011-07-29,86
2011-07-30,85
2011-07-31,85
2011-08-01,85
2011-08-02,84
2011-08-03,83
2011-08-04,82
2011-08-05,81
2011-08-06,80
2011-08-07,79
2011-08-08,78
2011-08-09,77
2011-08-10,76
2011-08-11,75
2011-08-12,75
2011-08-13,74
2011-08-14,73
2011-08-15,72
2011-08-16,71
2011-08-17,70
2011-08-18,69
2011-08-19,68
2011-08-20,67
2011-08-21,66
2011-08-22,66
2011-08-23,65
2011-08-24,64
2011-08-25,63
2011-08-26,62
2011-08-27,61
2011-08-28,60
2011-08-29,59
2011-08-30,58
2011-08-31,57
2011-09-01,57
2011-09-02,57
2011-09-03,57
2011-09-04,57
2011-09-05,57
2011-09-06,57
2011-09-07,57
2011-09-08,57
2011-09-09,57
2011-09-10,57
2011-09-11,57
2011-09-12,57
2011-09-13,57
2011-09-14,57
2011-09-15,57
2011-09-16,57
2011-09-17,57
2011-09-18,57
2011-09-19,57
2011-09-20,57
2011-09-21,57
2011-09-22,57
2011-09-23,57
2011-09-24,57
2011-09-25,57
2011-09-26,57
2011-09-27,57
2011-09-28,57
2011-09-29,57
2011-09-30,57
2011-10-01,58
2011-10-02,57
2011-10-03,57
2011-10-04,56
2011-10-05,56
2011-10-06,55
2011-10-07,55
2011-10-08,55
2011-10-09,54
2011-10-10,54
2011-10-11,53
2011-10-12,53
2011-10-13,52
2011-10-14,52
2011-10-15,52
2011-10-16,51
2011-10-17,51
2011-10-18,50
2011-10-19,50
2011-10-20,50
2011-10-21,49
2011-10-22,49
2011-10-23,48
2011-10-24,48
2011-10-25,47
2011-10-26,47
2011-10-27,47
2011-10-28,46
2011-10-29,46
2011-10-30,45
2011-10-31,45
2011-11-01,45
2011-11-02,44
2011-11-03,44
2011-11-04,43
2011-11-05,43
2011-11-06,43
2011-11-07,42
2011-11-08,42
2011-11-09,41
2011-11-10,41
2011-11-11,41
2011-11-12,40
2011-11-13,40
2011-11-14,39
2011-11-15,39
2011-11-16,39
2011-11-17,38
2011-11-18,38
2011-11-19,37
2011-11-20,37
2011-11-21,37
2011-11-22,36
2011-11-23,36
2011-11-24,35
2011-11-25,35
2011-11-26,35
2011-11-27,34
2011-11-28,34
2011-11-29,33
2011-11-30,33
2011-12-01,33
2011-12-02,33
2011-12-03,33
2011-12-04,33
2011-12-05,34
2011-12-06,34
2011-12-07,34
2011-12-08,35
2011-12-09,35
2011-12-10,35
2011-12-11,36
2011-12-12,36
2011-12-13,36
2011-12-14,37
2011-12-15,37
2011-12-16,37
2011-12-17,38
2011-12-18,38
2011-12-19,38
2011-12-20,39
2011-12-21,39
2011-12-22,39
2011-12-23,40
2011-12-24,40
2011-12-25,40
2011-12-26,41
2011-12-27,41
2011-12-28,41
2011-12-29,42
2011-12-30,42
2011-12-31,42
2012-01-01,43
