Date,Hilton Worldwide
2013-07-23,42
2013-07-24,43
2013-07-25,43
2013-07-26,43
2013-07-27,44
2013-07-28,44
2013-07-29,44
2013-07-30,44
2013-07-31,45
2013-08-01,45
2013-08-02,45
2013-08-03,46
2013-08-04,46
2013-08-05,46
2013-08-06,46
2013-08-07,47
2013-08-08,47
2013-08-09,47
2013-08-10,48
2013-08-11,46
2013-08-12,44
2013-08-13,42
2013-08-14,41
2013-08-15,39
2013-08-16,37
2013-08-17,36
2013-08-18,36
2013-08-19,36
2013-08-20,36
2013-08-21,36
2013-08-22,36
2013-08-23,36
2013-08-24,36
2013-08-25,36
2013-08-26,36
2013-08-27,36
2013-08-28,36
2013-08-29,36
2013-08-30,36
2013-08-31,36
2013-09-01,37
2013-09-02,38
2013-09-03,39
2013-09-04,41
2013-09-05,42
2013-09-06,43
2013-09-07,45
2013-09-08,45
2013-09-09,45
2013-09-10,46
2013-09-11,46
2013-09-12,47
2013-09-13,47
2013-09-14,48
2013-09-15,48
2013-09-16,49
2013-09-17,49
2013-09-18,50
2013-09-19,50
2013-09-20,51
2013-09-21,52
2013-09-22,44
2013-09-23,37
2013-09-24,29
2013-09-25,22
2013-09-26,14
2013-09-27,7
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,0
2013-10-06,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,0
2013-10-13,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,0
2013-10-27,0
2013-10-28,0
2013-10-29,0
2013-10-30,0
2013-10-31,0
2013-11-01,0
2013-11-02,0
2013-11-03,0
2013-11-04,0
2013-11-05,0
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-14,0
2013-11-15,0
2013-11-16,0
2013-11-17,4
2013-11-18,9
2013-11-19,14
2013-11-20,18
2013-11-21,23
2013-11-22,28
2013-11-23,33
2013-11-24,33
2013-11-25,34
2013-11-26,35
2013-11-27,36
2013-11-28,37
2013-11-29,38
2013-11-30,39
2013-12-01,39
2013-12-02,40
2013-12-03,41
2013-12-04,42
2013-12-05,43
2013-12-06,44
2013-12-07,45
2013-12-08,52
2013-12-09,61
2013-12-10,69
2013-12-11,77
2013-12-12,85
2013-12-13,93
2013-12-14,101
2013-12-15,94
2013-12-16,86
2013-12-17,79
2013-12-18,72
2013-12-19,65
2013-12-20,58
2013-12-21,51
2013-12-22,49
2013-12-23,47
2013-12-24,45
2013-12-25,44
2013-12-26,42
2013-12-27,40
2013-12-28,39
2013-12-29,39
2013-12-30,39
2013-12-31,39
2014-01-01,39
2014-01-02,39
2014-01-03,39
2014-01-04,39
2014-01-05,40
2014-01-06,41
2014-01-07,42
2014-01-08,44
2014-01-09,45
2014-01-10,46
2014-01-11,48
2014-01-12,45
2014-01-13,43
2014-01-14,41
2014-01-15,38
2014-01-16,36
2014-01-17,34
2014-01-18,32
2014-01-19,33
2014-01-20,34
2014-01-21,35
2014-01-22,37
2014-01-23,38
2014-01-24,39
2014-01-25,41
2014-01-26,42
2014-01-27,43
2014-01-28,45
2014-01-29,46
2014-01-30,48
2014-01-31,49
2014-02-01,51
2014-02-02,50
2014-02-03,50
2014-02-04,50
2014-02-05,49
2014-02-06,49
2014-02-07,49
2014-02-08,49
2014-02-09,48
2014-02-10,48
2014-02-11,48
2014-02-12,48
2014-02-13,47
2014-02-14,47
2014-02-15,47
2014-02-16,46
2014-02-17,44
2014-02-18,42
2014-02-19,41
2014-02-20,39
2014-02-21,38
2014-02-22,37
2014-02-23,40
2014-03-01,63
