Date,Independent Bank
2012-08-11,81
2012-08-12,83
2012-08-13,86
2012-08-14,89
2012-08-15,93
2012-08-16,98
2012-08-17,97
2012-08-18,111
2012-08-19,94
2012-08-20,88
2012-08-21,82
2012-08-22,76
2012-08-23,70
2012-08-24,64
2012-08-25,58
2012-08-26,61
2012-08-27,65
2012-08-28,76
2012-08-29,73
2012-08-30,83
2012-08-31,81
2012-09-01,88
2012-09-02,81
2012-09-03,77
2012-09-04,74
2012-09-05,70
2012-09-06,70
2012-09-07,63
2012-09-08,60
2012-09-09,61
2012-09-10,63
2012-09-11,65
2012-09-12,66
2012-09-13,68
2012-09-14,70
2012-09-15,75
2012-09-16,72
2012-09-17,74
2012-09-18,73
2012-09-19,74
2012-09-20,74
2012-09-21,76
2012-09-22,76
2012-09-23,74
2012-09-24,73
2012-09-25,71
2012-09-26,70
2012-09-27,71
2012-09-28,69
2012-09-29,66
2012-09-30,71
2012-10-01,70
2012-10-02,72
2012-10-03,75
2012-10-04,77
2012-10-05,83
2012-10-06,89
2012-10-07,81
2012-10-08,80
2012-10-09,79
2012-10-10,78
2012-10-11,79
2012-10-12,76
2012-10-13,75
2012-10-14,77
2012-10-15,79
2012-10-16,84
2012-10-17,84
2012-10-18,93
2012-10-19,90
2012-10-20,92
2012-10-21,87
2012-10-22,82
2012-10-23,77
2012-10-24,77
2012-10-25,67
2012-10-26,62
2012-10-27,57
2012-10-28,58
2012-10-29,59
2012-10-30,60
2012-10-31,62
2012-11-01,62
2012-11-02,65
2012-11-03,64
2012-11-04,64
2012-11-05,64
2012-11-06,65
2012-11-07,65
2012-11-08,65
2012-11-09,65
2012-11-10,68
2012-11-11,70
2012-11-12,75
2012-11-13,80
2012-11-14,85
2012-11-15,100
2012-11-16,95
2012-11-17,111
2012-11-18,95
2012-11-19,84
2012-11-20,76
2012-11-21,69
2012-11-22,61
2012-11-23,53
2012-11-24,46
2012-11-25,47
2012-11-26,49
2012-11-27,51
2012-11-28,55
2012-11-29,54
2012-11-30,56
2012-12-01,58
2012-12-02,59
2012-12-03,58
2012-12-04,56
2012-12-05,62
2012-12-06,55
2012-12-07,55
2012-12-08,55
2012-12-09,56
2012-12-10,57
2012-12-11,60
2012-12-12,60
2012-12-13,61
2012-12-14,64
2012-12-15,66
2012-12-16,63
2012-12-17,63
2012-12-18,66
2012-12-19,62
2012-12-20,61
2012-12-21,61
2012-12-22,61
2012-12-23,59
2012-12-24,58
2012-12-25,57
