Date,BE Resources Inc
2008-01-01,26
2008-01-02,27
2008-01-03,28
2008-01-04,29
2008-01-05,30
2008-01-06,31
2008-01-07,32
2008-01-08,33
2008-01-09,34
2008-01-10,35
2008-01-11,36
2008-01-12,37
2008-01-13,38
2008-01-14,39
2008-01-15,40
2008-01-16,41
2008-01-17,43
2008-01-18,44
2008-01-19,45
2008-01-20,46
2008-01-21,47
2008-01-22,48
2008-01-23,49
2008-01-24,50
2008-01-25,51
2008-01-26,52
2008-01-27,53
2008-01-28,54
2008-01-29,55
2008-01-30,56
2008-01-31,57
2008-02-01,59
2008-02-02,58
2008-02-03,57
2008-02-04,56
2008-02-05,56
2008-02-06,55
2008-02-07,54
2008-02-08,54
2008-02-09,53
2008-02-10,52
2008-02-11,52
2008-02-12,51
2008-02-13,50
2008-02-14,50
2008-02-15,49
2008-02-16,48
2008-02-17,47
2008-02-18,47
2008-02-19,46
2008-02-20,45
2008-02-21,45
2008-02-22,44
2008-02-23,43
2008-02-24,43
2008-02-25,42
2008-02-26,41
2008-02-27,41
2008-02-28,40
2008-02-29,39
2008-03-01,39
2008-03-02,40
2008-03-03,41
2008-03-04,42
2008-03-05,43
2008-03-06,44
2008-03-07,46
2008-03-08,47
2008-03-09,48
2008-03-10,49
2008-03-11,50
2008-03-12,52
2008-03-13,53
2008-03-14,54
2008-03-15,55
2008-03-16,56
2008-03-17,58
2008-03-18,59
2008-03-19,60
2008-03-20,61
2008-03-21,62
2008-03-22,64
2008-03-23,65
2008-03-24,66
2008-03-25,67
2008-03-26,68
2008-03-27,70
2008-03-28,71
2008-03-29,72
2008-03-30,73
2008-03-31,74
2008-04-01,76
2008-04-02,76
2008-04-03,76
2008-04-04,77
2008-04-05,77
2008-04-06,77
2008-04-07,78
2008-04-08,78
2008-04-09,78
2008-04-10,79
2008-04-11,79
2008-04-12,79
2008-04-13,80
2008-04-14,80
2008-04-15,80
2008-04-16,81
2008-04-17,81
2008-04-18,81
2008-04-19,82
2008-04-20,82
2008-04-21,82
2008-04-22,83
2008-04-23,83
2008-04-24,83
2008-04-25,84
2008-04-26,84
2008-04-27,84
2008-04-28,85
2008-04-29,85
2008-04-30,85
2008-05-01,86
2008-05-02,85
2008-05-03,85
2008-05-04,85
2008-05-05,85
2008-05-06,85
2008-05-07,85
2008-05-08,85
2008-05-09,85
2008-05-10,85
2008-05-11,85
2008-05-12,85
2008-05-13,85
2008-05-14,85
2008-05-15,85
2008-05-16,85
2008-05-17,84
2008-05-18,84
2008-05-19,84
2008-05-20,84
2008-05-21,84
2008-05-22,84
2008-05-23,84
2008-05-24,84
2008-05-25,84
2008-05-26,84
2008-05-27,84
2008-05-28,84
2008-05-29,84
2008-05-30,84
2008-05-31,84
2008-06-01,84
2008-06-02,84
2008-06-03,85
2008-06-04,85
2008-06-05,86
2008-06-06,86
2008-06-07,87
2008-06-08,87
2008-06-09,88
2008-06-10,88
2008-06-11,89
2008-06-12,89
2008-06-13,90
2008-06-14,90
2008-06-15,91
2008-06-16,92
2008-06-17,92
2008-06-18,93
2008-06-19,93
2008-06-20,94
2008-06-21,94
2008-06-22,95
2008-06-23,95
2008-06-24,96
2008-06-25,96
2008-06-26,97
2008-06-27,97
2008-06-28,98
2008-06-29,98
2008-06-30,99
2008-07-01,100
2008-07-02,98
2008-07-03,97
2008-07-04,95
2008-07-05,94
2008-07-06,92
2008-07-07,91
2008-07-08,90
2008-07-09,88
2008-07-10,87
2008-07-11,85
2008-07-12,84
2008-07-13,82
2008-07-14,81
2008-07-15,80
2008-07-16,78
2008-07-17,77
2008-07-18,75
2008-07-19,74
2008-07-20,73
2008-07-21,71
2008-07-22,70
2008-07-23,68
2008-07-24,67
2008-07-25,65
2008-07-26,64
2008-07-27,63
2008-07-28,61
2008-07-29,60
2008-07-30,58
2008-07-31,57
2008-08-01,56
2008-08-02,56
2008-08-03,56
2008-08-04,56
2008-08-05,57
2008-08-06,57
2008-08-07,57
2008-08-08,58
2008-08-09,58
2008-08-10,58
2008-08-11,58
2008-08-12,59
2008-08-13,59
2008-08-14,59
2008-08-15,60
2008-08-16,60
2008-08-17,60
2008-08-18,60
2008-08-19,61
2008-08-20,61
2008-08-21,61
2008-08-22,62
2008-08-23,62
2008-08-24,62
2008-08-25,62
2008-08-26,63
2008-08-27,63
2008-08-28,63
2008-08-29,64
2008-08-30,64
2008-08-31,64
2008-09-01,65
2008-09-02,64
2008-09-03,64
2008-09-04,64
2008-09-05,63
2008-09-06,63
2008-09-07,63
2008-09-08,62
2008-09-09,62
2008-09-10,62
2008-09-11,62
2008-09-12,61
2008-09-13,61
2008-09-14,61
2008-09-15,60
2008-09-16,60
2008-09-17,60
2008-09-18,59
2008-09-19,59
2008-09-20,59
2008-09-21,59
2008-09-22,58
2008-09-23,58
2008-09-24,58
2008-09-25,57
2008-09-26,57
2008-09-27,57
2008-09-28,56
2008-09-29,56
2008-09-30,56
2008-10-01,56
2008-10-02,55
2008-10-03,54
2008-10-04,53
2008-10-05,53
2008-10-06,52
2008-10-07,51
2008-10-08,51
2008-10-09,50
2008-10-10,49
2008-10-11,48
2008-10-12,48
2008-10-13,47
2008-10-14,46
2008-10-15,46
2008-10-16,45
2008-10-17,44
2008-10-18,43
2008-10-19,43
2008-10-20,42
2008-10-21,41
2008-10-22,41
2008-10-23,40
2008-10-24,39
2008-10-25,38
2008-10-26,38
2008-10-27,37
2008-10-28,36
2008-10-29,36
2008-10-30,35
2008-10-31,34
2008-11-01,34
2008-11-02,34
2008-11-03,34
2008-11-04,34
2008-11-05,34
2008-11-06,35
2008-11-07,35
2008-11-08,35
2008-11-09,35
2008-11-10,35
2008-11-11,36
2008-11-12,36
2008-11-13,36
2008-11-14,36
2008-11-15,36
2008-11-16,37
2008-11-17,37
2008-11-18,37
2008-11-19,37
2008-11-20,37
2008-11-21,38
2008-11-22,38
2008-11-23,38
2008-11-24,38
2008-11-25,38
2008-11-26,39
2008-11-27,39
2008-11-28,39
2008-11-29,39
2008-11-30,39
2008-12-01,40
2008-12-02,39
2008-12-03,39
2008-12-04,39
2008-12-05,39
2008-12-06,39
2008-12-07,39
2008-12-08,39
2008-12-09,39
2008-12-10,39
2008-12-11,39
2008-12-12,38
2008-12-13,38
2008-12-14,38
2008-12-15,38
2008-12-16,38
2008-12-17,38
2008-12-18,38
2008-12-19,38
2008-12-20,38
2008-12-21,38
2008-12-22,37
2008-12-23,37
2008-12-24,37
2008-12-25,37
2008-12-26,37
2008-12-27,37
2008-12-28,37
2008-12-29,37
2008-12-30,37
2008-12-31,37
2009-01-01,37
2009-01-02,37
2009-01-03,37
2009-01-04,37
2009-01-05,38
2009-01-06,38
2009-01-07,38
2009-01-08,38
2009-01-09,39
2009-01-10,39
2009-01-11,39
2009-01-12,39
2009-01-13,40
2009-01-14,40
2009-01-15,40
2009-01-16,40
2009-01-17,41
2009-01-18,41
2009-01-19,41
2009-01-20,41
2009-01-21,42
2009-01-22,42
2009-01-23,42
2009-01-24,42
2009-01-25,43
2009-01-26,43
2009-01-27,43
2009-01-28,43
2009-01-29,44
2009-01-30,44
2009-01-31,44
2009-02-01,45
2009-02-02,45
2009-02-03,45
2009-02-04,45
2009-02-05,45
2009-02-06,45
2009-02-07,45
2009-02-08,45
2009-02-09,45
2009-02-10,45
2009-02-11,45
2009-02-12,45
2009-02-13,45
2009-02-14,45
2009-02-15,45
2009-02-16,45
2009-02-17,45
2009-02-18,45
2009-02-19,45
2009-02-20,45
2009-02-21,45
2009-02-22,45
2009-02-23,45
2009-02-24,45
2009-02-25,45
2009-02-26,45
2009-02-27,45
2009-02-28,45
2009-03-01,45
2009-03-02,44
2009-03-03,44
2009-03-04,44
2009-03-05,44
2009-03-06,44
2009-03-07,44
2009-03-08,44
2009-03-09,43
2009-03-10,43
2009-03-11,43
2009-03-12,43
2009-03-13,43
2009-03-14,43
2009-03-15,43
2009-03-16,43
2009-03-17,42
2009-03-18,42
2009-03-19,42
2009-03-20,42
2009-03-21,42
2009-03-22,42
2009-03-23,42
2009-03-24,42
2009-03-25,41
2009-03-26,41
2009-03-27,41
2009-03-28,41
2009-03-29,41
2009-03-30,41
2009-03-31,41
2009-04-01,41
2009-04-02,41
2009-04-03,41
2009-04-04,41
2009-04-05,41
2009-04-06,41
2009-04-07,41
2009-04-08,41
2009-04-09,41
2009-04-10,41
2009-04-11,41
2009-04-12,41
2009-04-13,41
2009-04-14,41
2009-04-15,41
2009-04-16,41
2009-04-17,41
2009-04-18,41
2009-04-19,41
2009-04-20,41
2009-04-21,41
2009-04-22,41
2009-04-23,41
2009-04-24,41
2009-04-25,41
2009-04-26,41
2009-04-27,41
2009-04-28,41
2009-04-29,41
2009-04-30,41
2009-05-01,41
2009-05-02,40
2009-05-03,40
2009-05-04,40
2009-05-05,40
2009-05-06,40
2009-05-07,39
2009-05-08,39
2009-05-09,39
2009-05-10,39
2009-05-11,39
2009-05-12,38
2009-05-13,38
2009-05-14,38
2009-05-15,38
2009-05-16,38
2009-05-17,37
2009-05-18,37
2009-05-19,37
2009-05-20,37
2009-05-21,37
2009-05-22,36
2009-05-23,36
2009-05-24,36
2009-05-25,36
2009-05-26,36
2009-05-27,35
2009-05-28,35
2009-05-29,35
2009-05-30,35
2009-05-31,35
2009-06-01,35
2009-06-02,35
2009-06-03,36
2009-06-04,37
2009-06-05,38
2009-06-06,39
2009-06-07,39
2009-06-08,40
2009-06-09,41
2009-06-10,42
2009-06-11,43
2009-06-12,43
2009-06-13,44
2009-06-14,45
2009-06-15,46
2009-06-16,47
2009-06-17,47
2009-06-18,48
2009-06-19,49
2009-06-20,50
2009-06-21,51
2009-06-22,51
2009-06-23,52
2009-06-24,53
2009-06-25,54
2009-06-26,55
2009-06-27,55
2009-06-28,56
2009-06-29,57
2009-06-30,58
2009-07-01,59
2009-07-02,58
2009-07-03,58
2009-07-04,57
2009-07-05,57
2009-07-06,56
2009-07-07,56
2009-07-08,55
2009-07-09,55
2009-07-10,54
2009-07-11,54
2009-07-12,53
2009-07-13,53
2009-07-14,52
2009-07-15,52
2009-07-16,51
2009-07-17,51
2009-07-18,50
2009-07-19,50
2009-07-20,49
2009-07-21,49
2009-07-22,48
2009-07-23,48
2009-07-24,47
2009-07-25,47
2009-07-26,46
2009-07-27,46
2009-07-28,45
2009-07-29,45
2009-07-30,44
2009-07-31,44
2009-08-01,44
2009-08-02,43
2009-08-03,43
2009-08-04,43
2009-08-05,43
2009-08-06,43
2009-08-07,42
2009-08-08,42
2009-08-09,42
2009-08-10,42
2009-08-11,42
2009-08-12,41
2009-08-13,41
2009-08-14,41
2009-08-15,41
2009-08-16,41
2009-08-17,40
2009-08-18,40
2009-08-19,40
2009-08-20,40
2009-08-21,40
2009-08-22,39
2009-08-23,39
2009-08-24,39
2009-08-25,39
2009-08-26,39
2009-08-27,38
2009-08-28,38
2009-08-29,38
2009-08-30,38
2009-08-31,38
2009-09-01,38
2009-09-02,37
2009-09-03,37
2009-09-04,37
2009-09-05,37
2009-09-06,37
2009-09-07,36
2009-09-08,36
2009-09-09,36
2009-09-10,36
2009-09-11,36
2009-09-12,35
2009-09-13,35
2009-09-14,35
2009-09-15,35
2009-09-16,35
2009-09-17,34
2009-09-18,34
2009-09-19,34
2009-09-20,34
2009-09-21,34
2009-09-22,33
2009-09-23,33
2009-09-24,33
2009-09-25,33
2009-09-26,33
2009-09-27,32
2009-09-28,32
2009-09-29,32
2009-09-30,32
2009-10-01,32
2009-10-02,32
2009-10-03,32
2009-10-04,33
2009-10-05,33
2009-10-06,34
2009-10-07,34
2009-10-08,35
2009-10-09,35
2009-10-10,36
2009-10-11,36
2009-10-12,36
2009-10-13,37
2009-10-14,37
2009-10-15,38
2009-10-16,38
2009-10-17,39
2009-10-18,39
2009-10-19,40
2009-10-20,40
2009-10-21,41
2009-10-22,41
2009-10-23,41
2009-10-24,42
2009-10-25,42
2009-10-26,43
2009-10-27,43
2009-10-28,44
2009-10-29,44
2009-10-30,45
2009-10-31,45
2009-11-01,46
2009-11-02,46
2009-11-03,46
2009-11-04,46
2009-11-05,46
2009-11-06,46
2009-11-07,46
2009-11-08,46
2009-11-09,46
2009-11-10,46
2009-11-11,46
2009-11-12,46
2009-11-13,46
2009-11-14,46
2009-11-15,46
2009-11-16,46
2009-11-17,46
2009-11-18,46
2009-11-19,46
2009-11-20,46
2009-11-21,46
2009-11-22,46
2009-11-23,46
2009-11-24,46
2009-11-25,46
2009-11-26,46
2009-11-27,46
2009-11-28,46
2009-11-29,46
2009-11-30,46
2009-12-01,46
