Date,Northern Tier Energy
2011-06-01,0
2011-06-02,1
2011-06-03,2
2011-06-04,3
2011-06-05,4
2011-06-06,6
2011-06-07,7
2011-06-08,8
2011-06-09,9
2011-06-10,10
2011-06-11,12
2011-06-12,13
2011-06-13,14
2011-06-14,15
2011-06-15,16
2011-06-16,18
2011-06-17,19
2011-06-18,20
2011-06-19,21
2011-06-20,22
2011-06-21,24
2011-06-22,25
2011-06-23,26
2011-06-24,27
2011-06-25,28
2011-06-26,30
2011-06-27,31
2011-06-28,32
2011-06-29,33
2011-06-30,34
2011-07-01,36
2011-07-02,36
2011-07-03,36
2011-07-04,36
2011-07-05,36
2011-07-06,36
2011-07-07,36
2011-07-08,36
2011-07-09,36
2011-07-10,36
2011-07-11,36
2011-07-12,36
2011-07-13,36
2011-07-14,36
2011-07-15,36
2011-07-16,36
2011-07-17,37
2011-07-18,37
2011-07-19,37
2011-07-20,37
2011-07-21,37
2011-07-22,37
2011-07-23,37
2011-07-24,37
2011-07-25,37
2011-07-26,37
2011-07-27,37
2011-07-28,37
2011-07-29,37
2011-07-30,37
2011-07-31,37
2011-08-01,38
2011-08-02,37
2011-08-03,36
2011-08-04,36
2011-08-05,35
2011-08-06,35
2011-08-07,34
2011-08-08,34
2011-08-09,33
2011-08-10,33
2011-08-11,32
2011-08-12,32
2011-08-13,31
2011-08-14,31
2011-08-15,30
2011-08-16,30
2011-08-17,29
2011-08-18,29
2011-08-19,28
2011-08-20,28
2011-08-21,27
2011-08-22,27
2011-08-23,26
2011-08-24,26
2011-08-25,25
2011-08-26,25
2011-08-27,24
2011-08-28,24
2011-08-29,23
2011-08-30,23
2011-08-31,22
2011-09-01,22
2011-09-02,22
2011-09-03,22
2011-09-04,22
2011-09-05,23
2011-09-06,23
2011-09-07,23
2011-09-08,24
2011-09-09,24
2011-09-10,24
2011-09-11,25
2011-09-12,25
2011-09-13,25
2011-09-14,25
2011-09-15,26
2011-09-16,26
2011-09-17,26
2011-09-18,27
2011-09-19,27
2011-09-20,27
2011-09-21,28
2011-09-22,28
2011-09-23,28
2011-09-24,28
2011-09-25,29
2011-09-26,29
2011-09-27,29
2011-09-28,30
2011-09-29,30
2011-09-30,30
2011-10-01,31
2011-10-02,30
2011-10-03,30
2011-10-04,30
2011-10-05,29
2011-10-06,29
2011-10-07,29
2011-10-08,29
2011-10-09,28
2011-10-10,28
2011-10-11,28
2011-10-12,28
2011-10-13,27
2011-10-14,27
2011-10-15,27
2011-10-16,27
2011-10-17,26
2011-10-18,26
