Date,Univar
2009-12-12,0
2009-12-13,6
2009-12-14,13
2009-12-15,20
2009-12-16,26
2009-12-17,33
2009-12-18,40
2009-12-19,47
2009-12-20,47
2009-12-21,47
2009-12-22,48
2009-12-23,48
2009-12-24,49
2009-12-25,49
2009-12-26,50
2009-12-27,48
2009-12-28,57
2009-12-29,46
2009-12-30,44
2009-12-31,43
2010-01-01,42
2010-01-02,41
2010-01-03,41
2010-01-04,41
2010-01-05,41
2010-01-06,41
2010-01-07,41
2010-01-08,41
2010-01-09,41
2010-01-10,41
2010-01-11,41
2010-01-12,42
2010-01-13,42
2010-01-14,43
2010-01-15,43
2010-01-16,44
2010-01-17,44
2010-01-18,45
2010-01-19,45
2010-01-20,46
2010-01-21,46
2010-01-22,47
2010-01-23,48
2010-01-24,49
2010-01-25,50
2010-01-26,51
2010-01-27,52
2010-01-28,53
2010-01-29,54
2010-01-30,55
2010-01-31,56
2010-02-01,57
2010-02-02,58
2010-02-03,59
2010-02-04,60
2010-02-05,62
2010-02-06,63
2010-02-07,67
2010-02-08,70
2010-02-09,74
2010-02-10,78
2010-02-11,82
2010-02-12,86
2010-02-13,90
2010-02-14,87
2010-02-15,84
2010-02-16,82
2010-02-17,79
2010-02-18,76
2010-02-19,73
2010-02-20,71
2010-02-21,71
2010-02-22,71
2010-02-23,71
2010-02-24,71
2010-02-25,71
2010-02-26,71
2010-02-27,72
2010-02-28,72
2010-03-07,69
2010-03-08,66
2010-03-09,63
2010-03-10,59
2010-03-11,56
2010-03-12,53
2010-03-13,50
2010-03-14,52
2010-03-15,54
2010-03-16,56
2010-03-17,58
2010-03-18,61
2010-03-19,63
2010-03-20,65
2010-03-21,62
2010-03-22,58
2010-03-23,55
2010-03-24,52
2010-03-25,49
2010-03-26,46
2010-03-27,43
2010-03-28,47
2010-03-29,51
2010-03-30,56
2010-03-31,60
2010-04-01,64
2010-04-02,68
2010-04-03,73
2010-04-04,69
2010-04-05,64
2010-04-06,60
2010-04-07,56
2010-04-08,52
2010-04-09,48
2010-04-10,44
2010-04-11,43
2010-04-12,42
2010-04-13,41
2010-04-14,40
2010-04-15,39
2010-04-16,38
2010-04-17,38
2010-04-18,42
2010-04-19,46
2010-04-20,51
2010-04-21,55
2010-04-22,60
2010-04-23,64
2010-04-24,69
2010-04-25,68
2010-04-26,67
