Date,Graham Packaging
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,0
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0
2010-08-08,6
2010-08-09,13
2010-08-10,20
2010-08-11,27
2010-08-12,33
2010-08-13,40
2010-08-14,47
2010-08-15,45
2010-08-16,42
2010-08-17,40
2010-08-18,37
2010-08-19,35
2010-08-20,33
2010-08-21,31
2010-08-22,30
2010-08-23,30
2010-08-24,29
2010-08-25,29
2010-08-26,28
2010-08-27,28
2010-08-28,28
2010-08-29,25
2010-09-05,21
2010-09-06,21
2010-09-07,21
2010-09-08,21
2010-09-09,21
2010-09-10,21
2010-09-11,21
2010-09-12,20
2010-09-13,20
2010-09-14,20
2010-09-15,19
2010-09-16,19
2010-09-17,19
2010-09-18,19
2010-09-19,19
2010-09-20,21
2010-09-21,22
2010-09-22,23
2010-09-23,24
2010-09-24,25
2010-09-25,27
2010-09-26,24
2010-09-27,23
2010-09-28,22
2010-09-29,21
2010-09-30,20
2010-10-01,19
2010-10-02,18
2010-10-03,18
2010-10-04,18
2010-10-05,18
2010-10-06,18
2010-10-07,18
2010-10-08,18
2010-10-09,18
2010-10-10,18
2010-10-11,18
2010-10-12,18
2010-10-13,18
2010-10-14,18
2010-10-15,18
2010-10-16,18
2010-10-17,18
2010-10-18,18
2010-10-19,18
2010-10-20,18
2010-10-21,18
2010-10-22,18
2010-10-23,19
2010-10-24,19
2010-10-25,19
2010-10-26,19
2010-10-27,19
2010-10-28,19
2010-10-29,19
2010-10-30,19
2010-10-31,19
2010-11-01,19
2010-11-02,19
2010-11-03,19
2010-11-04,19
2010-11-05,19
2010-11-06,20
2010-11-07,21
2010-11-08,22
2010-11-09,23
