Date,Spirit Airlines
2010-03-13,20
2010-03-14,19
2010-03-15,19
2010-03-16,19
2010-03-17,18
2010-03-18,18
2010-03-19,18
2010-03-20,18
2010-03-21,18
2010-03-22,18
2010-03-23,18
2010-03-24,19
2010-03-25,19
2010-03-26,19
2010-03-27,20
2010-03-28,19
2010-03-29,18
2010-03-30,17
2010-03-31,17
2010-04-01,16
2010-04-02,15
2010-04-03,15
2010-04-04,15
2010-04-05,16
2010-04-06,17
2010-04-07,18
2010-04-08,19
2010-04-09,20
2010-04-10,21
2010-04-11,20
2010-04-12,20
2010-04-13,19
2010-04-14,19
2010-04-15,18
2010-04-16,18
2010-04-17,18
2010-04-18,18
2010-04-19,18
2010-04-20,18
2010-04-21,18
2010-04-22,18
2010-04-23,18
2010-04-24,19
2010-04-25,18
2010-04-26,17
2010-04-27,17
2010-04-28,16
2010-04-29,16
2010-04-30,15
2010-05-01,15
2010-05-02,15
2010-05-03,16
2010-05-04,16
2010-05-05,17
2010-05-06,18
2010-05-07,18
2010-05-08,19
2010-05-09,18
2010-05-10,18
2010-05-11,18
2010-05-12,17
2010-05-13,17
2010-05-14,17
2010-05-15,17
2010-05-16,16
2010-05-17,15
2010-05-18,15
2010-05-19,14
2010-05-20,14
2010-05-21,13
2010-05-22,13
2010-05-23,14
2010-05-24,15
2010-05-25,16
2010-05-26,18
2010-05-27,19
2010-05-28,20
2010-05-29,22
2010-05-30,21
2010-06-06,23
2010-06-07,28
2010-06-08,33
2010-06-09,38
2010-06-10,43
2010-06-11,48
2010-06-12,53
2010-06-13,59
2010-06-14,67
2010-06-15,74
2010-06-16,81
2010-06-17,89
2010-06-18,96
2010-06-19,104
2010-06-20,95
2010-06-21,81
2010-06-22,72
2010-06-23,62
2010-06-24,52
2010-06-25,43
2010-06-26,33
2010-06-27,31
2010-06-28,29
2010-06-29,27
2010-06-30,25
2010-07-01,23
2010-07-02,22
2010-07-03,20
2010-07-04,19
2010-07-05,18
2010-07-06,17
2010-07-07,16
2010-07-08,15
2010-07-09,14
2010-07-10,14
2010-07-11,14
2010-07-12,15
2010-07-13,16
2010-07-14,17
2010-07-15,18
2010-07-16,19
2010-07-17,20
2010-07-18,19
2010-07-19,19
2010-07-20,19
2010-07-21,19
2010-07-22,19
2010-07-23,19
2010-07-24,19
2010-07-25,18
2010-07-26,18
2010-07-27,18
2010-07-28,17
2010-07-29,17
2010-07-30,17
2010-07-31,17
2010-08-01,17
2010-08-02,17
2010-08-03,17
2010-08-04,17
2010-08-05,17
2010-08-06,17
2010-08-07,17
2010-08-08,17
2010-08-09,18
2010-08-10,19
2010-08-11,20
2010-08-12,21
2010-08-13,22
2010-08-14,23
2010-08-15,21
2010-08-16,20
2010-08-17,19
2010-08-18,18
2010-08-19,17
2010-08-20,16
2010-08-21,15
2010-08-22,15
2010-08-23,15
2010-08-24,16
2010-08-25,16
2010-08-26,17
2010-08-27,17
2010-08-28,18
2010-08-29,17
2010-09-05,16
2010-09-06,16
2010-09-07,15
2010-09-08,15
2010-09-09,14
2010-09-10,14
2010-09-11,14
2010-09-12,13
2010-09-13,13
2010-09-14,13
2010-09-15,13
2010-09-16,13
2010-09-17,13
2010-09-18,13
2010-09-19,14
2010-09-20,15
2010-09-21,16
2010-09-22,17
2010-09-23,18
2010-09-24,19
2010-09-25,20
2010-09-26,19
2010-09-27,19
2010-09-28,19
2010-09-29,18
2010-09-30,18
2010-10-01,18
2010-10-02,18
2010-10-03,18
2010-10-04,18
2010-10-05,18
2010-10-06,18
2010-10-07,18
2010-10-08,18
2010-10-09,18
2010-10-10,17
2010-10-11,17
2010-10-12,17
2010-10-13,16
2010-10-14,16
2010-10-15,16
2010-10-16,16
2010-10-17,16
2010-10-18,17
2010-10-19,17
2010-10-20,18
2010-10-21,18
2010-10-22,19
2010-10-23,20
2010-10-24,20
2010-10-25,20
2010-10-26,20
2010-10-27,20
2010-10-28,20
2010-10-29,21
2010-10-30,21
