Date,Coty Inc
2011-12-10,29
2011-12-11,28
2011-12-12,27
2011-12-13,26
2011-12-14,25
2011-12-15,24
2011-12-16,23
2011-12-17,22
2011-12-18,22
2011-12-19,23
2011-12-20,24
2011-12-21,25
2011-12-22,26
2011-12-23,27
2011-12-24,28
2011-12-25,29
2011-12-26,30
2011-12-27,31
2011-12-28,32
2011-12-29,33
2011-12-30,35
2011-12-31,36
2012-01-01,34
2012-01-02,33
2012-01-03,32
2012-01-04,30
2012-01-05,29
2012-01-06,28
2012-01-07,27
2012-01-08,28
2012-01-09,29
2012-01-10,30
2012-01-11,32
2012-01-12,33
2012-01-13,34
2012-01-14,36
2012-01-15,35
2012-01-16,35
2012-01-17,35
2012-01-18,34
2012-01-19,34
2012-01-20,34
2012-01-21,34
2012-01-22,33
2012-01-23,32
2012-01-24,31
2012-01-25,31
2012-01-26,30
2012-01-27,29
2012-01-28,29
2012-01-29,28
2012-01-30,28
2012-01-31,28
2012-02-01,28
2012-02-02,27
2012-02-03,27
2012-02-04,27
2012-02-05,26
2012-02-06,24
2012-02-07,23
2012-02-08,21
2012-02-09,20
2012-02-10,19
2012-02-11,18
2012-02-12,18
2012-02-13,19
2012-02-14,20
2012-02-15,20
2012-02-16,21
2012-02-17,22
2012-02-18,23
2012-02-19,24
2012-02-20,25
2012-02-21,26
2012-02-22,27
2012-02-23,28
2012-02-24,29
2012-02-25,30
2012-02-26,30
2012-03-04,31
2012-03-05,31
2012-03-06,31
2012-03-07,31
2012-03-08,31
2012-03-09,31
2012-03-10,32
2012-03-11,31
2012-03-12,31
2012-03-13,30
2012-03-14,30
2012-03-15,29
2012-03-16,29
2012-03-17,29
2012-03-18,29
2012-03-19,31
2012-03-20,31
2012-03-21,32
2012-03-22,33
2012-03-23,34
2012-03-24,35
2012-03-25,34
2012-03-26,33
2012-03-27,32
2012-03-28,31
2012-03-29,30
2012-03-30,29
2012-03-31,29
2012-04-01,34
2012-04-02,39
2012-04-03,44
2012-04-04,49
2012-04-05,54
2012-04-06,60
2012-04-07,65
2012-04-08,61
2012-04-09,56
2012-04-10,53
2012-04-11,49
2012-04-12,46
2012-04-13,42
2012-04-14,39
2012-04-15,38
2012-04-16,38
2012-04-17,38
2012-04-18,38
2012-04-19,37
2012-04-20,37
2012-04-21,37
2012-04-22,36
2012-04-23,34
2012-04-24,33
2012-04-25,32
2012-04-26,31
2012-04-27,30
2012-04-28,29
2012-04-29,31
2012-04-30,33
2012-05-01,35
2012-05-02,37
2012-05-03,39
2012-05-04,41
2012-05-05,43
2012-05-06,42
2012-05-07,41
2012-05-08,40
2012-05-09,40
2012-05-10,39
2012-05-11,38
2012-05-12,38
2012-05-13,41
2012-05-14,45
2012-05-15,48
2012-05-16,51
2012-05-17,55
2012-05-18,58
2012-05-19,62
2012-05-20,58
2012-05-21,54
2012-05-22,50
2012-05-23,46
2012-05-24,42
2012-05-25,39
2012-05-26,35
2012-05-27,34
2012-06-03,27
2012-06-04,29
2012-06-05,31
2012-06-06,33
2012-06-07,35
