Date,Angies List
2011-06-01,75
2011-06-02,78
2011-06-03,79
2011-06-04,79
2011-06-05,81
2011-06-06,78
2011-06-07,77
2011-06-08,79
2011-06-09,79
2011-06-10,76
2011-06-11,76
2011-06-12,78
2011-06-13,76
2011-06-14,78
2011-06-15,77
2011-06-16,78
2011-06-17,77
2011-06-18,82
2011-06-19,79
2011-06-20,80
2011-06-21,81
2011-06-22,82
2011-06-23,83
2011-06-24,85
2011-06-25,87
2011-06-26,86
2011-06-27,84
2011-06-28,84
2011-06-29,84
2011-06-30,86
2011-07-01,83
2011-07-02,86
2011-07-03,85
2011-07-04,85
2011-07-05,87
2011-07-06,92
2011-07-07,90
2011-07-08,94
2011-07-09,93
2011-07-10,93
2011-07-11,94
2011-07-12,94
2011-07-13,98
2011-07-14,98
2011-07-15,96
2011-07-16,97
2011-07-17,97
2011-07-18,97
2011-07-19,98
2011-07-20,101
2011-07-21,101
2011-07-22,100
2011-07-23,102
2011-07-24,100
2011-07-25,100
2011-07-26,101
2011-07-27,100
2011-07-28,101
2011-07-29,103
2011-07-30,103
2011-07-31,98
2011-08-01,97
2011-08-02,96
2011-08-03,94
2011-08-04,97
2011-08-05,94
2011-08-06,91
2011-08-07,90
2011-08-08,89
2011-08-09,91
2011-08-10,88
2011-08-11,90
2011-08-12,89
2011-08-13,88
2011-08-14,87
2011-08-15,87
2011-08-16,87
2011-08-17,88
2011-08-18,87
2011-08-19,89
2011-08-20,89
2011-08-21,86
2011-08-22,85
2011-08-23,87
2011-08-24,87
2011-08-25,85
2011-08-26,83
2011-08-27,85
2011-08-28,82
2011-08-29,81
2011-08-30,81
2011-08-31,80
2011-09-01,79
2011-09-02,78
2011-09-03,83
2011-09-04,77
2011-09-05,76
2011-09-06,75
2011-09-07,75
2011-09-08,76
2011-09-09,76
2011-09-10,73
2011-09-11,74
2011-09-12,74
2011-09-13,75
2011-09-14,76
2011-09-15,77
2011-09-16,78
2011-09-17,79
2011-09-18,80
2011-09-19,76
2011-09-20,76
2011-09-21,74
2011-09-22,74
2011-09-23,74
2011-09-24,71
2011-09-25,72
2011-09-26,70
2011-09-27,71
2011-09-28,70
2011-09-29,72
2011-09-30,73
2011-10-01,71
2011-10-02,69
2011-10-03,68
2011-10-04,69
2011-10-05,66
2011-10-06,65
2011-10-07,64
2011-10-08,66
2011-10-09,62
2011-10-10,62
2011-10-11,62
2011-10-12,62
2011-10-13,63
2011-10-14,62
2011-10-15,62
2011-10-16,61
2011-10-17,61
2011-10-18,62
2011-10-19,61
2011-10-20,61
2011-10-21,61
2011-10-22,62
2011-10-23,61
2011-10-24,59
2011-10-25,58
2011-10-26,59
2011-10-27,57
2011-10-28,59
2011-10-29,57
2011-10-30,56
2011-10-31,57
2011-11-01,58
2011-11-02,58
2011-11-03,60
2011-11-04,60
2011-11-05,64
2011-11-06,62
2011-11-07,61
2011-11-08,63
2011-11-09,62
2011-11-10,62
2011-11-11,64
2011-11-12,65
2011-11-13,64
2011-11-14,65
2011-11-15,67
2011-11-16,68
2011-11-17,68
2011-11-18,76
2011-11-19,73
2011-11-20,69
2011-11-21,62
2011-11-22,60
2011-11-23,56
2011-11-24,53
2011-11-25,44
2011-11-26,40
2011-11-27,42
2011-11-28,43
2011-11-29,45
2011-11-30,47
2011-12-01,48
2011-12-02,51
2011-12-03,52
2011-12-04,53
2011-12-05,51
2011-12-06,51
2011-12-07,50
2011-12-08,52
2011-12-09,50
2011-12-10,52
2011-12-11,49
2011-12-12,49
2011-12-13,50
2011-12-14,49
2011-12-15,50
2011-12-16,48
2011-12-17,48
2011-12-18,50
2011-12-19,45
2011-12-20,44
2011-12-21,43
2011-12-22,42
2011-12-23,43
2011-12-24,42
2011-12-25,43
2011-12-26,44
2011-12-27,46
2011-12-28,49
2011-12-29,51
2011-12-30,55
2011-12-31,60
2012-01-01,56
2012-01-02,57
2012-01-03,60
2012-01-04,59
2012-01-05,61
2012-01-06,63
2012-01-07,63
