Date,Agios Pharmaceuticals
2013-11-19,41
2013-11-20,41
2013-11-21,41
2013-11-22,41
2013-11-23,41
2013-11-24,41
2013-11-25,41
2013-11-26,41
2013-11-27,41
2013-11-28,41
2013-11-29,41
2013-11-30,41
2013-12-01,42
2013-12-02,42
2013-12-03,42
2013-12-04,42
2013-12-05,42
2013-12-06,42
2013-12-07,42
2013-12-08,42
2013-12-09,42
2013-12-10,42
2013-12-11,42
2013-12-12,42
2013-12-13,42
2013-12-14,42
2013-12-15,42
2013-12-16,42
2013-12-17,42
2013-12-18,42
2013-12-19,42
2013-12-20,42
2013-12-21,42
2013-12-22,42
2013-12-23,42
2013-12-24,42
2013-12-25,42
2013-12-26,42
2013-12-27,42
2013-12-28,42
2013-12-29,42
2013-12-30,42
2013-12-31,42
2014-01-01,43
2014-01-02,43
2014-01-03,43
2014-01-04,44
2014-01-05,44
2014-01-06,45
2014-01-07,45
2014-01-08,46
2014-01-09,46
2014-01-10,47
2014-01-11,47
2014-01-12,48
2014-01-13,48
2014-01-14,49
2014-01-15,49
2014-01-16,50
2014-01-17,50
2014-01-18,51
2014-01-19,51
2014-01-20,52
2014-01-21,52
2014-01-22,53
2014-01-23,53
2014-01-24,54
2014-01-25,54
2014-01-26,55
2014-01-27,55
2014-01-28,56
2014-01-29,56
2014-01-30,57
2014-01-31,57
2014-02-01,58
