Date,Booz Allen & Hamilton
2009-12-01,92
2009-12-02,91
2009-12-03,91
2009-12-04,91
2009-12-05,91
2009-12-06,91
2009-12-07,91
2009-12-08,91
2009-12-09,90
2009-12-10,90
2009-12-11,90
2009-12-12,90
2009-12-13,90
2009-12-14,90
2009-12-15,90
2009-12-16,90
2009-12-17,89
2009-12-18,89
2009-12-19,89
2009-12-20,89
2009-12-21,89
2009-12-22,89
2009-12-23,89
2009-12-24,89
2009-12-25,88
2009-12-26,88
2009-12-27,88
2009-12-28,88
2009-12-29,88
2009-12-30,88
2009-12-31,88
2010-01-01,88
2010-01-02,88
2010-01-03,88
2010-01-04,89
2010-01-05,89
2010-01-06,89
2010-01-07,90
2010-01-08,90
2010-01-09,91
2010-01-10,91
2010-01-11,91
2010-01-12,92
2010-01-13,92
2010-01-14,93
2010-01-15,93
2010-01-16,93
2010-01-17,94
2010-01-18,94
2010-01-19,94
2010-01-20,95
2010-01-21,95
2010-01-22,96
2010-01-23,96
2010-01-24,96
2010-01-25,97
2010-01-26,97
2010-01-27,98
2010-01-28,98
2010-01-29,98
2010-01-30,99
2010-01-31,99
2010-02-01,100
2010-02-02,99
2010-02-03,98
2010-02-04,97
2010-02-05,96
2010-02-06,95
2010-02-07,94
2010-02-08,93
2010-02-09,92
2010-02-10,91
2010-02-11,91
2010-02-12,90
2010-02-13,89
2010-02-14,88
2010-02-15,87
2010-02-16,86
2010-02-17,85
2010-02-18,84
2010-02-19,83
2010-02-20,83
2010-02-21,82
2010-02-22,81
2010-02-23,80
2010-02-24,79
2010-02-25,78
2010-02-26,77
2010-02-27,76
2010-02-28,75
2010-03-01,75
2010-03-02,75
2010-03-03,75
2010-03-04,76
2010-03-05,76
2010-03-06,77
2010-03-07,77
2010-03-08,77
2010-03-09,78
2010-03-10,78
2010-03-11,79
2010-03-12,79
2010-03-13,80
2010-03-14,80
2010-03-15,80
2010-03-16,81
2010-03-17,81
2010-03-18,82
2010-03-19,82
2010-03-20,82
2010-03-21,83
2010-03-22,83
2010-03-23,84
2010-03-24,84
2010-03-25,85
2010-03-26,85
2010-03-27,85
2010-03-28,86
2010-03-29,86
2010-03-30,87
2010-03-31,87
2010-04-01,88
2010-04-02,87
2010-04-03,87
2010-04-04,87
2010-04-05,87
2010-04-06,87
2010-04-07,87
2010-04-08,87
2010-04-09,87
2010-04-10,87
2010-04-11,87
2010-04-12,87
2010-04-13,87
2010-04-14,87
2010-04-15,87
2010-04-16,87
2010-04-17,87
2010-04-18,87
2010-04-19,87
2010-04-20,87
2010-04-21,87
2010-04-22,87
2010-04-23,87
2010-04-24,87
2010-04-25,87
2010-04-26,87
2010-04-27,87
2010-04-28,87
2010-04-29,87
2010-04-30,87
2010-05-01,87
2010-05-02,86
2010-05-03,86
2010-05-04,86
2010-05-05,85
2010-05-06,85
2010-05-07,85
2010-05-08,85
2010-05-09,84
2010-05-10,84
2010-05-11,84
2010-05-12,84
2010-05-13,83
2010-05-14,83
2010-05-15,83
2010-05-16,83
2010-05-17,82
2010-05-18,82
2010-05-19,82
2010-05-20,82
2010-05-21,81
2010-05-22,81
2010-05-23,81
2010-05-24,81
2010-05-25,80
2010-05-26,80
2010-05-27,80
2010-05-28,80
2010-05-29,79
2010-05-30,79
2010-05-31,79
2010-06-01,79
2010-06-02,78
2010-06-03,78
2010-06-04,78
2010-06-05,77
2010-06-06,77
2010-06-07,77
