Date,EVERTEC
2013-07-25,31
2013-07-26,31
2013-07-27,32
2013-07-28,32
2013-08-04,32
2013-08-05,39
2013-08-06,30
2013-08-07,29
2013-08-08,28
2013-08-09,27
2013-08-10,26
2013-08-11,26
2013-08-12,26
2013-08-13,26
2013-08-14,27
2013-08-15,27
2013-08-16,27
2013-08-17,28
2013-08-18,28
2013-08-19,28
2013-08-20,28
2013-08-21,29
2013-08-22,29
2013-08-23,29
2013-08-24,30
2013-08-25,30
2013-08-26,30
2013-08-27,31
2013-08-28,31
2013-08-29,32
2013-08-30,32
2013-08-31,33
2013-09-01,33
2013-09-02,33
2013-09-03,33
2013-09-04,34
2013-09-05,34
2013-09-06,34
2013-09-07,35
2013-09-08,35
2013-09-09,35
2013-09-10,36
2013-09-11,36
2013-09-12,36
2013-09-13,36
2013-09-14,37
2013-09-15,37
2013-09-16,37
2013-09-17,37
2013-09-18,37
2013-09-19,37
2013-09-20,37
2013-09-21,37
2013-09-22,37
2013-09-23,37
2013-09-24,37
2013-09-25,37
2013-09-26,37
2013-09-27,37
2013-09-28,37
2013-09-29,37
2013-09-30,38
2013-10-01,38
2013-10-02,38
2013-10-03,38
2013-10-04,39
2013-10-05,41
2013-10-06,35
2013-10-07,33
2013-10-08,31
2013-10-09,29
2013-10-10,27
2013-10-11,25
2013-10-12,24
2013-10-13,24
2013-10-14,24
2013-10-15,24
2013-10-16,24
2013-10-17,24
2013-10-18,24
2013-10-19,24
2013-10-20,24
2013-10-21,24
2013-10-22,24
2013-10-23,24
2013-10-24,24
2013-10-25,24
2013-10-26,24
2013-10-27,24
2013-11-03,25
2013-11-04,32
2013-11-05,25
2013-11-06,26
2013-11-07,26
2013-11-08,26
2013-11-09,27
2013-11-10,27
2013-11-11,27
2013-11-12,27
2013-11-13,28
2013-11-14,28
2013-11-15,28
2013-11-16,29
2013-11-17,29
2013-11-18,29
2013-11-19,29
2013-11-20,29
2013-11-21,29
2013-11-22,29
2013-11-23,30
2013-11-24,29
2013-11-25,29
2013-11-26,29
2013-11-27,29
2013-11-28,29
2013-11-29,29
2013-11-30,29
2013-12-01,29
2013-12-02,29
2013-12-03,29
2013-12-04,29
2013-12-05,29
2013-12-06,29
2013-12-07,29
2013-12-08,29
2013-12-09,29
2013-12-10,29
2013-12-11,29
2013-12-12,29
2013-12-13,29
2013-12-14,29
2013-12-15,29
2013-12-16,29
2013-12-17,29
2013-12-18,29
2013-12-19,29
