Date,Zogenix
2013-08-12,0
2013-08-13,0
2013-08-14,0
2013-08-15,0
2013-08-16,0
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-08-31,0
2013-09-01,3
2013-09-02,6
2013-09-03,9
2013-09-04,12
2013-09-05,15
2013-09-06,18
2013-09-07,22
2013-09-08,21
2013-09-09,21
2013-09-10,21
2013-09-11,20
2013-09-12,20
2013-09-13,20
2013-09-14,20
2013-09-15,21
2013-09-16,22
2013-09-17,23
2013-09-18,24
2013-09-19,25
2013-09-20,26
2013-09-21,27
2013-09-22,26
2013-09-23,25
2013-09-24,24
2013-09-25,24
2013-09-26,23
2013-09-27,22
2013-09-28,22
2013-09-29,23
2013-09-30,25
2013-10-06,33
2013-10-07,32
2013-10-08,31
2013-10-09,31
2013-10-10,30
2013-10-11,29
2013-10-12,29
2013-10-13,30
2013-10-14,31
2013-10-15,33
2013-10-16,34
2013-10-17,36
2013-10-18,37
2013-10-19,39
2013-10-20,40
2013-10-21,42
2013-10-22,43
2013-10-23,45
2013-10-24,46
2013-10-25,48
2013-10-26,50
2013-10-27,56
2013-10-28,64
2013-10-29,71
2013-10-30,78
2013-10-31,85
2013-11-01,92
2013-11-02,100
2013-11-03,92
2013-11-04,83
2013-11-05,75
2013-11-06,68
2013-11-07,60
2013-11-08,53
2013-11-09,46
2013-11-10,46
2013-11-11,47
2013-11-12,48
2013-11-13,48
2013-11-14,49
2013-11-15,49
2013-11-16,50
2013-11-17,47
2013-11-18,44
2013-11-19,41
2013-11-20,38
2013-11-21,36
2013-11-22,33
2013-11-23,30
2013-11-24,29
2013-11-25,29
2013-11-26,28
2013-11-27,28
2013-11-28,27
2013-11-29,27
2013-11-30,27
2013-12-01,27
2013-12-02,28
2013-12-03,29
2013-12-04,30
2013-12-05,31
2013-12-06,32
2013-12-07,33
2013-12-08,35
2013-12-09,37
2013-12-10,39
2013-12-11,41
2013-12-12,43
2013-12-13,45
2013-12-14,48
2013-12-15,48
2013-12-16,48
2013-12-17,48
2013-12-18,49
2013-12-19,49
2013-12-20,49
2013-12-21,49
2013-12-22,45
2013-12-23,41
2013-12-24,37
2013-12-25,33
2013-12-26,29
2013-12-27,25
2013-12-28,22
2013-12-29,24
2014-01-05,36
2014-01-06,36
2014-01-07,36
2014-01-08,36
2014-01-09,36
2014-01-10,36
2014-01-11,36
2014-01-12,36
2014-01-13,37
2014-01-14,38
2014-01-15,39
2014-01-16,40
2014-01-17,40
2014-01-18,41
2014-01-19,39
2014-01-20,36
2014-01-21,33
2014-01-22,31
2014-01-23,28
2014-01-24,26
2014-01-25,24
2014-01-26,24
2014-01-27,25
2014-01-28,26
2014-01-29,27
2014-01-30,28
2014-01-31,29
2014-02-01,30
2014-02-02,29
2014-02-03,28
2014-02-04,27
2014-02-05,27
2014-02-06,26
2014-02-07,25
2014-02-08,25
2014-02-09,28
2014-02-10,31
2014-02-11,34
2014-02-12,37
2014-02-13,40
2014-02-14,44
2014-02-15,47
2014-02-16,45
2014-02-17,43
2014-02-18,41
2014-02-19,39
2014-02-20,37
2014-02-21,35
2014-02-22,33
2014-02-23,42
2014-02-24,52
2014-02-25,62
2014-02-26,71
2014-02-27,81
2014-02-28,91
2014-03-01,101
