Date,Vantiv
2011-05-01,69
2011-05-02,70
2011-05-03,71
2011-05-04,72
2011-05-05,73
2011-05-06,74
2011-05-07,75
2011-05-08,76
2011-05-09,77
2011-05-10,78
2011-05-11,79
2011-05-12,80
2011-05-13,81
2011-05-14,82
2011-05-15,83
2011-05-16,84
2011-05-17,85
2011-05-18,86
2011-05-19,87
2011-05-20,88
2011-05-21,89
2011-05-22,90
2011-05-23,91
2011-05-24,92
2011-05-25,93
2011-05-26,94
2011-05-27,95
2011-05-28,96
2011-05-29,97
2011-05-30,98
2011-05-31,99
2011-06-01,100
2011-06-02,98
2011-06-03,96
2011-06-04,95
2011-06-05,93
2011-06-06,91
2011-06-07,90
2011-06-08,88
2011-06-09,86
2011-06-10,85
2011-06-11,83
2011-06-12,82
2011-06-13,80
2011-06-14,78
2011-06-15,77
2011-06-16,75
2011-06-17,73
2011-06-18,72
2011-06-19,70
2011-06-20,68
2011-06-21,67
2011-06-22,65
2011-06-23,64
2011-06-24,62
2011-06-25,60
2011-06-26,59
2011-06-27,57
2011-06-28,55
2011-06-29,54
2011-06-30,52
2011-07-01,51
2011-07-02,51
2011-07-03,51
2011-07-04,52
2011-07-05,52
2011-07-06,52
2011-07-07,53
2011-07-08,53
2011-07-09,54
2011-07-10,54
2011-07-11,54
2011-07-12,55
2011-07-13,55
2011-07-14,56
2011-07-15,56
2011-07-16,56
2011-07-17,57
2011-07-18,57
2011-07-19,57
2011-07-20,58
2011-07-21,58
2011-07-22,59
2011-07-23,59
2011-07-24,59
2011-07-25,60
2011-07-26,60
2011-07-27,61
2011-07-28,61
2011-07-29,61
2011-07-30,62
2011-07-31,62
2011-08-01,63
2011-08-02,62
2011-08-03,61
2011-08-04,60
2011-08-05,59
2011-08-06,58
2011-08-07,57
2011-08-08,56
2011-08-09,55
2011-08-10,54
2011-08-11,53
2011-08-12,52
2011-08-13,51
2011-08-14,50
2011-08-15,49
2011-08-16,48
2011-08-17,47
2011-08-18,46
2011-08-19,45
2011-08-20,44
2011-08-21,43
2011-08-22,42
2011-08-23,41
2011-08-24,40
2011-08-25,39
2011-08-26,38
2011-08-27,37
2011-08-28,36
2011-08-29,35
2011-08-30,34
2011-08-31,33
2011-09-01,33
2011-09-02,33
2011-09-03,33
2011-09-04,33
2011-09-05,33
2011-09-06,33
2011-09-07,33
2011-09-08,33
2011-09-09,33
2011-09-10,33
2011-09-11,33
2011-09-12,33
2011-09-13,33
2011-09-14,33
2011-09-15,33
2011-09-16,33
2011-09-17,33
2011-09-18,33
2011-09-19,33
2011-09-20,33
2011-09-21,33
2011-09-22,33
2011-09-23,33
2011-09-24,33
2011-09-25,33
2011-09-26,33
2011-09-27,33
2011-09-28,33
2011-09-29,33
2011-09-30,33
2011-10-01,33
2011-10-02,33
2011-10-03,34
2011-10-04,35
2011-10-05,36
2011-10-06,37
2011-10-07,38
2011-10-08,39
2011-10-09,40
2011-10-10,41
2011-10-11,42
2011-10-12,43
2011-10-13,44
2011-10-14,45
2011-10-15,46
2011-10-16,47
2011-10-17,47
2011-10-18,48
2011-10-19,49
2011-10-20,50
2011-10-21,51
2011-10-22,52
2011-10-23,53
2011-10-24,54
2011-10-25,55
2011-10-26,56
2011-10-27,57
2011-10-28,58
2011-10-29,59
2011-10-30,60
2011-10-31,61
2011-11-01,62
2011-11-02,61
2011-11-03,60
2011-11-04,59
2011-11-05,58
2011-11-06,58
2011-11-07,57
2011-11-08,56
2011-11-09,55
2011-11-10,54
2011-11-11,54
2011-11-12,53
2011-11-13,52
2011-11-14,51
2011-11-15,50
2011-11-16,50
2011-11-17,49
2011-11-18,48
2011-11-19,47
2011-11-20,46
2011-11-21,46
2011-11-22,45
2011-11-23,44
2011-11-24,43
2011-11-25,42
2011-11-26,42
2011-11-27,41
2011-11-28,40
2011-11-29,39
2011-11-30,38
2011-12-01,38
2011-12-02,37
2011-12-03,37
2011-12-04,37
2011-12-05,37
2011-12-06,36
2011-12-07,36
2011-12-08,36
2011-12-09,36
2011-12-10,35
2011-12-11,35
2011-12-12,35
2011-12-13,35
2011-12-14,35
2011-12-15,34
2011-12-16,34
2011-12-17,34
2011-12-18,34
2011-12-19,33
2011-12-20,33
2011-12-21,33
