Date,Bright Horizons Family
2012-04-01,38
2012-04-02,38
2012-04-03,38
2012-04-04,38
2012-04-05,38
2012-04-06,38
2012-04-07,38
2012-04-08,38
2012-04-09,39
2012-04-10,39
2012-04-11,39
2012-04-12,39
2012-04-13,39
2012-04-14,39
2012-04-15,39
2012-04-16,40
2012-04-17,40
2012-04-18,40
2012-04-19,40
2012-04-20,40
2012-04-21,40
2012-04-22,40
2012-04-23,40
2012-04-24,41
2012-04-25,41
2012-04-26,41
2012-04-27,41
2012-04-28,41
2012-04-29,41
2012-04-30,41
2012-05-01,42
2012-05-02,43
2012-05-03,44
2012-05-04,45
2012-05-05,47
2012-05-06,48
2012-05-07,49
2012-05-08,51
2012-05-09,52
2012-05-10,53
2012-05-11,55
2012-05-12,56
2012-05-13,57
2012-05-14,59
2012-05-15,60
2012-05-16,61
2012-05-17,63
2012-05-18,64
2012-05-19,65
2012-05-20,67
2012-05-21,68
2012-05-22,69
2012-05-23,71
2012-05-24,72
2012-05-25,73
2012-05-26,75
2012-05-27,76
2012-05-28,77
2012-05-29,79
2012-05-30,80
2012-05-31,81
2012-06-01,83
2012-06-02,82
2012-06-03,82
2012-06-04,81
2012-06-05,81
2012-06-06,80
2012-06-07,80
2012-06-08,79
2012-06-09,79
2012-06-10,78
2012-06-11,78
2012-06-12,77
2012-06-13,77
2012-06-14,76
2012-06-15,76
2012-06-16,75
2012-06-17,75
2012-06-18,74
2012-06-19,74
2012-06-20,73
2012-06-21,73
2012-06-22,72
2012-06-23,72
2012-06-24,71
2012-06-25,71
2012-06-26,70
2012-06-27,70
2012-06-28,69
2012-06-29,69
2012-06-30,68
2012-07-01,68
2012-07-02,68
2012-07-03,69
2012-07-04,70
2012-07-05,71
2012-07-06,72
2012-07-07,73
2012-07-08,74
2012-07-09,75
2012-07-10,76
2012-07-11,77
2012-07-12,78
2012-07-13,79
2012-07-14,80
2012-07-15,81
2012-07-16,82
2012-07-17,82
2012-07-18,83
2012-07-19,84
2012-07-20,85
2012-07-21,86
2012-07-22,87
2012-07-23,88
2012-07-24,89
2012-07-25,90
2012-07-26,91
2012-07-27,92
2012-07-28,93
2012-07-29,94
2012-07-30,95
2012-07-31,96
2012-08-01,97
2012-08-02,96
2012-08-03,95
2012-08-04,94
2012-08-05,94
2012-08-06,93
2012-08-07,92
2012-08-08,92
2012-08-09,91
2012-08-10,90
2012-08-11,89
2012-08-12,89
2012-08-13,88
2012-08-14,87
2012-08-15,87
2012-08-16,86
2012-08-17,85
