Date,Service Team
2011-05-07,79
2011-05-08,76
2011-05-09,74
2011-05-10,71
2011-05-11,69
2011-05-12,67
2011-05-13,64
2011-05-14,62
2011-05-15,62
2011-05-16,62
2011-05-17,62
2011-05-18,63
2011-05-19,63
2011-05-20,63
2011-05-21,64
2011-05-22,63
2011-05-23,62
2011-05-24,61
2011-05-25,60
2011-05-26,59
2011-05-27,58
2011-05-28,58
2011-05-29,58
2011-05-30,58
2011-05-31,58
2011-06-01,58
2011-06-02,58
2011-06-03,58
2011-06-04,59
2011-06-05,61
2011-06-06,64
2011-06-07,67
2011-06-08,69
2011-06-09,72
2011-06-10,75
2011-06-11,77
2011-06-12,75
2011-06-13,72
2011-06-14,70
2011-06-15,67
2011-06-16,65
2011-06-17,63
2011-06-18,61
2011-06-19,61
2011-06-20,61
2011-06-21,62
2011-06-22,62
2011-06-23,63
2011-06-24,63
2011-06-25,64
2011-06-26,66
2011-06-27,68
2011-06-28,71
2011-06-29,73
2011-06-30,76
2011-07-01,78
2011-07-02,81
2011-07-03,78
2011-07-04,77
2011-07-05,74
2011-07-06,72
2011-07-07,70
2011-07-08,68
2011-07-09,65
2011-07-10,64
2011-07-11,61
2011-07-12,60
2011-07-13,58
2011-07-14,57
2011-07-15,55
2011-07-16,54
2011-07-17,57
2011-07-18,60
2011-07-19,63
2011-07-20,67
2011-07-21,70
2011-07-22,73
2011-07-23,76
2011-07-24,73
2011-07-25,69
2011-07-26,66
2011-07-27,62
2011-07-28,59
2011-07-29,56
2011-07-30,53
2011-07-31,55
2011-08-07,73
2011-08-08,73
2011-08-09,73
2011-08-10,74
2011-08-11,74
2011-08-12,74
2011-08-13,75
2011-08-14,75
2011-08-15,75
2011-08-16,75
2011-08-17,75
2011-08-18,75
2011-08-19,75
2011-08-20,75
2011-08-21,77
2011-08-22,81
2011-08-23,84
2011-08-24,87
2011-08-25,90
2011-08-26,93
2011-08-27,96
2011-08-28,91
2011-08-29,84
2011-08-30,79
2011-08-31,75
2011-09-01,70
2011-09-02,65
2011-09-03,61
2011-09-04,61
2011-09-05,62
2011-09-06,62
2011-09-07,63
2011-09-08,63
2011-09-09,64
2011-09-10,65
2011-09-11,68
2011-09-12,72
2011-09-13,75
2011-09-14,78
2011-09-15,81
2011-09-16,84
2011-09-17,88
2011-09-18,85
2011-09-19,80
2011-09-20,77
2011-09-21,74
2011-09-22,71
2011-09-23,68
2011-09-24,65
2011-09-25,67
2011-09-26,69
2011-09-27,71
2011-09-28,73
2011-09-29,75
2011-09-30,77
2011-10-01,79
2011-10-02,75
2011-10-03,70
2011-10-04,65
2011-10-05,61
2011-10-06,56
2011-10-07,52
2011-10-08,48
2011-10-09,51
2011-10-10,54
2011-10-11,57
2011-10-12,60
2011-10-13,63
2011-10-14,66
2011-10-15,70
2011-10-16,73
2011-10-17,77
2011-10-18,80
2011-10-19,84
2011-10-20,87
2011-10-21,91
2011-10-22,94
2011-10-23,89
2011-10-24,83
2011-10-25,77
2011-10-26,72
2011-10-27,66
2011-10-28,61
2011-10-29,55
2011-10-30,54
2011-11-06,51
2011-11-07,54
2011-11-08,57
2011-11-09,60
2011-11-10,63
2011-11-11,66
