Date,AutoTrader
2011-12-10,86
2011-12-11,79
2011-12-12,79
2011-12-13,77
2011-12-14,76
2011-12-15,75
2011-12-16,74
2011-12-17,73
2011-12-18,73
2011-12-19,74
2011-12-20,74
2011-12-21,77
2011-12-22,74
2011-12-23,75
2011-12-24,75
2011-12-25,79
2011-12-26,77
2011-12-27,78
2011-12-28,79
2011-12-29,80
2011-12-30,82
2011-12-31,85
2012-01-01,82
2012-01-02,87
2012-01-03,84
2012-01-04,84
2012-01-05,88
2012-01-06,89
2012-01-07,87
2012-01-08,90
2012-01-09,89
2012-01-10,89
2012-01-11,91
2012-01-12,92
2012-01-13,91
2012-01-14,92
2012-01-15,93
2012-01-16,95
2012-01-17,90
2012-01-18,94
2012-01-19,89
2012-01-20,89
2012-01-21,91
2012-01-22,90
2012-01-23,95
2012-01-24,92
2012-01-25,96
2012-01-26,94
2012-01-27,95
2012-01-28,100
2012-01-29,94
2012-01-30,94
2012-01-31,93
2012-02-01,89
2012-02-02,88
2012-02-03,85
2012-02-04,85
2012-02-05,85
2012-02-06,88
2012-02-07,88
2012-02-08,93
2012-02-09,91
2012-02-10,95
2012-02-11,95
2012-02-12,94
2012-02-13,94
2012-02-14,92
2012-02-15,91
2012-02-16,92
2012-02-17,96
2012-02-18,89
2012-02-19,89
2012-02-20,89
2012-02-21,89
2012-02-22,93
2012-02-23,89
2012-02-24,89
2012-02-25,93
2012-02-26,92
2012-02-27,92
2012-02-28,97
2012-02-29,97
2012-03-01,97
2012-03-02,99
2012-03-03,100
2012-03-04,98
2012-03-05,99
2012-03-06,94
2012-03-07,95
2012-03-08,90
2012-03-09,88
2012-03-10,86
2012-03-11,86
2012-03-12,91
2012-03-13,88
2012-03-14,88
2012-03-15,94
2012-03-16,90
2012-03-17,91
2012-03-18,89
2012-03-19,93
2012-03-20,86
2012-03-21,84
2012-03-22,86
2012-03-23,81
2012-03-24,80
2012-03-25,81
2012-03-26,82
2012-03-27,83
2012-03-28,85
2012-03-29,88
2012-03-30,86
2012-03-31,90
2012-04-01,87
2012-04-02,88
2012-04-03,87
2012-04-04,91
2012-04-05,86
2012-04-06,86
2012-04-07,88
2012-04-08,85
2012-04-09,85
2012-04-10,86
2012-04-11,87
2012-04-12,83
2012-04-13,84
2012-04-14,84
2012-04-15,82
2012-04-16,86
2012-04-17,83
2012-04-18,83
2012-04-19,81
2012-04-20,81
2012-04-21,82
2012-04-22,81
2012-04-23,85
2012-04-24,84
2012-04-25,83
2012-04-26,84
2012-04-27,86
2012-04-28,94
2012-04-29,85
2012-04-30,87
2012-05-01,84
2012-05-02,88
2012-05-03,83
2012-05-04,83
2012-05-05,85
2012-05-06,82
2012-05-07,82
2012-05-08,86
2012-05-09,82
2012-05-10,82
2012-05-11,85
2012-05-12,82
2012-05-13,83
2012-05-14,86
2012-05-15,82
2012-05-16,87
2012-05-17,83
2012-05-18,88
2012-05-19,84
2012-05-20,83
2012-05-21,83
2012-05-22,83
2012-05-23,84
2012-05-24,84
2012-05-25,83
2012-05-26,84
2012-05-27,83
2012-05-28,83
2012-05-29,84
2012-05-30,83
2012-05-31,84
2012-06-01,83
2012-06-02,84
2012-06-03,85
2012-06-04,83
2012-06-05,82
2012-06-06,84
2012-06-07,82
2012-06-08,81
2012-06-09,81
2012-06-10,81
2012-06-11,81
2012-06-12,81
2012-06-13,83
2012-06-14,81
2012-06-15,85
2012-06-16,82
2012-06-17,83
2012-06-18,88
2012-06-19,86
2012-06-20,86
2012-06-21,89
2012-06-22,88
2012-06-23,92
2012-06-24,88
2012-06-25,88
