Date,Jones Energy
2013-12-21,29
2013-12-22,27
2013-12-23,24
2013-12-24,22
2013-12-25,20
2013-12-26,18
2013-12-27,16
2013-12-28,14
2013-12-29,14
2013-12-30,14
2013-12-31,14
2014-01-01,15
2014-01-02,15
2014-01-03,15
2014-01-04,16
2014-01-05,17
2014-01-06,18
2014-01-07,19
2014-01-08,21
2014-01-09,22
2014-01-10,23
2014-01-11,25
2014-01-12,25
2014-01-13,25
2014-01-14,25
2014-01-15,25
2014-01-16,26
2014-01-17,26
2014-01-18,26
2014-01-19,26
2014-01-20,25
2014-01-21,25
2014-01-22,24
2014-01-23,24
2014-01-24,24
2014-01-25,24
2014-01-26,26
2014-02-02,38
2014-02-03,37
2014-02-04,36
2014-02-05,35
2014-02-06,34
2014-02-07,33
2014-02-08,32
2014-02-09,33
2014-02-10,34
2014-02-11,35
2014-02-12,37
2014-02-13,38
2014-02-14,39
2014-02-15,40
2014-02-16,38
2014-02-17,35
2014-02-18,33
2014-02-19,31
2014-02-20,29
2014-02-21,27
2014-02-22,25
2014-02-23,25
2014-02-24,25
2014-02-25,25
2014-02-26,25
2014-02-27,25
2014-02-28,25
2014-03-01,25
