Date,Ironplanet
2009-09-12,40
2009-09-13,38
2009-09-14,36
2009-09-15,34
2009-09-16,33
2009-09-17,31
2009-09-18,29
2009-09-19,28
2009-09-20,30
2009-09-21,32
2009-09-22,35
2009-09-23,37
2009-09-24,40
2009-09-25,42
2009-09-26,45
2009-09-27,45
2009-09-28,46
2009-09-29,47
2009-09-30,48
2009-10-01,48
2009-10-02,49
2009-10-03,50
2009-10-04,50
2009-10-05,50
2009-10-06,50
2009-10-07,50
2009-10-08,50
2009-10-09,50
2009-10-10,50
2009-10-11,51
2009-10-12,53
2009-10-13,55
2009-10-14,56
2009-10-15,58
2009-10-16,60
2009-10-17,62
2009-10-18,60
2009-10-19,58
2009-10-20,56
2009-10-21,54
2009-10-22,52
2009-10-23,50
2009-10-24,49
2009-10-25,48
2009-10-26,48
2009-10-27,47
2009-10-28,47
2009-10-29,46
2009-10-30,46
2009-10-31,46
2009-11-01,47
2009-11-02,48
2009-11-03,49
2009-11-04,50
2009-11-05,51
2009-11-06,52
2009-11-07,53
2009-11-08,53
2009-11-09,55
2009-11-10,56
2009-11-11,57
2009-11-12,58
2009-11-13,59
2009-11-14,60
2009-11-15,56
2009-11-16,51
2009-11-17,48
2009-11-18,44
2009-11-19,41
2009-11-20,37
2009-11-21,34
2009-11-22,37
2009-11-23,41
2009-11-24,44
2009-11-25,48
2009-11-26,51
2009-11-27,55
2009-11-28,58
2009-11-29,56
2009-12-06,43
2009-12-07,42
2009-12-08,41
2009-12-09,40
2009-12-10,39
2009-12-11,38
2009-12-12,37
2009-12-13,41
2009-12-14,45
2009-12-15,49
2009-12-16,53
2009-12-17,58
2009-12-18,62
2009-12-19,66
2009-12-20,64
2009-12-21,62
2009-12-22,61
2009-12-23,59
2009-12-24,57
2009-12-25,56
2009-12-26,54
2009-12-27,53
2009-12-28,53
2009-12-29,52
2009-12-30,52
2009-12-31,51
2010-01-01,51
2010-01-02,51
2010-01-03,51
2010-01-04,51
2010-01-05,51
2010-01-06,52
2010-01-07,52
2010-01-08,52
2010-01-09,53
2010-01-10,54
2010-01-11,55
2010-01-12,56
2010-01-13,57
2010-01-14,58
2010-01-15,59
2010-01-16,60
2010-01-17,59
2010-01-18,58
2010-01-19,57
2010-01-20,56
2010-01-21,55
2010-01-22,54
2010-01-23,53
2010-01-24,57
2010-01-25,63
2010-01-26,67
2010-01-27,72
2010-01-28,77
2010-01-29,82
2010-01-30,87
2010-01-31,83
2010-02-01,78
2010-02-02,74
2010-02-03,71
2010-02-04,67
2010-02-05,63
2010-02-06,60
2010-02-07,58
2010-02-08,58
2010-02-09,56
2010-02-10,55
2010-02-11,54
2010-02-12,53
2010-02-13,52
2010-02-14,53
2010-02-15,54
2010-02-16,55
2010-02-17,57
2010-02-18,58
2010-02-19,59
2010-02-20,61
2010-02-21,63
2010-02-22,66
2010-02-23,68
2010-02-24,71
2010-02-25,73
2010-02-26,75
2010-02-27,78
2010-02-28,76
2010-03-07,63
2010-03-08,64
2010-03-09,65
2010-03-10,66
2010-03-11,67
2010-03-12,68
2010-03-13,69
2010-03-14,67
2010-03-15,65
2010-03-16,63
2010-03-17,61
2010-03-18,59
2010-03-19,57
2010-03-20,55
2010-03-21,57
2010-03-22,60
2010-03-23,62
2010-03-24,64
2010-03-25,67
2010-03-26,69
2010-03-27,71
2010-03-28,70
2010-03-29,67
2010-03-30,65
2010-03-31,64
2010-04-01,62
2010-04-02,60
2010-04-03,59
2010-04-04,60
2010-04-05,61
2010-04-06,62
2010-04-07,64
2010-04-08,65
2010-04-09,66
2010-04-10,68
2010-04-11,71
2010-04-12,74
2010-04-13,77
2010-04-14,80
2010-04-15,83
2010-04-16,86
2010-04-17,89
2010-04-18,87
2010-04-19,85
2010-04-20,84
2010-04-21,82
2010-04-22,80
2010-04-23,79
2010-04-24,77
2010-04-25,75
2010-04-26,72
2010-04-27,70
2010-04-28,68
2010-04-29,66
2010-04-30,64
2010-05-01,62
2010-05-02,62
2010-05-03,63
2010-05-04,63
2010-05-05,64
2010-05-06,64
2010-05-07,65
2010-05-08,66
2010-05-09,65
2010-05-10,64
2010-05-11,63
2010-05-12,63
2010-05-13,62
2010-05-14,61
2010-05-15,61
2010-05-16,63
2010-05-17,66
