Date,AuthenTec
2006-09-01,90
2006-09-02,89
2006-09-03,88
2006-09-04,87
2006-09-05,86
2006-09-06,85
2006-09-07,85
2006-09-08,84
2006-09-09,83
2006-09-10,82
2006-09-11,81
2006-09-12,80
2006-09-13,80
2006-09-14,79
2006-09-15,78
2006-09-16,77
2006-09-17,76
2006-09-18,75
2006-09-19,75
2006-09-20,74
2006-09-21,73
2006-09-22,72
2006-09-23,71
2006-09-24,70
2006-09-25,70
2006-09-26,69
2006-09-27,68
2006-09-28,67
2006-09-29,66
2006-09-30,65
2006-10-01,65
2006-10-02,64
2006-10-03,64
2006-10-04,64
2006-10-05,64
2006-10-06,64
2006-10-07,64
2006-10-08,64
2006-10-09,64
2006-10-10,64
2006-10-11,64
2006-10-12,64
2006-10-13,64
2006-10-14,64
2006-10-15,64
2006-10-16,64
2006-10-17,63
2006-10-18,63
2006-10-19,63
2006-10-20,63
2006-10-21,63
2006-10-22,63
2006-10-23,63
2006-10-24,63
2006-10-25,63
2006-10-26,63
2006-10-27,63
2006-10-28,63
2006-10-29,63
2006-10-30,63
2006-10-31,63
2006-11-01,63
2006-11-02,63
2006-11-03,63
2006-11-04,63
2006-11-05,63
2006-11-06,63
2006-11-07,63
2006-11-08,63
2006-11-09,64
2006-11-10,64
2006-11-11,64
2006-11-12,64
2006-11-13,64
2006-11-14,64
2006-11-15,64
2006-11-16,65
2006-11-17,65
2006-11-18,65
2006-11-19,65
2006-11-20,65
2006-11-21,65
2006-11-22,65
2006-11-23,65
2006-11-24,66
2006-11-25,66
2006-11-26,66
2006-11-27,66
2006-11-28,66
2006-11-29,66
2006-11-30,66
2006-12-01,67
2006-12-02,67
2006-12-03,67
2006-12-04,67
2006-12-05,67
2006-12-06,67
2006-12-07,67
2006-12-08,67
2006-12-09,68
2006-12-10,68
2006-12-11,68
2006-12-12,68
2006-12-13,68
2006-12-14,68
2006-12-15,68
2006-12-16,68
2006-12-17,69
2006-12-18,69
2006-12-19,69
2006-12-20,69
2006-12-21,69
2006-12-22,69
2006-12-23,69
2006-12-24,69
2006-12-25,70
2006-12-26,70
2006-12-27,70
2006-12-28,70
2006-12-29,70
2006-12-30,70
2006-12-31,70
2007-01-01,71
2007-01-02,70
2007-01-03,70
2007-01-04,70
2007-01-05,70
2007-01-06,69
