Date,RHI Entertainment
2007-03-01,82
2007-03-02,82
2007-03-03,82
2007-03-04,82
2007-03-05,82
2007-03-06,82
2007-03-07,82
2007-03-08,82
2007-03-09,82
2007-03-10,82
2007-03-11,82
2007-03-12,83
2007-03-13,83
2007-03-14,83
2007-03-15,83
2007-03-16,83
2007-03-17,83
2007-03-18,83
2007-03-19,83
2007-03-20,83
2007-03-21,83
2007-03-22,84
2007-03-23,84
2007-03-24,84
2007-03-25,84
2007-03-26,84
2007-03-27,84
2007-03-28,84
2007-03-29,84
2007-03-30,84
2007-03-31,84
2007-04-01,85
2007-04-02,84
2007-04-03,83
2007-04-04,82
2007-04-05,81
2007-04-06,81
2007-04-07,80
2007-04-08,79
2007-04-09,78
2007-04-10,78
2007-04-11,77
2007-04-12,76
2007-04-13,75
2007-04-14,75
2007-04-15,74
2007-04-16,73
2007-04-17,72
2007-04-18,71
2007-04-19,71
2007-04-20,70
2007-04-21,69
2007-04-22,68
2007-04-23,68
2007-04-24,67
2007-04-25,66
2007-04-26,65
2007-04-27,65
2007-04-28,64
2007-04-29,63
2007-04-30,62
2007-05-01,62
2007-05-02,63
2007-05-03,64
2007-05-04,65
2007-05-05,66
2007-05-06,67
2007-05-07,68
2007-05-08,69
2007-05-09,70
2007-05-10,71
2007-05-11,72
2007-05-12,73
2007-05-13,74
2007-05-14,75
2007-05-15,76
2007-05-16,77
2007-05-17,79
2007-05-18,80
2007-05-19,81
2007-05-20,82
2007-05-21,83
2007-05-22,84
2007-05-23,85
2007-05-24,86
2007-05-25,87
2007-05-26,88
2007-05-27,89
2007-05-28,90
2007-05-29,91
2007-05-30,92
2007-05-31,93
2007-06-01,95
2007-06-02,94
2007-06-03,93
2007-06-04,92
2007-06-05,92
2007-06-06,91
2007-06-07,90
2007-06-08,90
2007-06-09,89
2007-06-10,88
2007-06-11,88
2007-06-12,87
2007-06-13,86
2007-06-14,85
2007-06-15,85
2007-06-16,84
2007-06-17,83
2007-06-18,83
2007-06-19,82
2007-06-20,81
2007-06-21,81
2007-06-22,80
2007-06-23,79
2007-06-24,78
2007-06-25,78
2007-06-26,77
2007-06-27,76
2007-06-28,76
2007-06-29,75
2007-06-30,74
2007-07-01,74
2007-07-02,74
2007-07-03,75
2007-07-04,75
2007-07-05,76
2007-07-06,77
2007-07-07,77
2007-07-08,78
2007-07-09,78
2007-07-10,79
2007-07-11,80
2007-07-12,80
2007-07-13,81
2007-07-14,81
2007-07-15,82
2007-07-16,83
2007-07-17,83
2007-07-18,84
2007-07-19,85
2007-07-20,85
2007-07-21,86
2007-07-22,86
2007-07-23,87
2007-07-24,88
2007-07-25,88
2007-07-26,89
2007-07-27,89
2007-07-28,90
2007-07-29,91
2007-07-30,91
2007-07-31,92
2007-08-01,93
2007-08-02,91
2007-08-03,90
2007-08-04,89
2007-08-05,88
2007-08-06,87
2007-08-07,86
2007-08-08,85
2007-08-09,83
2007-08-10,82
2007-08-11,81
2007-08-12,80
2007-08-13,79
2007-08-14,78
2007-08-15,77
2007-08-16,76
2007-08-17,74
2007-08-18,73
2007-08-19,72
2007-08-20,71
2007-08-21,70
2007-08-22,69
2007-08-23,68
2007-08-24,67
2007-08-25,65
2007-08-26,64
2007-08-27,63
2007-08-28,62
2007-08-29,61
2007-08-30,60
2007-08-31,59
2007-09-01,58
2007-09-02,57
2007-09-03,57
2007-09-04,57
2007-09-05,57
2007-09-06,57
2007-09-07,57
2007-09-08,57
2007-09-09,57
2007-09-10,57
2007-09-11,57
2007-09-12,57
2007-09-13,57
2007-09-14,57
2007-09-15,57
2007-09-16,57
2007-09-17,57
2007-09-18,57
2007-09-19,57
2007-09-20,57
2007-09-21,57
2007-09-22,57
2007-09-23,57
2007-09-24,57
2007-09-25,57
2007-09-26,57
2007-09-27,57
2007-09-28,57
2007-09-29,57
2007-09-30,57
2007-10-01,57
2007-10-02,56
2007-10-03,56
2007-10-04,56
2007-10-05,55
2007-10-06,55
2007-10-07,55
2007-10-08,54
2007-10-09,54
2007-10-10,54
2007-10-11,53
2007-10-12,53
2007-10-13,53
2007-10-14,52
2007-10-15,52
2007-10-16,52
2007-10-17,51
2007-10-18,51
2007-10-19,51
2007-10-20,50
2007-10-21,50
2007-10-22,50
2007-10-23,49
2007-10-24,49
2007-10-25,49
2007-10-26,48
2007-10-27,48
2007-10-28,48
2007-10-29,47
2007-10-30,47
2007-10-31,47
2007-11-01,47
2007-11-02,47
2007-11-03,47
2007-11-04,48
2007-11-05,48
2007-11-06,49
2007-11-07,49
2007-11-08,49
2007-11-09,50
2007-11-10,50
2007-11-11,51
2007-11-12,51
2007-11-13,51
2007-11-14,52
2007-11-15,52
2007-11-16,53
2007-11-17,53
2007-11-18,53
2007-11-19,54
2007-11-20,54
