Date,XOOM Corporation
2012-07-01,57
2012-07-02,57
2012-07-03,57
2012-07-04,59
2012-07-05,56
2012-07-06,56
2012-07-07,56
2012-07-08,59
2012-07-09,54
2012-07-10,53
2012-07-11,53
2012-07-12,54
2012-07-13,51
2012-07-14,51
2012-07-15,53
2012-07-16,51
2012-07-17,54
2012-07-18,52
2012-07-19,55
2012-07-20,53
2012-07-21,54
2012-07-22,58
2012-07-23,53
2012-07-24,52
2012-07-25,54
2012-07-26,51
2012-07-27,51
2012-07-28,53
2012-07-29,51
2012-07-30,52
2012-07-31,52
2012-08-01,55
2012-08-02,53
2012-08-03,54
2012-08-04,55
2012-08-05,57
2012-08-06,53
2012-08-07,52
2012-08-08,52
2012-08-09,50
2012-08-10,51
2012-08-11,49
2012-08-12,50
2012-08-13,49
2012-08-14,50
2012-08-15,50
2012-08-16,51
2012-08-17,52
2012-08-18,54
2012-08-19,52
2012-08-20,51
2012-08-21,50
2012-08-22,50
2012-08-23,49
2012-08-24,50
2012-08-25,51
2012-08-26,51
2012-08-27,49
2012-08-28,49
2012-08-29,50
2012-08-30,49
2012-08-31,49
2012-09-01,50
2012-09-02,53
2012-09-03,50
2012-09-04,50
2012-09-05,50
2012-09-06,50
2012-09-07,50
2012-09-08,50
2012-09-09,51
2012-09-10,48
2012-09-11,47
2012-09-12,46
2012-09-13,46
2012-09-14,44
2012-09-15,45
2012-09-16,45
2012-09-17,44
2012-09-18,44
2012-09-19,46
2012-09-20,45
2012-09-21,45
2012-09-22,48
2012-09-23,47
2012-09-24,46
2012-09-25,47
2012-09-26,49
2012-09-27,48
2012-09-28,49
2012-09-29,49
2012-09-30,53
2012-10-01,51
2012-10-02,53
2012-10-03,53
2012-10-04,54
2012-10-05,55
2012-10-06,59
2012-10-07,58
2012-10-08,53
2012-10-09,52
2012-10-10,51
2012-10-11,50
2012-10-12,49
2012-10-13,50
2012-10-14,49
2012-10-15,48
2012-10-16,51
2012-10-17,50
2012-10-18,50
2012-10-19,50
2012-10-20,51
2012-10-21,55
2012-10-22,50
2012-10-23,50
2012-10-24,53
2012-10-25,50
2012-10-26,50
2012-10-27,51
2012-10-28,53
2012-10-29,49
2012-10-30,49
2012-10-31,49
2012-11-01,49
2012-11-02,49
2012-11-03,49
2012-11-04,50
2012-11-05,49
2012-11-06,50
2012-11-07,51
2012-11-08,50
2012-11-09,50
2012-11-10,51
2012-11-11,54
2012-11-12,51
2012-11-13,51
2012-11-14,52
2012-11-15,51
2012-11-16,51
2012-11-17,53
2012-11-18,53
2012-11-19,50
2012-11-20,50
2012-11-21,49
2012-11-22,51
2012-11-23,48
2012-11-24,48
2012-11-25,52
2012-11-26,48
2012-11-27,48
2012-11-28,49
2012-11-29,49
2012-11-30,49
2012-12-01,52
2012-12-02,52
2012-12-03,50
2012-12-04,51
2012-12-05,53
2012-12-06,52
2012-12-07,52
2012-12-08,53
2012-12-09,56
2012-12-10,51
2012-12-11,51
2012-12-12,50
2012-12-13,51
2012-12-14,48
2012-12-15,49
2012-12-16,51
2012-12-17,51
2012-12-18,53
2012-12-19,54
2012-12-20,56
2012-12-21,58
2012-12-22,61
2012-12-23,59
2012-12-24,59
2012-12-25,62
2012-12-26,56
2012-12-27,55
2012-12-28,54
2012-12-29,55
2012-12-30,55
2012-12-31,52
2013-01-01,51
2013-01-02,51
2013-01-03,50
2013-01-04,49
2013-01-05,50
2013-01-06,52
2013-01-07,48
2013-01-08,47
2013-01-09,48
2013-01-10,47
2013-01-11,46
2013-01-12,48
2013-01-13,45
2013-01-14,45
2013-01-15,44
2013-01-16,47
2013-01-17,44
2013-01-18,43
2013-01-19,45
2013-01-20,43
2013-01-21,43
2013-01-22,44
2013-01-23,44
2013-01-24,45
