Date,Rally Software Development
2012-09-01,69
2012-09-02,68
2012-09-03,67
2012-09-04,66
2012-09-05,65
2012-09-06,65
2012-09-07,64
2012-09-08,63
2012-09-09,62
2012-09-10,61
2012-09-11,61
2012-09-12,60
2012-09-13,59
2012-09-14,58
2012-09-15,57
2012-09-16,57
2012-09-17,56
2012-09-18,55
2012-09-19,54
2012-09-20,53
2012-09-21,53
2012-09-22,52
2012-09-23,51
2012-09-24,50
2012-09-25,49
2012-09-26,49
2012-09-27,48
2012-09-28,47
2012-09-29,46
2012-09-30,45
2012-10-01,45
2012-10-02,45
2012-10-03,45
2012-10-04,45
2012-10-05,45
2012-10-06,45
2012-10-07,45
2012-10-08,45
2012-10-09,46
2012-10-10,46
2012-10-11,46
2012-10-12,46
2012-10-13,46
2012-10-14,46
2012-10-15,46
2012-10-16,46
2012-10-17,47
2012-10-18,47
2012-10-19,47
2012-10-20,47
2012-10-21,47
2012-10-22,47
2012-10-23,47
2012-10-24,47
2012-10-25,48
2012-10-26,48
2012-10-27,48
2012-10-28,48
2012-10-29,48
2012-10-30,48
2012-10-31,48
2012-11-01,49
2012-11-02,48
2012-11-03,48
2012-11-04,47
2012-11-05,47
2012-11-06,46
2012-11-07,46
2012-11-08,45
2012-11-09,45
2012-11-10,44
2012-11-11,44
2012-11-12,43
2012-11-13,43
2012-11-14,42
2012-11-15,42
2012-11-16,41
2012-11-17,41
2012-11-18,40
2012-11-19,40
2012-11-20,39
2012-11-21,39
2012-11-22,38
2012-11-23,38
2012-11-24,37
2012-11-25,37
2012-11-26,36
2012-11-27,36
2012-11-28,35
2012-11-29,35
2012-11-30,34
2012-12-01,34
2012-12-02,34
2012-12-03,35
2012-12-04,35
2012-12-05,36
2012-12-06,36
2012-12-07,37
2012-12-08,38
2012-12-09,38
2012-12-10,39
2012-12-11,39
2012-12-12,40
2012-12-13,40
2012-12-14,41
2012-12-15,42
2012-12-16,42
2012-12-17,43
2012-12-18,43
2012-12-19,44
2012-12-20,45
2012-12-21,45
2012-12-22,46
2012-12-23,46
2012-12-24,47
2012-12-25,47
2012-12-26,48
2012-12-27,49
2012-12-28,49
2012-12-29,50
2012-12-30,50
2012-12-31,51
2013-01-01,52
2013-01-02,52
2013-01-03,52
2013-01-04,52
2013-01-05,53
2013-01-06,53
2013-01-07,53
2013-01-08,54
2013-01-09,54
2013-01-10,54
2013-01-11,55
2013-01-12,55
2013-01-13,55
2013-01-14,56
2013-01-15,56
2013-01-16,56
2013-01-17,57
2013-01-18,57
2013-01-19,57
2013-01-20,58
2013-01-21,58
2013-01-22,58
2013-01-23,59
2013-01-24,59
2013-01-25,59
2013-01-26,60
2013-01-27,60
2013-01-28,60
2013-01-29,61
2013-01-30,61
2013-01-31,61
2013-02-01,62
2013-02-02,61
2013-02-03,61
2013-02-04,61
2013-02-05,60
2013-02-06,60
2013-02-07,60
2013-02-08,60
2013-02-09,59
2013-02-10,59
2013-02-11,59
2013-02-12,58
2013-02-13,58
2013-02-14,58
2013-02-15,58
2013-02-16,57
2013-02-17,57
2013-02-18,57
2013-02-19,56
2013-02-20,56
2013-02-21,56
2013-02-22,56
2013-02-23,55
2013-02-24,55
2013-02-25,55
2013-02-26,54
2013-02-27,54
2013-02-28,54
2013-03-01,54
2013-03-02,55
2013-03-03,56
2013-03-04,58
2013-03-05,59
2013-03-06,61
2013-03-07,62
2013-03-08,64
2013-03-09,65
2013-03-10,67
2013-03-11,68
2013-03-12,70
