Date,Targa Resources
2010-03-01,100
2010-03-02,98
2010-03-03,97
2010-03-04,96
2010-03-05,94
2010-03-06,93
2010-03-07,92
2010-03-08,90
2010-03-09,89
2010-03-10,88
2010-03-11,87
2010-03-12,85
2010-03-13,84
2010-03-14,83
2010-03-15,81
2010-03-16,80
2010-03-17,79
2010-03-18,78
2010-03-19,76
2010-03-20,75
2010-03-21,74
2010-03-22,72
2010-03-23,71
2010-03-24,70
2010-03-25,69
2010-03-26,67
2010-03-27,66
2010-03-28,65
2010-03-29,63
2010-03-30,62
2010-03-31,61
2010-04-01,60
2010-04-02,59
2010-04-03,59
2010-04-04,59
2010-04-05,59
2010-04-06,59
2010-04-07,59
2010-04-08,59
2010-04-09,59
2010-04-10,59
2010-04-11,59
2010-04-12,59
2010-04-13,59
2010-04-14,59
2010-04-15,59
2010-04-16,59
2010-04-17,59
2010-04-18,59
2010-04-19,59
2010-04-20,59
2010-04-21,59
2010-04-22,59
2010-04-23,59
2010-04-24,59
2010-04-25,59
2010-04-26,59
2010-04-27,59
2010-04-28,59
2010-04-29,59
2010-04-30,59
2010-05-01,59
2010-05-02,59
2010-05-03,59
2010-05-04,59
2010-05-05,59
2010-05-06,59
2010-05-07,59
2010-05-08,60
2010-05-09,60
2010-05-10,60
2010-05-11,60
2010-05-12,60
2010-05-13,60
2010-05-14,61
2010-05-15,61
2010-05-16,61
2010-05-17,61
2010-05-18,61
2010-05-19,61
2010-05-20,62
2010-05-21,62
2010-05-22,62
2010-05-23,62
2010-05-24,62
2010-05-25,62
2010-05-26,63
2010-05-27,63
2010-05-28,63
2010-05-29,63
2010-05-30,63
2010-05-31,63
2010-06-01,64
2010-06-02,63
2010-06-03,63
2010-06-04,63
2010-06-05,63
2010-06-06,63
2010-06-07,63
2010-06-08,63
2010-06-09,63
2010-06-10,63
2010-06-11,63
2010-06-12,63
2010-06-13,63
2010-06-14,63
2010-06-15,63
2010-06-16,63
2010-06-17,62
2010-06-18,62
2010-06-19,62
2010-06-20,62
2010-06-21,62
2010-06-22,62
2010-06-23,62
2010-06-24,62
2010-06-25,62
2010-06-26,62
2010-06-27,62
2010-06-28,62
2010-06-29,62
2010-06-30,62
2010-07-01,62
2010-07-02,62
2010-07-03,63
2010-07-04,63
2010-07-05,64
2010-07-06,64
2010-07-07,65
2010-07-08,66
2010-07-09,66
2010-07-10,67
2010-07-11,67
2010-07-12,68
2010-07-13,68
