Date,Delphi Automotive
2010-11-13,56
2010-11-14,59
2010-11-15,63
2010-11-16,67
2010-11-17,71
2010-11-18,75
2010-11-19,79
2010-11-20,83
2010-11-21,83
2010-11-22,85
2010-11-23,86
2010-11-24,87
2010-11-25,88
2010-11-26,89
2010-11-27,90
2010-11-28,86
2010-11-29,81
2010-11-30,77
2010-12-01,74
2010-12-02,70
2010-12-03,66
2010-12-04,63
2010-12-05,66
2010-12-06,69
2010-12-07,72
2010-12-08,75
2010-12-09,78
2010-12-10,81
2010-12-11,85
2010-12-12,84
2010-12-13,84
2010-12-14,84
2010-12-15,84
2010-12-16,83
2010-12-17,83
2010-12-18,83
2010-12-19,82
2010-12-20,80
2010-12-21,80
2010-12-22,79
2010-12-23,79
2010-12-24,78
2010-12-25,78
2010-12-26,76
2010-12-27,75
2010-12-28,74
2010-12-29,73
2010-12-30,72
2010-12-31,71
2011-01-01,70
2011-01-02,70
2011-01-03,70
2011-01-04,70
2011-01-05,70
2011-01-06,70
2011-01-07,70
2011-01-08,70
2011-01-09,70
2011-01-10,71
2011-01-11,72
2011-01-12,73
2011-01-13,73
2011-01-14,74
2011-01-15,75
2011-01-16,75
2011-01-17,75
2011-01-18,75
2011-01-19,76
2011-01-20,76
2011-01-21,76
2011-01-22,77
2011-01-23,79
2011-01-24,83
2011-01-25,86
2011-01-26,88
2011-01-27,91
2011-01-28,94
2011-01-29,97
2011-01-30,90
2011-02-06,54
2011-02-07,59
2011-02-08,65
2011-02-09,70
2011-02-10,76
2011-02-11,81
2011-02-12,87
2011-02-13,85
2011-02-14,84
2011-02-15,83
2011-02-16,81
2011-02-17,80
2011-02-18,78
2011-02-19,77
2011-02-20,77
2011-02-21,77
2011-02-22,77
2011-02-23,77
2011-02-24,77
2011-02-25,77
2011-02-26,77
2011-02-27,78
2011-02-28,79
2011-03-01,81
2011-03-02,82
2011-03-03,84
2011-03-04,85
2011-03-05,87
2011-03-06,85
2011-03-07,84
2011-03-08,83
2011-03-09,81
2011-03-10,80
2011-03-11,78
2011-03-12,77
2011-03-13,76
2011-03-14,74
2011-03-15,72
2011-03-16,71
2011-03-17,69
2011-03-18,68
2011-03-19,67
2011-03-20,69
2011-03-21,71
2011-03-22,73
2011-03-23,75
2011-03-24,77
2011-03-25,79
2011-03-26,82
2011-03-27,83
2011-05-01,72
2011-05-02,73
2011-05-03,74
2011-05-04,75
2011-05-05,76
2011-05-06,76
2011-05-07,77
2011-05-08,76
2011-05-09,74
2011-05-10,73
2011-05-11,72
2011-05-12,71
2011-05-13,70
2011-05-14,69
2011-05-15,67
2011-05-16,65
2011-05-17,64
2011-05-18,62
2011-05-19,61
2011-05-20,59
2011-05-21,58
2011-05-22,61
2011-05-23,65
2011-05-24,69
2011-05-25,73
2011-05-26,76
2011-05-27,80
2011-05-28,84
2011-05-29,82
2011-05-30,78
2011-05-31,76
2011-06-01,74
2011-06-02,72
2011-06-03,70
2011-06-04,68
2011-06-05,69
2011-06-06,70
2011-06-07,72
2011-06-08,73
2011-06-09,75
2011-06-10,76
2011-06-11,78
2011-06-12,80
2011-06-13,82
2011-06-14,84
2011-06-15,86
2011-06-16,88
2011-06-17,90
2011-06-18,92
2011-06-19,92
2011-06-20,92
2011-06-21,93
2011-06-22,93
2011-06-23,93
2011-06-24,93
2011-06-25,93
2011-06-26,87
2011-06-27,81
2011-06-28,75
2011-06-29,70
2011-06-30,64
2011-07-01,58
2011-07-02,53
2011-07-03,57
2011-07-04,61
2011-07-05,65
2011-07-06,70
2011-07-07,74
2011-07-08,78
2011-07-09,83
2011-07-10,85
2011-07-11,88
2011-07-12,90
2011-07-13,93
2011-07-14,95
2011-07-15,98
2011-07-16,100
2011-07-17,98
2011-07-18,97
2011-07-19,95
2011-07-20,94
2011-07-21,92
2011-07-22,90
2011-07-23,88
2011-07-24,85
2011-07-25,80
2011-07-26,76
2011-07-27,72
2011-07-28,68
2011-07-29,64
2011-07-30,61
2011-07-31,61
2011-08-07,68
2011-08-08,73
2011-08-09,77
2011-08-10,82
2011-08-11,86
2011-08-12,91
2011-08-13,95
2011-08-14,90
2011-08-15,84
2011-08-16,79
2011-08-17,74
2011-08-18,69
2011-08-19,64
2011-08-20,60
2011-08-21,58
2011-08-22,56
2011-08-23,54
2011-08-24,53
2011-08-25,51
2011-08-26,49
2011-08-27,48
2011-08-28,52
2011-08-29,57
2011-08-30,61
2011-08-31,66
2011-09-01,70
2011-09-02,75
2011-09-03,79
2011-09-04,77
2011-09-05,72
2011-09-06,69
2011-09-07,67
2011-09-08,64
2011-09-09,61
2011-09-10,59
2011-09-11,62
2011-09-12,66
2011-09-13,70
2011-09-14,73
2011-09-15,77
2011-09-16,81
2011-09-17,85
2011-09-18,83
2011-09-19,82
2011-09-20,81
2011-09-21,80
2011-09-22,79
2011-09-23,78
2011-09-24,77
2011-09-25,75
2011-09-26,74
2011-09-27,72
2011-09-28,70
2011-09-29,69
2011-09-30,67
2011-10-01,65
2011-10-02,63
2011-10-03,60
2011-10-04,58
2011-10-05,56
2011-10-06,54
2011-10-07,52
2011-10-08,50
2011-10-09,54
2011-10-10,59
2011-10-11,63
2011-10-12,68
2011-10-13,72
2011-10-14,77
2011-10-15,82
2011-10-16,79
2011-10-17,76
2011-10-18,73
2011-10-19,71
2011-10-20,68
2011-10-21,65
2011-10-22,62
2011-10-23,62
2011-10-24,61
2011-10-25,60
2011-10-26,60
2011-10-27,59
2011-10-28,59
2011-10-29,59
2011-10-30,59
2011-11-06,67
2011-11-07,69
2011-11-08,71
2011-11-09,73
2011-11-10,75
2011-11-11,77
2011-11-12,79
2011-11-13,79
2011-11-14,80
2011-11-15,80
2011-11-16,80
2011-11-17,81
2011-11-18,81
2011-11-19,81
2011-11-20,81
2011-11-21,80
2011-11-22,80
2011-11-23,79
2011-11-24,79
2011-11-25,79
2011-11-26,79
2011-11-27,80
2011-11-28,82
2011-11-29,84
2011-11-30,85
2011-12-01,87
2011-12-02,88
2011-12-03,90
2011-12-04,86
2011-12-05,81
2011-12-06,77
2011-12-07,74
2011-12-08,70
2011-12-09,66
2011-12-10,63
2011-12-11,60
2011-12-12,58
2011-12-13,56
2011-12-14,54
2011-12-15,52
2011-12-16,50
2011-12-17,48
2011-12-18,52
2011-12-19,57
2011-12-20,61
2011-12-21,65
2011-12-22,70
2011-12-23,74
2011-12-24,78
2011-12-25,73
2011-12-26,67
2011-12-27,61
2011-12-28,56
2011-12-29,50
2011-12-30,45
2011-12-31,40
2012-01-01,43
2012-01-02,46
2012-01-03,49
2012-01-04,52
2012-01-05,55
2012-01-06,58
2012-01-07,61
2012-01-08,63
2012-01-09,66
2012-01-10,68
2012-01-11,71
2012-01-12,73
2012-01-13,76
2012-01-14,78
2012-01-15,73
2012-01-16,67
2012-01-17,62
2012-01-18,57
2012-01-19,52
2012-01-20,47
2012-01-21,42
2012-01-22,47
2012-01-23,53
2012-01-24,59
2012-01-25,64
2012-01-26,70
2012-01-27,76
2012-01-28,82
2012-01-29,80
2012-02-05,72
2012-02-06,74
2012-02-07,76
2012-02-08,78
2012-02-09,80
2012-02-10,82
2012-02-11,84
2012-02-12,83
2012-02-13,83
2012-02-14,83
2012-02-15,83
2012-02-16,82
2012-02-17,82
2012-02-18,82
2012-02-19,76
2012-02-20,70
2012-02-21,64
2012-02-22,58
