Date,West Corporation
2009-04-05,96
2009-04-06,92
2009-04-07,89
2009-04-08,85
2009-04-09,82
2009-04-10,78
2009-04-11,75
2009-04-12,74
2009-04-13,73
2009-04-14,72
2009-04-15,72
2009-04-16,71
2009-04-17,70
2009-04-18,70
2009-04-19,70
2009-04-20,70
2009-04-21,70
2009-04-22,70
2009-04-23,70
2009-04-24,70
2009-04-25,70
2009-04-26,68
2009-04-27,64
2009-04-28,61
2009-04-29,59
2009-04-30,56
2009-05-01,53
2009-05-02,51
2009-05-03,56
2009-05-04,62
2009-05-05,67
2009-05-06,73
2009-05-07,78
2009-05-08,84
2009-05-09,89
2009-05-10,84
2009-05-11,76
2009-05-12,71
2009-05-13,65
2009-05-14,60
2009-05-15,54
2009-05-16,49
2009-05-17,50
2009-05-18,52
2009-05-19,53
2009-05-20,54
2009-05-21,56
2009-05-22,57
2009-05-23,59
2009-05-24,57
2009-05-25,56
2009-05-26,54
2009-05-27,53
2009-05-28,52
2009-05-29,50
2009-05-30,49
2009-05-31,48
2009-06-01,47
2009-06-02,46
2009-06-03,45
2009-06-04,44
2009-06-05,43
2009-06-06,42
2009-06-07,44
2009-06-08,47
2009-06-09,50
2009-06-10,53
2009-06-11,56
2009-06-12,59
2009-06-13,62
2009-06-14,64
2009-06-15,66
2009-06-16,68
2009-06-17,70
2009-06-18,72
2009-06-19,75
2009-06-20,77
2009-06-21,75
2009-06-22,73
2009-06-23,71
2009-06-24,70
2009-06-25,68
2009-06-26,66
2009-06-27,65
2009-06-28,65
2009-07-05,70
2009-07-06,73
2009-07-07,76
2009-07-08,78
2009-07-09,81
2009-07-10,83
2009-07-11,86
2009-07-12,87
2009-07-13,87
2009-07-14,87
2009-07-15,88
2009-07-16,88
2009-07-17,89
2009-07-18,90
2009-07-19,89
2009-07-20,88
2009-07-21,87
2009-07-22,86
2009-07-23,85
2009-07-24,84
2009-07-25,84
2009-07-26,81
2009-07-27,78
2009-07-28,76
2009-07-29,74
2009-07-30,72
2009-07-31,70
2009-08-01,68
2009-08-02,71
2009-08-03,75
2009-08-04,78
2009-08-05,82
2009-08-06,85
2009-08-07,89
2009-08-08,93
2009-08-09,88
2009-08-10,84
2009-08-11,79
2009-08-12,75
2009-08-13,70
2009-08-14,66
2009-08-15,62
2009-08-16,63
2009-08-17,64
2009-08-18,66
2009-08-19,67
2009-08-20,69
2009-08-21,70
2009-08-22,72
2009-08-23,69
2009-08-24,67
2009-08-25,65
2009-08-26,63
2009-08-27,61
2009-08-28,59
2009-08-29,57
2009-08-30,59
2009-08-31,63
2009-09-01,65
2009-09-02,68
2009-09-03,71
2009-09-04,74
2009-09-05,77
2009-09-06,75
2009-09-07,72
2009-09-08,70
2009-09-09,69
2009-09-10,67
2009-09-11,65
2009-09-12,64
2009-09-13,63
2009-09-14,62
2009-09-15,61
2009-09-16,60
2009-09-17,59
2009-09-18,58
2009-09-19,57
2009-09-20,57
2009-09-21,57
2009-09-22,57
2009-09-23,58
2009-09-24,58
2009-09-25,58
2009-09-26,59
2009-09-27,56
2009-10-04,49
2009-10-05,56
2009-10-06,63
2009-10-07,70
2009-10-08,77
2009-10-09,84
2009-10-10,91
2009-10-11,88
2009-10-12,86
2009-10-13,84
2009-10-14,82
2009-10-15,79
2009-10-16,77
2009-10-17,75
2009-10-18,75
2009-10-19,75
2009-10-20,75
2009-10-21,75
2009-10-22,75
2009-10-23,75
2009-10-24,75
2009-10-25,69
2009-10-26,62
2009-10-27,55
2009-10-28,49
2009-10-29,42
2009-10-30,36
2009-10-31,30
2009-11-01,37
2009-11-02,45
2009-11-03,52
2009-11-04,60
2009-11-05,67
2009-11-06,75
2009-11-07,83
2009-11-08,85
2009-11-09,87
2009-11-10,89
2009-11-11,91
2009-11-12,93
2009-11-13,95
2009-11-14,97
2009-11-15,94
2009-11-16,92
2009-11-17,89
2009-11-18,86
2009-11-19,84
2009-11-20,81
2009-11-21,78
2009-11-22,75
2009-11-23,72
2009-11-24,69
2009-11-25,66
2009-11-26,63
2009-11-27,60
2009-11-28,57
2009-11-29,56
2009-11-30,55
2009-12-01,54
2009-12-02,53
2009-12-03,52
2009-12-04,51
2009-12-05,50
2009-12-06,54
2009-12-07,58
2009-12-08,62
2009-12-09,67
2009-12-10,71
2009-12-11,75
2009-12-12,80
2009-12-13,79
2009-12-14,79
2009-12-15,78
2009-12-16,77
2009-12-17,76
2009-12-18,76
2009-12-19,75
2009-12-20,71
2009-12-21,66
2009-12-22,62
2009-12-23,58
2009-12-24,54
2009-12-25,50
2009-12-26,47
2009-12-27,45
2010-01-03,39
2010-01-04,43
2010-01-05,47
2010-01-06,51
2010-01-07,55
2010-01-08,60
2010-01-09,64
2010-01-10,61
2010-01-11,59
2010-01-12,56
2010-01-13,54
2010-01-14,51
2010-01-15,49
2010-01-16,47
2010-01-17,49
2010-01-18,51
2010-01-19,53
2010-01-20,55
2010-01-21,57
2010-01-22,59
2010-01-23,61
2010-01-24,60
2010-01-25,60
2010-01-26,59
2010-01-27,59
2010-01-28,58
2010-01-29,58
2010-01-30,58
2010-01-31,58
2010-02-01,58
2010-02-02,58
2010-02-03,58
2010-02-04,58
2010-02-05,58
2010-02-06,58
2010-02-07,60
2010-02-08,61
2010-02-09,63
2010-02-10,65
2010-02-11,67
2010-02-12,69
2010-02-13,71
2010-02-14,72
2010-02-15,73
2010-02-16,74
2010-02-17,75
2010-02-18,76
2010-02-19,77
2010-02-20,78
