Date,Marketo
2012-10-01,53
2012-10-02,53
2012-10-03,50
2012-10-04,47
2012-10-05,45
2012-10-06,43
2012-10-07,43
2012-10-08,43
2012-10-09,43
2012-10-10,47
2012-10-11,44
2012-10-12,46
2012-10-13,45
2012-10-14,44
2012-10-15,44
2012-10-16,46
2012-10-17,43
2012-10-18,43
2012-10-19,47
2012-10-20,43
2012-10-21,42
2012-10-22,42
2012-10-23,42
2012-10-24,41
2012-10-25,41
2012-10-26,42
2012-10-27,42
2012-10-28,41
2012-10-29,41
2012-10-30,43
2012-10-31,42
2012-11-01,47
2012-11-02,43
2012-11-03,46
2012-11-04,41
2012-11-05,39
2012-11-06,37
2012-11-07,35
2012-11-08,33
2012-11-09,32
2012-11-10,29
2012-11-11,31
2012-11-12,33
2012-11-13,35
2012-11-14,37
2012-11-15,40
2012-11-16,46
2012-11-17,44
2012-11-18,42
2012-11-19,41
2012-11-20,41
2012-11-21,38
2012-11-22,36
2012-11-23,35
2012-11-24,34
2012-11-25,35
2012-11-26,36
2012-11-27,37
2012-11-28,39
2012-11-29,40
2012-11-30,45
2012-12-01,43
2012-12-02,43
2012-12-03,43
2012-12-04,47
2012-12-05,44
2012-12-06,45
2012-12-07,45
2012-12-08,49
2012-12-09,45
2012-12-10,45
2012-12-11,45
2012-12-12,46
2012-12-13,45
2012-12-14,45
2012-12-15,46
2012-12-16,45
2012-12-17,45
2012-12-18,49
2012-12-19,46
2012-12-20,48
2012-12-21,46
2012-12-22,47
2012-12-23,43
2012-12-24,39
2012-12-25,35
2012-12-26,32
2012-12-27,28
2012-12-28,24
2012-12-29,21
2012-12-30,22
2012-12-31,23
2013-01-01,24
2013-01-02,26
2013-01-03,26
2013-01-04,28
2013-01-05,28
2013-01-06,31
2013-01-07,34
2013-01-08,38
2013-01-09,40
2013-01-10,48
2013-01-11,46
2013-01-12,50
2013-01-13,48
2013-01-14,47
2013-01-15,45
2013-01-16,49
2013-01-17,42
2013-01-18,45
2013-01-19,40
2013-01-20,41
2013-01-21,42
2013-01-22,43
2013-01-23,46
2013-01-24,45
2013-01-25,46
2013-01-26,47
2013-01-27,47
2013-01-28,47
2013-01-29,51
2013-01-30,48
2013-01-31,49
2013-02-01,54
2013-02-02,50
2013-02-03,50
2013-02-04,51
2013-02-05,52
2013-02-06,52
2013-02-07,53
2013-02-08,57
2013-02-09,55
2013-02-10,53
2013-02-11,52
2013-02-12,51
2013-02-13,49
2013-02-14,48
2013-02-15,46
2013-02-16,47
2013-02-17,47
2013-02-18,50
2013-02-19,53
2013-02-20,56
2013-02-21,58
2013-02-22,62
2013-02-23,70
2013-02-24,62
2013-02-25,60
2013-02-26,58
2013-02-27,57
2013-02-28,56
2013-03-01,56
2013-03-02,52
2013-03-03,53
2013-03-04,54
2013-03-05,57
2013-03-06,56
2013-03-07,57
2013-03-08,62
2013-03-09,59
2013-03-10,59
2013-03-11,59
2013-03-12,64
2013-03-13,59
2013-03-14,59
2013-03-15,63
2013-03-16,59
2013-03-17,58
2013-03-18,58
2013-03-19,62
2013-03-20,58
2013-03-21,58
2013-03-22,61
2013-03-23,58
2013-03-24,56
2013-03-25,54
2013-03-26,53
2013-03-27,51
2013-03-28,48
2013-03-29,46
2013-03-30,44
2013-03-31,48
2013-04-01,52
2013-04-02,57
2013-04-03,61
2013-04-04,66
2013-04-05,73
2013-04-06,75
2013-04-07,74
2013-04-08,74
2013-04-09,74
2013-04-10,75
2013-04-11,81
2013-04-12,73
2013-04-13,73
2013-04-14,70
2013-04-15,68
2013-04-16,69
2013-04-17,67
2013-04-18,62
2013-04-19,62
2013-04-20,58
2013-04-21,55
2013-04-22,53
2013-04-23,51
2013-04-24,48
2013-04-25,47
2013-04-26,43
2013-04-27,41
2013-04-28,41
2013-04-29,42
2013-04-30,44
2013-05-01,44
2013-05-02,45
2013-05-03,49
2013-05-04,47
2013-05-05,47
2013-05-06,48
2013-05-07,48
2013-05-08,49
2013-05-09,51
2013-05-10,50
2013-05-11,52
2013-05-12,58
