Date,Durata
2011-09-10,64
2011-09-11,65
2011-09-12,67
2011-09-13,70
2011-09-14,70
2011-09-15,74
2011-09-16,76
2011-09-17,76
2011-09-18,79
2011-09-19,87
2011-09-20,86
2011-09-21,89
2011-09-22,100
2011-09-23,96
2011-09-24,102
2011-09-25,94
2011-09-26,89
2011-09-27,84
2011-09-28,84
2011-09-29,73
2011-09-30,68
2011-10-01,63
2011-10-02,64
2011-10-03,65
2011-10-04,66
2011-10-05,68
2011-10-06,69
2011-10-07,69
2011-10-08,70
2011-10-09,69
2011-10-10,68
2011-10-11,67
2011-10-12,66
2011-10-13,65
2011-10-14,64
2011-10-15,63
2011-10-16,64
2011-10-17,65
2011-10-18,67
2011-10-19,70
2011-10-20,70
2011-10-21,71
2011-10-22,73
2011-10-23,72
2011-10-24,72
2011-10-25,76
2011-10-26,71
2011-10-27,70
2011-10-28,70
2011-10-29,70
2011-10-30,69
2011-10-31,68
2011-11-01,68
2011-11-02,67
2011-11-03,67
2011-11-04,66
2011-11-05,70
2011-11-06,65
2011-11-07,64
2011-11-08,64
2011-11-09,66
2011-11-10,63
2011-11-11,62
2011-11-12,62
2011-11-13,64
2011-11-14,66
2011-11-15,73
2011-11-16,72
2011-11-17,73
2011-11-18,75
2011-11-19,78
2011-11-20,76
2011-11-21,75
2011-11-22,74
2011-11-23,72
2011-11-24,71
2011-11-25,70
2011-11-26,69
2011-11-27,70
2011-11-28,75
2011-11-29,73
2011-11-30,74
2011-12-01,76
2011-12-02,77
2011-12-03,79
2011-12-04,75
2011-12-05,72
2011-12-06,68
2011-12-07,65
2011-12-08,61
2011-12-09,58
2011-12-10,55
2011-12-11,58
2011-12-12,61
2011-12-13,64
2011-12-14,70
2011-12-15,70
2011-12-16,73
2011-12-17,77
2011-12-18,74
2011-12-19,78
2011-12-20,72
2011-12-21,70
2011-12-22,69
2011-12-23,68
2011-12-24,67
2011-12-25,63
2011-12-26,59
2011-12-27,57
2011-12-28,52
2011-12-29,48
2011-12-30,44
2011-12-31,41
2012-01-01,42
2012-01-02,43
2012-01-03,44
2012-01-04,45
2012-01-05,47
2012-01-06,47
2012-01-07,48
2012-01-08,52
2012-01-09,56
2012-01-10,61
2012-01-11,64
2012-01-12,68
2012-01-13,74
2012-01-14,78
2012-01-15,74
2012-01-16,72
2012-01-17,71
2012-01-18,69
2012-01-19,67
2012-01-20,66
2012-01-21,64
2012-01-22,65
2012-01-23,66
2012-01-24,68
2012-01-25,77
2012-01-26,71
2012-01-27,73
2012-01-28,75
2012-01-29,73
2012-01-30,72
2012-01-31,71
2012-02-01,70
2012-02-02,69
2012-02-03,68
2012-02-04,67
2012-02-05,68
2012-02-06,76
2012-02-07,72
2012-02-08,78
2012-02-09,76
2012-02-10,79
2012-02-11,83
2012-02-12,79
2012-02-13,79
2012-02-14,80
2012-02-15,78
2012-02-16,77
2012-02-17,79
2012-02-18,77
2012-02-19,75
2012-02-20,74
2012-02-21,73
2012-02-22,71
2012-02-23,73
2012-02-24,69
2012-02-25,68
2012-02-26,68
2012-02-27,68
2012-02-28,69
2012-02-29,69
2012-03-01,70
2012-03-02,75
2012-03-03,71
2012-03-04,71
2012-03-05,72
2012-03-06,73
2012-03-07,78
2012-03-08,74
2012-03-09,77
2012-03-10,76
2012-03-11,76
2012-03-12,76
2012-03-13,79
2012-03-14,79
2012-03-15,76
2012-03-16,76
2012-03-17,76
2012-03-18,75
2012-03-19,75
2012-03-20,76
2012-03-21,74
2012-03-22,73
2012-03-23,79
2012-03-24,73
2012-03-25,74
2012-03-26,75
2012-03-27,84
2012-03-28,78
2012-03-29,79
2012-03-30,80
2012-03-31,82
2012-04-01,80
2012-04-02,79
2012-04-03,82
2012-04-04,80
2012-04-05,76
2012-04-06,75
2012-04-07,74
