Date,Silver Spring Networks
2011-01-02,51
2011-01-03,51
2011-01-04,51
2011-01-05,51
2011-01-06,51
2011-01-07,51
2011-01-08,52
2011-01-09,56
2011-01-10,62
2011-01-11,67
2011-01-12,72
2011-01-13,77
2011-01-14,82
2011-01-15,87
2011-01-16,81
2011-01-17,73
2011-01-18,67
2011-01-19,62
2011-01-20,56
2011-01-21,50
2011-01-22,45
2011-01-23,45
2011-01-24,45
2011-01-25,45
2011-01-26,45
2011-01-27,45
2011-01-28,45
2011-01-29,45
2011-01-30,46
2011-01-31,48
2011-02-01,50
2011-02-02,51
2011-02-03,53
2011-02-04,55
2011-02-05,57
2011-02-06,56
2011-02-07,55
2011-02-08,55
2011-02-09,54
2011-02-10,53
2011-02-11,53
2011-02-12,52
2011-02-13,52
2011-02-14,51
2011-02-15,51
2011-02-16,51
2011-02-17,51
2011-02-18,51
2011-02-19,51
2011-02-20,51
2011-02-21,51
2011-02-22,51
2011-02-23,51
2011-02-24,51
2011-02-25,51
2011-02-26,51
2011-02-27,51
2011-02-28,51
2011-03-01,51
2011-03-02,51
2011-03-03,51
2011-03-04,51
2011-03-05,51
2011-03-06,49
2011-03-07,46
2011-03-08,43
2011-03-09,41
2011-03-10,38
2011-03-11,36
2011-03-12,34
2011-03-13,37
2011-03-14,40
2011-03-15,44
2011-03-16,47
2011-03-17,51
2011-03-18,54
2011-03-19,58
2011-03-20,57
2011-03-21,57
2011-03-22,56
2011-03-23,56
2011-03-24,55
2011-03-25,55
2011-03-26,54
2011-03-27,52
2011-04-03,40
2011-04-04,39
2011-04-05,38
2011-04-06,37
2011-04-07,36
2011-04-08,35
2011-04-09,34
2011-04-10,36
2011-04-11,39
2011-04-12,41
2011-04-13,44
2011-04-14,46
2011-04-15,48
2011-04-16,51
2011-04-17,49
2011-04-18,46
2011-04-19,44
2011-04-20,42
2011-04-21,40
2011-04-22,38
2011-04-23,36
2011-04-24,36
2011-04-25,36
2011-04-26,36
2011-04-27,37
2011-04-28,37
2011-04-29,37
2011-04-30,38
2011-05-01,38
2011-05-02,38
2011-05-03,39
2011-05-04,39
2011-05-05,40
2011-05-06,40
2011-05-07,41
2011-05-08,41
2011-05-09,41
2011-05-10,42
2011-05-11,42
2011-05-12,43
2011-05-13,43
2011-05-14,44
2011-05-15,47
2011-05-16,50
2011-05-17,54
2011-05-18,57
2011-05-19,60
2011-05-20,63
2011-05-21,67
2011-05-22,64
2011-05-23,60
2011-05-24,57
2011-05-25,54
2011-05-26,50
2011-05-27,47
2011-05-28,44
2011-05-29,44
2011-05-30,44
2011-05-31,44
2011-06-01,44
2011-06-02,44
2011-06-03,45
2011-06-04,45
2011-06-05,45
2011-06-06,45
2011-06-07,45
2011-06-08,46
2011-06-09,46
2011-06-10,46
2011-06-11,47
2011-06-12,45
2011-06-13,44
2011-06-14,42
2011-06-15,41
2011-06-16,39
2011-06-17,38
2011-06-18,37
2011-06-19,38
2011-06-20,40
2011-06-21,41
2011-06-22,43
2011-06-23,44
2011-06-24,45
2011-06-25,47
2011-06-26,48
2011-07-03,59
2011-07-04,64
2011-07-05,70
2011-07-06,75
2011-07-07,81
2011-07-08,86
2011-07-09,92
2011-07-10,93
2011-07-11,95
2011-07-12,96
2011-07-13,97
2011-07-14,98
2011-07-15,99
2011-07-16,101
2011-07-17,99
2011-07-18,96
2011-07-19,94
2011-07-20,92
2011-07-21,90
2011-07-22,88
2011-07-23,85
2011-07-24,81
2011-07-25,76
2011-07-26,72
2011-07-27,67
2011-07-28,63
2011-07-29,58
2011-07-30,54
2011-07-31,51
2011-08-01,48
2011-08-02,45
2011-08-03,42
2011-08-04,39
2011-08-05,36
2011-08-06,34
2011-08-07,35
2011-08-08,36
2011-08-09,37
2011-08-10,39
2011-08-11,40
2011-08-12,41
2011-08-13,43
2011-08-14,43
2011-08-15,43
2011-08-16,43
2011-08-17,43
2011-08-18,43
2011-08-19,43
2011-08-20,44
2011-08-21,44
2011-08-22,44
2011-08-23,44
2011-08-24,44
2011-08-25,45
2011-08-26,45
2011-08-27,45
2011-08-28,43
2011-08-29,41
2011-08-30,39
2011-08-31,37
2011-09-01,35
2011-09-02,33
2011-09-03,32
2011-09-04,32
2011-09-05,33
2011-09-06,34
2011-09-07,35
2011-09-08,36
2011-09-09,37
2011-09-10,38
2011-09-11,38
2011-09-12,39
2011-09-13,40
2011-09-14,40
2011-09-15,41
2011-09-16,42
2011-09-17,43
2011-09-18,43
2011-09-19,44
2011-09-20,45
2011-09-21,46
2011-09-22,47
2011-09-23,48
2011-09-24,49
2011-09-25,46
2011-10-02,33
2011-10-03,33
2011-10-04,33
2011-10-05,33
2011-10-06,33
2011-10-07,33
2011-10-08,33
2011-10-09,33
2011-10-10,34
2011-10-11,35
2011-10-12,35
2011-10-13,36
2011-10-14,37
2011-10-15,38
2011-10-16,38
2011-10-17,39
2011-10-18,40
2011-10-19,40
2011-10-20,41
2011-10-21,42
2011-10-22,43
2011-10-23,41
2011-10-24,40
2011-10-25,38
2011-10-26,37
2011-10-27,35
2011-10-28,34
2011-10-29,33
2011-10-30,33
2011-10-31,33
2011-11-01,33
2011-11-02,33
2011-11-03,33
2011-11-04,33
2011-11-05,33
2011-11-06,34
2011-11-07,35
2011-11-08,36
2011-11-09,38
2011-11-10,39
2011-11-11,40
2011-11-12,42
2011-11-13,40
2011-11-14,38
2011-11-15,36
2011-11-16,34
2011-11-17,32
2011-11-18,30
2011-11-19,29
2011-11-20,30
2011-11-21,31
2011-11-22,32
2011-11-23,34
2011-11-24,35
2011-11-25,36
2011-11-26,38
2011-11-27,39
2011-11-28,40
2011-11-29,41
2011-11-30,42
2011-12-01,44
2011-12-02,45
2011-12-03,46
2011-12-04,46
2011-12-05,46
2011-12-06,47
2011-12-07,47
2011-12-08,48
2011-12-09,48
2011-12-10,49
2011-12-11,49
2011-12-12,51
2011-12-13,51
2011-12-14,52
2011-12-15,53
2011-12-16,55
2011-12-17,57
2011-12-18,52
2011-12-19,52
2011-12-20,52
2011-12-21,53
2011-12-22,53
2011-12-23,53
2011-12-24,54
2011-12-25,54
2012-01-01,56
2012-01-02,56
2012-01-03,57
2012-01-04,57
2012-01-05,57
2012-01-06,58
2012-01-07,58
2012-01-08,56
2012-01-09,54
2012-01-10,52
2012-01-11,50
2012-01-12,48
2012-01-13,46
2012-01-14,44
2012-01-15,45
2012-01-16,46
2012-01-17,48
2012-01-18,49
2012-01-19,51
2012-01-20,52
2012-01-21,54
2012-01-22,53
2012-01-23,53
2012-01-24,53
2012-01-25,52
2012-01-26,52
2012-01-27,52
2012-01-28,51
2012-01-29,49
2012-01-30,47
2012-01-31,45
2012-02-01,43
2012-02-02,41
2012-02-03,40
2012-02-04,38
2012-02-05,38
2012-02-06,38
2012-02-07,39
2012-02-08,39
2012-02-09,39
2012-02-10,39
2012-02-11,40
2012-02-12,39
2012-02-13,39
2012-02-14,38
2012-02-15,38
2012-02-16,37
2012-02-17,37
2012-02-18,37
2012-02-19,38
2012-02-20,40
2012-02-21,41
2012-02-22,43
2012-02-23,45
2012-02-24,46
2012-02-25,48
2012-02-26,49
2012-02-27,49
2012-02-28,50
2012-02-29,51
2012-03-01,52
2012-03-02,53
2012-03-03,54
2012-03-04,52
2012-03-05,51
2012-03-06,49
2012-03-07,48
2012-03-08,46
2012-03-09,45
2012-03-10,44
2012-03-11,37
2012-03-12,31
2012-03-13,25
2012-03-14,18
2012-03-15,12
2012-03-16,6
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,0
2012-04-12,0
2012-04-13,0
2012-04-14,0
2012-04-15,5
2012-04-16,10
2012-04-17,15
2012-04-18,21
2012-04-19,26
2012-04-20,31
2012-04-21,37
2012-04-22,37
2012-04-23,37
2012-04-24,37
2012-04-25,38
2012-04-26,38
2012-04-27,38
2012-04-28,39
2012-04-29,39
2012-04-30,39
2012-05-01,39
2012-05-02,40
2012-05-03,40
2012-05-04,40
2012-05-05,41
2012-05-06,40
2012-05-07,40
2012-05-08,40
2012-05-09,40
2012-05-10,39
2012-05-11,39
2012-05-12,39
2012-05-13,38
2012-05-14,37
2012-05-15,37
2012-05-16,36
2012-05-17,36
2012-05-18,35
2012-05-19,35
2012-05-20,35
2012-05-21,35
2012-05-22,35
2012-05-23,35
2012-05-24,35
2012-05-25,35
2012-05-26,35
2012-05-27,35
2012-05-28,35
2012-05-29,35
2012-05-30,35
2012-05-31,35
2012-06-01,35
2012-06-02,35
2012-06-03,34
2012-06-04,33
2012-06-05,33
2012-06-06,32
2012-06-07,32
2012-06-08,31
2012-06-09,31
2012-06-10,31
2012-06-11,31
2012-06-12,32
2012-06-13,32
2012-06-14,32
2012-06-15,33
2012-06-16,34
2012-06-17,31
2012-06-18,31
2012-06-19,32
2012-06-20,32
2012-06-21,33
2012-06-22,33
2012-06-23,34
2012-06-24,34
2012-07-01,37
2012-07-02,38
2012-07-03,38
2012-07-04,39
2012-07-05,39
2012-07-06,39
2012-07-07,40
2012-07-08,38
2012-07-09,36
2012-07-10,34
2012-07-11,32
2012-07-12,30
2012-07-13,28
2012-07-14,26
2012-07-15,26
2012-07-16,26
2012-07-17,26
2012-07-18,26
2012-07-19,26
2012-07-20,26
2012-07-21,26
2012-07-22,26
2012-07-23,27
2012-07-24,28
2012-07-25,29
2012-07-26,30
2012-07-27,31
2012-07-28,32
2012-07-29,32
2012-07-30,33
2012-07-31,34
2012-08-01,35
2012-08-02,36
2012-08-03,37
2012-08-04,38
2012-08-05,38
2012-08-06,38
2012-08-07,38
2012-08-08,38
2012-08-09,38
2012-08-10,38
2012-08-11,38
2012-08-12,39
2012-08-13,40
2012-08-14,41
2012-08-15,42
2012-08-16,43
2012-08-17,44
