Date,BGC Partners
2006-08-01,78
2006-08-02,77
2006-08-03,77
2006-08-04,77
2006-08-05,76
2006-08-06,76
2006-08-07,76
2006-08-08,76
2006-08-09,75
2006-08-10,75
2006-08-11,75
2006-08-12,75
2006-08-13,74
2006-08-14,74
2006-08-15,74
2006-08-16,74
2006-08-17,73
2006-08-18,73
2006-08-19,73
2006-08-20,73
2006-08-21,72
2006-08-22,72
2006-08-23,72
2006-08-24,72
2006-08-25,71
2006-08-26,71
2006-08-27,71
2006-08-28,71
2006-08-29,70
2006-08-30,70
2006-08-31,70
2006-09-01,70
2006-09-02,70
2006-09-03,70
2006-09-04,70
2006-09-05,70
2006-09-06,70
2006-09-07,70
2006-09-08,70
2006-09-09,70
2006-09-10,70
2006-09-11,70
2006-09-12,70
2006-09-13,70
2006-09-14,70
2006-09-15,70
2006-09-16,70
2006-09-17,70
2006-09-18,70
2006-09-19,70
2006-09-20,70
2006-09-21,70
2006-09-22,70
2006-09-23,70
2006-09-24,70
2006-09-25,70
2006-09-26,70
2006-09-27,70
2006-09-28,70
2006-09-29,70
2006-09-30,70
2006-10-01,70
2006-10-02,70
2006-10-03,70
2006-10-04,70
2006-10-05,70
2006-10-06,70
2006-10-07,70
2006-10-08,70
2006-10-09,70
2006-10-10,70
2006-10-11,70
2006-10-12,70
2006-10-13,70
2006-10-14,70
2006-10-15,70
2006-10-16,70
2006-10-17,70
2006-10-18,70
2006-10-19,70
2006-10-20,70
2006-10-21,70
2006-10-22,70
2006-10-23,70
2006-10-24,70
2006-10-25,70
2006-10-26,70
2006-10-27,70
2006-10-28,70
2006-10-29,70
2006-10-30,70
2006-10-31,70
2006-11-01,70
2006-11-02,70
2006-11-03,70
2006-11-04,70
2006-11-05,70
2006-11-06,70
2006-11-07,70
2006-11-08,70
2006-11-09,70
2006-11-10,70
2006-11-11,70
2006-11-12,70
2006-11-13,70
2006-11-14,70
2006-11-15,70
2006-11-16,70
2006-11-17,70
2006-11-18,70
2006-11-19,70
2006-11-20,70
2006-11-21,70
2006-11-22,70
2006-11-23,70
2006-11-24,70
2006-11-25,70
2006-11-26,70
2006-11-27,70
2006-11-28,70
2006-11-29,70
2006-11-30,70
2006-12-01,71
2006-12-02,71
2006-12-03,71
2006-12-04,71
2006-12-05,71
2006-12-06,71
2006-12-07,71
2006-12-08,71
2006-12-09,71
2006-12-10,71
2006-12-11,71
2006-12-12,71
2006-12-13,71
2006-12-14,71
2006-12-15,71
2006-12-16,71
2006-12-17,71
2006-12-18,71
2006-12-19,71
2006-12-20,71
2006-12-21,71
2006-12-22,71
2006-12-23,71
2006-12-24,71
2006-12-25,71
2006-12-26,71
2006-12-27,71
2006-12-28,71
2006-12-29,71
2006-12-30,71
2006-12-31,71
2007-01-01,72
2007-01-02,71
2007-01-03,71
2007-01-04,71
2007-01-05,70
2007-01-06,70
2007-01-07,70
2007-01-08,69
2007-01-09,69
