Date,Viewsonic
2007-01-07,72
2007-01-08,73
2007-01-09,73
2007-01-10,74
2007-01-11,74
2007-01-12,74
2007-01-13,75
2007-01-14,75
2007-01-15,74
2007-01-16,74
2007-01-17,74
2007-01-18,74
2007-01-19,74
2007-01-20,74
2007-01-21,77
2007-01-22,80
2007-01-23,84
2007-01-24,87
2007-01-25,91
2007-01-26,94
2007-01-27,98
2007-01-28,97
2007-01-29,97
2007-01-30,97
2007-01-31,96
2007-02-01,95
2007-02-02,95
2007-02-03,94
2007-02-04,89
2007-02-05,83
2007-02-06,78
2007-02-07,73
2007-02-08,68
2007-02-09,63
2007-02-10,59
2007-02-11,62
2007-02-12,65
2007-02-13,68
2007-02-14,71
2007-02-15,74
2007-02-16,77
2007-02-17,80
2007-02-18,76
2007-02-19,72
2007-02-20,68
2007-02-21,64
2007-02-22,60
2007-02-23,56
2007-02-24,52
2007-02-25,55
2007-02-26,59
2007-02-27,62
2007-02-28,66
2007-03-01,69
2007-03-02,72
2007-03-03,76
2007-03-04,73
2007-03-05,70
2007-03-06,66
2007-03-07,63
2007-03-08,60
2007-03-09,56
2007-03-10,53
2007-03-11,51
2007-03-12,48
2007-03-13,45
2007-03-14,43
2007-03-15,40
2007-03-16,38
2007-03-17,36
2007-03-18,36
2007-03-19,37
2007-03-20,37
2007-03-21,38
2007-03-22,38
2007-03-23,39
2007-03-24,40
2007-03-25,41
2007-04-01,49
2007-04-02,49
2007-04-03,49
2007-04-04,49
2007-04-05,49
2007-04-06,49
2007-04-07,49
2007-04-08,50
2007-04-09,52
2007-04-10,53
2007-04-11,55
2007-04-12,56
2007-04-13,58
2007-04-14,59
2007-04-15,57
2007-04-16,54
2007-04-17,51
2007-04-18,49
2007-04-19,46
2007-04-20,44
2007-04-21,42
2007-04-22,46
2007-04-23,51
2007-04-24,56
2007-04-25,61
2007-04-26,65
2007-04-27,70
2007-04-28,75
2007-04-29,71
2007-04-30,68
2007-05-01,64
2007-05-02,61
2007-05-03,58
2007-05-04,54
2007-05-05,51
2007-05-06,49
2007-05-07,45
2007-05-08,43
2007-05-09,40
2007-05-10,38
2007-05-11,35
2007-05-12,33
2007-05-13,38
2007-05-14,44
2007-05-15,49
2007-05-16,55
2007-05-17,60
2007-05-18,66
