Date,JAZZ Pharmaceuticals
2006-09-01,65
2006-09-02,64
2006-09-03,63
2006-09-04,62
2006-09-05,62
2006-09-06,61
2006-09-07,60
2006-09-08,59
2006-09-09,59
2006-09-10,58
2006-09-11,57
2006-09-12,56
2006-09-13,56
2006-09-14,55
2006-09-15,54
2006-09-16,54
2006-09-17,53
2006-09-18,52
2006-09-19,51
2006-09-20,51
2006-09-21,50
2006-09-22,49
2006-09-23,48
2006-09-24,48
2006-09-25,47
2006-09-26,46
2006-09-27,45
2006-09-28,45
2006-09-29,44
2006-09-30,43
2006-10-01,43
2006-10-02,43
2006-10-03,43
2006-10-04,43
2006-10-05,43
2006-10-06,43
2006-10-07,43
2006-10-08,43
2006-10-09,43
2006-10-10,43
2006-10-11,43
2006-10-12,43
2006-10-13,43
2006-10-14,43
2006-10-15,43
2006-10-16,43
2006-10-17,43
2006-10-18,43
2006-10-19,43
2006-10-20,43
2006-10-21,43
2006-10-22,43
2006-10-23,43
2006-10-24,43
2006-10-25,43
2006-10-26,43
2006-10-27,43
2006-10-28,43
2006-10-29,43
2006-10-30,43
2006-10-31,43
2006-11-01,43
2006-11-02,43
2006-11-03,43
2006-11-04,43
2006-11-05,43
2006-11-06,43
2006-11-07,43
2006-11-08,43
2006-11-09,43
2006-11-10,43
2006-11-11,43
2006-11-12,43
2006-11-13,43
2006-11-14,43
2006-11-15,43
2006-11-16,43
2006-11-17,43
2006-11-18,43
2006-11-19,43
2006-11-20,43
2006-11-21,43
2006-11-22,43
2006-11-23,43
2006-11-24,43
2006-11-25,43
2006-11-26,43
2006-11-27,43
2006-11-28,43
2006-11-29,43
2006-11-30,43
2006-12-01,43
2006-12-02,43
2006-12-03,43
2006-12-04,43
2006-12-05,43
2006-12-06,43
2006-12-07,43
2006-12-08,43
2006-12-09,43
2006-12-10,43
2006-12-11,43
2006-12-12,43
2006-12-13,43
2006-12-14,43
2006-12-15,43
2006-12-16,43
2006-12-17,43
2006-12-18,43
2006-12-19,43
2006-12-20,43
2006-12-21,43
2006-12-22,43
2006-12-23,43
2006-12-24,43
2006-12-25,43
2006-12-26,43
2006-12-27,43
2006-12-28,43
2006-12-29,43
2006-12-30,43
2006-12-31,43
2007-01-01,43
2007-01-02,43
2007-01-03,44
2007-01-04,44
2007-01-05,45
2007-01-06,45
2007-01-07,46
2007-01-08,46
2007-01-09,47
2007-01-10,47
2007-01-11,48
2007-01-12,48
2007-01-13,49
2007-01-14,49
2007-01-15,50
2007-01-16,50
2007-01-17,51
2007-01-18,51
2007-01-19,52
2007-01-20,52
2007-01-21,53
2007-01-22,53
2007-01-23,54
2007-01-24,54
2007-01-25,55
2007-01-26,55
2007-01-27,56
2007-01-28,56
2007-01-29,57
2007-01-30,57
2007-01-31,58
2007-02-01,59
2007-02-02,60
2007-02-03,61
2007-02-04,63
2007-02-05,64
2007-02-06,66
2007-02-07,67
2007-02-08,69
2007-02-09,70
2007-02-10,72
2007-02-11,73
2007-02-12,75
2007-02-13,76
2007-02-14,78
2007-02-15,79
2007-02-16,80
2007-02-17,82
2007-02-18,83
2007-02-19,85
2007-02-20,86
2007-02-21,88
2007-02-22,89
2007-02-23,91
2007-02-24,92
2007-02-25,94
2007-02-26,95
2007-02-27,97
2007-02-28,98
2007-03-01,100
2007-03-02,98
2007-03-03,96
2007-03-04,95
2007-03-05,93
2007-03-06,92
2007-03-07,90
2007-03-08,89
2007-03-09,87
2007-03-10,86
2007-03-11,84
2007-03-12,83
2007-03-13,81
2007-03-14,80
2007-03-15,78
2007-03-16,77
2007-03-17,75
2007-03-18,74
2007-03-19,72
2007-03-20,71
2007-03-21,69
2007-03-22,68
2007-03-23,66
2007-03-24,65
2007-03-25,63
2007-03-26,62
2007-03-27,60
2007-03-28,59
2007-03-29,57
2007-03-30,56
2007-03-31,54
2007-04-01,53
2007-04-02,54
2007-04-03,55
2007-04-04,57
2007-04-05,58
2007-04-06,59
2007-04-07,61
2007-04-08,62
2007-04-09,63
2007-04-10,65
2007-04-11,66
2007-04-12,67
2007-04-13,69
2007-04-14,70
2007-04-15,71
2007-04-16,73
2007-04-17,74
2007-04-18,75
2007-04-19,77
2007-04-20,78
2007-04-21,79
2007-04-22,81
2007-04-23,82
2007-04-24,83
2007-04-25,85
2007-04-26,86
2007-04-27,87
2007-04-28,89
2007-04-29,90
2007-04-30,91
2007-05-01,93
2007-05-02,91
2007-05-03,90
2007-05-04,89
2007-05-05,88
2007-05-06,87
2007-05-07,86
2007-05-08,85
2007-05-09,84
2007-05-10,83
2007-05-11,82
2007-05-12,81
2007-05-13,80
2007-05-14,79
2007-05-15,78
2007-05-16,77
2007-05-17,75
2007-05-18,74
2007-05-19,73
2007-05-20,72
2007-05-21,71
2007-05-22,70
2007-05-23,69
2007-05-24,68
2007-05-25,67
2007-05-26,66
2007-05-27,65
2007-05-28,64
2007-05-29,63
2007-05-30,62
2007-05-31,61
2007-06-01,60
2007-06-02,60
2007-06-03,60
2007-06-04,60
2007-06-05,61
2007-06-06,61
2007-06-07,61
2007-06-08,61
2007-06-09,62
2007-06-10,62
2007-06-11,62
2007-06-12,62
2007-06-13,63
2007-06-14,63
2007-06-15,63
2007-06-16,64
2007-06-17,64
2007-06-18,64
2007-06-19,64
2007-06-20,65
2007-06-21,65
2007-06-22,65
2007-06-23,65
2007-06-24,66
2007-06-25,66
2007-06-26,66
2007-06-27,66
2007-06-28,67
2007-06-29,67
2007-06-30,67
2007-07-01,68
2007-07-02,68
2007-07-03,69
2007-07-04,70
2007-07-05,71
2007-07-06,72
2007-07-07,73
2007-07-08,73
2007-07-09,74
2007-07-10,75
2007-07-11,76
2007-07-12,77
2007-07-13,78
2007-07-14,78
2007-07-15,79
2007-07-16,80
2007-07-17,81
2007-07-18,82
2007-07-19,83
2007-07-20,83
2007-07-21,84
2007-07-22,85
2007-07-23,86
2007-07-24,87
2007-07-25,88
2007-07-26,88
2007-07-27,89
2007-07-28,90
2007-07-29,91
2007-07-30,92
2007-07-31,93
2007-08-01,94
2007-08-02,93
2007-08-03,92
2007-08-04,91
2007-08-05,90
2007-08-06,89
2007-08-07,88
2007-08-08,87
2007-08-09,86
2007-08-10,85
2007-08-11,84
2007-08-12,83
2007-08-13,82
2007-08-14,81
2007-08-15,80
2007-08-16,79
2007-08-17,78
2007-08-18,77
2007-08-19,76
2007-08-20,75
2007-08-21,74
2007-08-22,73
2007-08-23,72
2007-08-24,71
2007-08-25,70
2007-08-26,69
2007-08-27,68
2007-08-28,67
2007-08-29,66
2007-08-30,65
2007-08-31,64
2007-09-01,64
2007-09-02,64
2007-09-03,64
2007-09-04,64
2007-09-05,65
2007-09-06,65
2007-09-07,65
2007-09-08,65
2007-09-09,66
2007-09-10,66
2007-09-11,66
2007-09-12,66
2007-09-13,67
2007-09-14,67
2007-09-15,67
2007-09-16,68
2007-09-17,68
2007-09-18,68
2007-09-19,68
2007-09-20,69
2007-09-21,69
2007-09-22,69
2007-09-23,69
2007-09-24,70
2007-09-25,70
2007-09-26,70
2007-09-27,70
2007-09-28,71
2007-09-29,71
2007-09-30,71
2007-10-01,72
2007-10-02,71
2007-10-03,70
2007-10-04,69
2007-10-05,68
2007-10-06,67
2007-10-07,67
2007-10-08,66
2007-10-09,65
2007-10-10,64
2007-10-11,63
2007-10-12,63
2007-10-13,62
2007-10-14,61
2007-10-15,60
2007-10-16,59
2007-10-17,59
2007-10-18,58
2007-10-19,57
2007-10-20,56
2007-10-21,55
2007-10-22,55
2007-10-23,54
2007-10-24,53
2007-10-25,52
2007-10-26,51
2007-10-27,51
2007-10-28,50
2007-10-29,49
2007-10-30,48
2007-10-31,47
2007-11-01,47
2007-11-02,47
2007-11-03,47
2007-11-04,47
2007-11-05,47
2007-11-06,47
2007-11-07,47
2007-11-08,47
2007-11-09,47
2007-11-10,47
2007-11-11,47
2007-11-12,47
2007-11-13,47
2007-11-14,47
2007-11-15,47
2007-11-16,47
2007-11-17,47
2007-11-18,47
2007-11-19,47
2007-11-20,47
2007-11-21,47
2007-11-22,47
2007-11-23,47
2007-11-24,47
2007-11-25,47
2007-11-26,47
2007-11-27,47
2007-11-28,47
2007-11-29,47
2007-11-30,47
2007-12-01,47
2007-12-02,46
2007-12-03,46
2007-12-04,46
2007-12-05,46
2007-12-06,46
2007-12-07,45
2007-12-08,45
2007-12-09,45
2007-12-10,45
2007-12-11,45
2007-12-12,44
2007-12-13,44
2007-12-14,44
2007-12-15,44
2007-12-16,44
2007-12-17,43
2007-12-18,43
2007-12-19,43
2007-12-20,43
2007-12-21,43
2007-12-22,42
2007-12-23,42
2007-12-24,42
2007-12-25,42
2007-12-26,42
2007-12-27,41
2007-12-28,41
2007-12-29,41
2007-12-30,41
2007-12-31,41
2008-01-01,41
2008-01-02,40
2008-01-03,40
2008-01-04,40
2008-01-05,40
2008-01-06,40
2008-01-07,40
2008-01-08,40
2008-01-09,40
2008-01-10,40
2008-01-11,40
2008-01-12,40
2008-01-13,40
2008-01-14,40
2008-01-15,40
2008-01-16,40
2008-01-17,40
2008-01-18,40
2008-01-19,40
2008-01-20,40
2008-01-21,40
2008-01-22,40
2008-01-23,40
2008-01-24,40
2008-01-25,40
2008-01-26,40
2008-01-27,40
2008-01-28,40
2008-01-29,40
2008-01-30,40
2008-01-31,40
2008-02-01,40
2008-02-02,41
2008-02-03,42
2008-02-04,43
2008-02-05,44
2008-02-06,45
2008-02-07,46
2008-02-08,47
2008-02-09,48
2008-02-10,49
2008-02-11,50
2008-02-12,51
2008-02-13,52
2008-02-14,53
2008-02-15,54
2008-02-16,56
2008-02-17,57
2008-02-18,58
2008-02-19,59
2008-02-20,60
2008-02-21,61
2008-02-22,62
2008-02-23,63
2008-02-24,64
2008-02-25,65
2008-02-26,66
2008-02-27,67
2008-02-28,68
2008-02-29,69
2008-03-01,71
2008-03-02,70
2008-03-03,69
2008-03-04,68
2008-03-05,68
2008-03-06,67
2008-03-07,66
2008-03-08,66
2008-03-09,65
2008-03-10,64
2008-03-11,63
2008-03-12,63
2008-03-13,62
2008-03-14,61
2008-03-15,61
2008-03-16,60
2008-03-17,59
2008-03-18,58
2008-03-19,58
2008-03-20,57
2008-03-21,56
2008-03-22,56
2008-03-23,55
2008-03-24,54
2008-03-25,53
2008-03-26,53
2008-03-27,52
2008-03-28,51
2008-03-29,51
2008-03-30,50
2008-03-31,49
2008-04-01,49
2008-04-02,49
2008-04-03,49
2008-04-04,49
2008-04-05,49
2008-04-06,49
2008-04-07,49
2008-04-08,49
2008-04-09,49
2008-04-10,49
2008-04-11,49
2008-04-12,49
2008-04-13,49
2008-04-14,49
2008-04-15,49
2008-04-16,49
2008-04-17,49
2008-04-18,49
2008-04-19,49
2008-04-20,49
2008-04-21,49
2008-04-22,49
2008-04-23,49
2008-04-24,49
2008-04-25,49
2008-04-26,49
2008-04-27,49
2008-04-28,49
2008-04-29,49
2008-04-30,49
2008-05-01,49
2008-05-02,48
2008-05-03,48
2008-05-04,48
2008-05-05,48
2008-05-06,48
2008-05-07,48
2008-05-08,48
2008-05-09,47
2008-05-10,47
2008-05-11,47
2008-05-12,47
2008-05-13,47
2008-05-14,47
2008-05-15,47
2008-05-16,47
2008-05-17,46
2008-05-18,46
2008-05-19,46
2008-05-20,46
2008-05-21,46
2008-05-22,46
2008-05-23,46
2008-05-24,46
2008-05-25,45
2008-05-26,45
2008-05-27,45
2008-05-28,45
2008-05-29,45
2008-05-30,45
2008-05-31,45
2008-06-01,45
2008-06-02,44
2008-06-03,44
2008-06-04,44
2008-06-05,44
2008-06-06,44
2008-06-07,44
2008-06-08,44
2008-06-09,43
2008-06-10,43
2008-06-11,43
