Date,PBF Energy
2011-05-01,66
2011-05-02,65
2011-05-03,64
2011-05-04,64
2011-05-05,63
2011-05-06,63
2011-05-07,62
2011-05-08,62
2011-05-09,61
2011-05-10,61
2011-05-11,60
2011-05-12,60
2011-05-13,59
2011-05-14,59
2011-05-15,58
2011-05-16,58
2011-05-17,57
2011-05-18,57
2011-05-19,56
2011-05-20,56
2011-05-21,55
2011-05-22,55
2011-05-23,54
2011-05-24,54
2011-05-25,53
2011-05-26,53
2011-05-27,52
2011-05-28,52
2011-05-29,51
2011-05-30,51
2011-05-31,50
2011-06-01,50
2011-06-02,50
2011-06-03,50
2011-06-04,50
2011-06-05,50
2011-06-06,50
2011-06-07,50
2011-06-08,50
2011-06-09,50
2011-06-10,50
2011-06-11,50
2011-06-12,50
2011-06-13,50
2011-06-14,50
2011-06-15,50
2011-06-16,50
2011-06-17,50
2011-06-18,50
2011-06-19,50
2011-06-20,50
2011-06-21,50
2011-06-22,50
2011-06-23,50
2011-06-24,50
2011-06-25,50
2011-06-26,50
2011-06-27,50
2011-06-28,50
2011-06-29,50
2011-06-30,50
2011-07-01,50
2011-07-02,50
2011-07-03,50
2011-07-04,50
2011-07-05,50
2011-07-06,50
2011-07-07,50
2011-07-08,50
2011-07-09,50
2011-07-10,50
2011-07-11,50
2011-07-12,50
2011-07-13,50
2011-07-14,50
2011-07-15,50
2011-07-16,50
2011-07-17,50
2011-07-18,50
2011-07-19,50
2011-07-20,50
2011-07-21,50
2011-07-22,50
2011-07-23,50
2011-07-24,50
2011-07-25,50
2011-07-26,50
2011-07-27,50
2011-07-28,50
2011-07-29,50
2011-07-30,50
2011-07-31,50
2011-08-01,50
2011-08-02,49
2011-08-03,49
2011-08-04,49
2011-08-05,48
2011-08-06,48
2011-08-07,48
2011-08-08,48
2011-08-09,47
2011-08-10,47
2011-08-11,47
2011-08-12,47
2011-08-13,46
2011-08-14,46
2011-08-15,46
2011-08-16,46
2011-08-17,45
2011-08-18,45
2011-08-19,45
2011-08-20,45
2011-08-21,44
2011-08-22,44
2011-08-23,44
2011-08-24,44
2011-08-25,43
2011-08-26,43
2011-08-27,43
2011-08-28,43
2011-08-29,42
2011-08-30,42
2011-08-31,42
2011-09-01,42
2011-09-02,42
2011-09-03,43
2011-09-04,44
2011-09-05,45
2011-09-06,45
2011-09-07,46
2011-09-08,47
2011-09-09,48
2011-09-10,48
2011-09-11,49
2011-09-12,50
2011-09-13,51
2011-09-14,51
2011-09-15,52
2011-09-16,53
2011-09-17,54
2011-09-18,55
2011-09-19,55
2011-09-20,56
2011-09-21,57
2011-09-22,58
2011-09-23,58
2011-09-24,59
2011-09-25,60
2011-09-26,61
2011-09-27,61
2011-09-28,62
2011-09-29,63
2011-09-30,64
2011-10-01,65
2011-10-02,64
2011-10-03,63
2011-10-04,62
2011-10-05,61
2011-10-06,60
2011-10-07,59
2011-10-08,58
2011-10-09,57
2011-10-10,56
2011-10-11,55
2011-10-12,54
2011-10-13,53
2011-10-14,52
2011-10-15,51
2011-10-16,50
2011-10-17,49
2011-10-18,48
2011-10-19,47
2011-10-20,46
2011-10-21,45
2011-10-22,44
2011-10-23,43
2011-10-24,42
2011-10-25,41
2011-10-26,40
2011-10-27,39
2011-10-28,38
2011-10-29,37
2011-10-30,36
2011-10-31,35
2011-11-01,34
2011-11-02,34
2011-11-03,34
2011-11-04,34
