Date,ING U.S
2012-05-06,61
2012-05-07,76
2012-05-08,61
2012-05-09,61
2012-05-10,61
2012-05-11,61
2012-05-12,61
2012-05-13,61
2012-05-14,61
2012-05-15,61
2012-05-16,61
2012-05-17,61
2012-05-18,61
2012-05-19,61
2012-05-20,61
2012-05-21,61
2012-05-22,62
2012-05-23,62
2012-05-24,63
2012-05-25,63
2012-05-26,64
2012-05-27,64
2012-05-28,65
2012-05-29,65
2012-05-30,66
2012-05-31,66
2012-06-01,67
2012-06-02,68
2012-06-03,69
2012-06-04,71
2012-06-05,73
2012-06-06,74
2012-06-07,76
2012-06-08,78
2012-06-09,79
2012-06-10,78
2012-06-11,77
2012-06-12,76
2012-06-13,75
2012-06-14,74
2012-06-15,73
2012-06-16,73
2012-06-17,74
2012-06-18,75
2012-06-19,76
2012-06-20,77
2012-06-21,78
2012-06-22,79
2012-06-23,80
2012-06-24,79
2012-06-25,79
2012-06-26,79
2012-06-27,79
2012-06-28,79
2012-06-29,79
2012-06-30,79
2012-07-01,79
2012-07-02,79
2012-07-03,79
2012-07-04,79
2012-07-05,79
2012-07-06,79
2012-07-07,79
2012-07-08,79
2012-07-09,80
2012-07-10,80
2012-07-11,80
2012-07-12,80
2012-07-13,80
2012-07-14,81
2012-07-15,79
2012-07-16,76
2012-07-17,74
2012-07-18,73
2012-07-19,71
2012-07-20,69
2012-07-21,68
2012-07-22,68
2012-07-23,68
2012-07-24,68
2012-07-25,68
2012-07-26,68
2012-07-27,68
2012-07-28,68
2012-07-29,68
2012-08-05,68
2012-08-06,68
2012-08-07,68
2012-08-08,68
2012-08-09,68
2012-08-10,68
2012-08-11,68
2012-08-12,67
2012-08-13,66
2012-08-14,65
2012-08-15,65
2012-08-16,64
2012-08-17,63
2012-08-18,63
2012-08-19,63
2012-08-20,63
2012-08-21,63
2012-08-22,63
2012-08-23,63
2012-08-24,63
2012-08-25,63
2012-08-26,63
2012-08-27,78
2012-08-28,64
2012-08-29,65
2012-08-30,65
2012-08-31,66
2012-09-01,67
2012-09-02,67
2012-09-03,67
2012-09-04,68
2012-09-05,68
2012-09-06,69
2012-09-07,69
2012-09-08,70
2012-09-09,70
2012-09-10,71
2012-09-11,71
2012-09-12,72
2012-09-13,72
2012-09-14,73
2012-09-15,74
2012-09-16,74
2012-09-17,75
2012-09-18,76
2012-09-19,76
2012-09-20,77
2012-09-21,77
2012-09-22,78
2012-09-23,78
2012-09-24,78
2012-09-25,79
2012-09-26,79
2012-09-27,80
2012-09-28,80
2012-09-29,81
2012-09-30,83
2012-10-01,85
2012-10-02,88
2012-10-03,90
2012-10-04,93
2012-10-05,95
2012-10-06,98
2012-10-07,92
2012-10-08,87
2012-10-09,82
2012-10-10,76
2012-10-11,71
2012-10-12,66
2012-10-13,61
2012-10-14,61
2012-10-15,61
2012-10-16,61
2012-10-17,61
2012-10-18,61
2012-10-19,61
2012-10-20,61
2012-10-21,60
2012-10-22,59
2012-10-23,58
2012-10-24,58
2012-10-25,57
2012-10-26,56
2012-10-27,56
2012-10-28,56
2012-11-04,61
2012-11-05,62
2012-11-06,63
2012-11-07,63
2012-11-08,64
2012-11-09,65
2012-11-10,66
2012-11-11,66
2012-11-12,66
2012-11-13,66
2012-11-14,66
2012-11-15,66
2012-11-16,66
2012-11-17,66
2012-11-18,56
2012-11-19,47
2012-11-20,37
2012-11-21,28
2012-11-22,18
2012-11-23,9
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,8
2012-12-31,16
2013-01-01,24
2013-01-02,33
2013-01-03,41
2013-01-04,49
2013-01-05,58
2013-01-06,60
2013-01-07,63
2013-01-08,66
2013-01-09,69
2013-01-10,72
2013-01-11,75
2013-01-12,78
2013-01-13,75
2013-01-14,73
2013-01-15,70
2013-01-16,68
2013-01-17,65
2013-01-18,63
2013-01-19,61
2013-01-20,63
2013-01-21,65
2013-01-22,67
2013-01-23,70
2013-01-24,72
2013-01-25,74
2013-01-26,77
2013-01-27,76
2013-02-01,76
2013-02-02,76
2013-02-03,74
2013-02-04,73
2013-02-05,71
2013-02-06,70
2013-02-07,68
2013-02-08,67
2013-02-09,66
2013-02-10,66
2013-02-11,66
2013-02-12,66
2013-02-13,66
2013-02-14,66
2013-02-15,66
2013-02-16,67
2013-02-17,67
2013-02-18,67
2013-02-19,67
2013-02-20,67
2013-02-21,67
2013-02-22,67
2013-02-23,68
2013-02-24,68
2013-02-25,68
2013-02-26,68
2013-02-27,68
2013-02-28,68
2013-03-01,68
2013-03-02,69
2013-03-03,68
2013-03-04,68
2013-03-05,68
2013-03-06,68
2013-03-07,68
2013-03-08,68
2013-03-09,68
2013-03-10,68
2013-03-11,68
2013-03-12,68
2013-03-13,68
2013-03-14,68
2013-03-15,68
2013-03-16,68
2013-03-17,68
2013-03-18,69
2013-03-19,69
2013-03-20,70
2013-03-21,70
2013-03-22,71
2013-03-23,72
2013-03-24,72
2013-03-25,73
2013-03-26,73
2013-03-27,74
2013-03-28,74
2013-03-29,75
2013-03-30,76
2013-03-31,75
2013-04-01,74
2013-04-02,73
2013-04-03,72
2013-04-04,71
2013-04-05,70
2013-04-06,69
2013-04-07,69
2013-04-08,69
2013-04-09,69
2013-04-10,69
2013-04-11,69
2013-04-12,69
2013-04-13,69
2013-04-14,71
2013-04-15,74
2013-04-16,77
2013-04-17,80
2013-04-18,83
2013-04-19,86
2013-04-20,89
